Gene = MTMR14
index = 892
Annotated 5SS: [  281  4308 12914 19333 20031 21709 23297 27926 28597 33783 35209 35503
 35786 38430 39293 39621 40682 48405]
Annotated 3SS: [ 4158 12804 19256 19969 21585 23222 27854 28521 33715 35122 35425 35748
 38358 39233 39481 40501 48248 52327]
SMsplice 5SS: [  281  1068  4308 10348 10593 12914 21709 23297 24521 27926 28597 33783
 35503 38430 39293 39621 40682 48405]
SMsplice 3SS: [  991  4158 10217 10434 12804 21585 23222 24436 27854 28521 33715 35425
 38358 39233 39481 40501 48248 52327]
top_k =  100
Partition function (log Z): 19.53270902610409

Sorted 5' Splice Sites (High to Low Probability):
Position 12914: 1.0000000000000024
Position 35503: 0.9984185500237622
Position 4308: 0.998242642465519
Position 10593: 0.9951788918391138
Position 38430: 0.9683776149218601
Position 27926: 0.9665522153255248
Position 21709: 0.9628163397016937
Position 28597: 0.9602097237568381
Position 40682: 0.9447100451381653
Position 39621: 0.9216911463607279
Position 23297: 0.9086644254809981
Position 1068: 0.8947112682430405
Position 281: 0.8936281972680215
Position 33783: 0.8844414880706963
Position 39293: 0.6911514763191984
Position 11978: 0.6531378455625839
Position 35786: 0.6071917455921992
Position 24521: 0.5687326955481008
Position 48405: 0.5648757185759568
Position 48310: 0.4675429689138992
Position 28388: 0.2981482146476615
Position 30116: 0.2699560459211911
Position 48749: 0.24209614909457683
Position 24556: 0.23340324403558288
Position 28397: 0.22420650604849826
Position 26210: 0.18721311029656193
Position 46542: 0.13567560032052076
Position 41218: 0.12826412737982726
Position 30102: 0.11666488462084976
Position 48458: 0.09677348700045117
Position 293: 0.08625548411934114
Position 42857: 0.07902323822743114
Position 33855: 0.0708606741874061
Position 5392: 0.07023335097806277
Position 4058: 0.06918425614521233
Position 35680: 0.060849245795513936
Position 1783: 0.058389254015627945
Position 48551: 0.05306114752801818
Position 21692: 0.0333270722658536
Position 36019: 0.03246963028152857
Position 37123: 0.02642045476508476
Position 24489: 0.02374829896099287
Position 23289: 0.022255703209052367
Position 38710: 0.019221241978407903
Position 24533: 0.017260457130749855
Position 36512: 0.015547883606844407
Position 44872: 0.015129015633556288
Position 3064: 0.015088808652896298
Position 39376: 0.014902382996714092
Position 39645: 0.013761204314330675
Position 12484: 0.0135194509931965
Position 39342: 0.01092530567367083
Position 2978: 0.009122356711877225
Position 40601: 0.008501198406916051
Position 24593: 0.008153472104157684
Position 74: 0.007851106971317915
Position 366: 0.007732897263737806
Position 23406: 0.0070624761505774115
Position 24673: 0.006934133740026071
Position 529: 0.006638853803515646
Position 35591: 0.006240356166790943
Position 1165: 0.006002326043672358
Position 1942: 0.005505579569650169
Position 10629: 0.004821108160888775
Position 1129: 0.004186979097153975
Position 24182: 0.003567544005993529
Position 1109: 0.0031059516635130696
Position 12412: 0.0031024426584055345
