Gene = SPATA31D3
index = 1302
Annotated 5SS: [ 272 1074 1733 5757]
Annotated 3SS: [ 1027  1671  2046 50920]
SMsplice 5SS: [  272 15891 21658 34369 35330 42688 44115]
SMsplice 3SS: [15662 21574 34082 35245 42588 44035 44195]
top_k =  100
Partition function (log Z): -29.822889927422352

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9567246994487804
Position 1947: 0.7419427910525365
Position 1733: 0.4971173172048673
Position 2138: 0.49503794706936544
Position 1074: 0.20889185917036307
Position 544: 0.18093252456897582
Position 1422: 0.03235470221471276
Position 1966: 0.018714072820958202
Position 183: 0.006670359105727346
Position 354: 0.004965269253598795
Position 526: 0.004667773759082201
Position 989: 0.003178377937562755
Position 282: 0.001244401830652124
Position 221: 0.0004302951543245321
Position 29: 0.0001902561566340777
Position 286: 0.00017094471912951792
Position 187: 0.00013745066727595786
Position 205: 1.0389207752652004e-05
Position 150: 9.387709781729243e-06
Position 193: 6.9346283773748845e-06
Position 358: 8.012050008211804e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1671: 0.6811087797315335
Position 2046: 0.6510687352428778
Position 1837: 0.5500938318386751
Position 2231: 0.22003117281559142
Position 6370: 0.17636672853479074
Position 423: 0.17439447350288315
Position 1027: 0.15286229481179517
Position 7602: 0.12101929148645177
Position 2070: 0.10137820159608935
Position 2967: 0.05550845543635631
Position 1605: 0.0447064920219816
Position 8270: 0.0415893737159065
Position 2470: 0.031424923440934525
Position 917: 0.03032424175325525
Position 1154: 0.016149123411976826
Position 6115: 0.015117462985449828
Position 1577: 0.010047401582157084
Position 5054: 0.009824812101462656
Position 470: 0.008491270134296777
Position 2276: 0.007057435760884619
Position 2735: 0.006746084701506441
Position 2123: 0.006475326547742874
Position 848: 0.00435740937659186
Position 3567: 0.004235948766748312
Position 840: 0.0037142616813042296
Position 748: 0.003684957667802254
Position 1593: 0.0035217946279946667
Position 823: 0.0033993175627067963
Position 2148: 0.0032775039529922083
Position 1131: 0.00308446677632567
Position 1357: 0.0028346647376442284
Position 1033: 0.0027584276955990574
Position 2005: 0.0016876518124237531
Position 976: 0.001600407094877915
Position 1242: 0.0015897490795563154
Position 349: 0.0008874965458133434
Position 358: 0.0004521710643380512
Position 376: 0.0004162699131207946
Position 769: 3.605415177829423e-05
Position 438: 2.399338297220918e-05
Position 432: 1.8235115798840234e-05
Position 363: 1.0612105493633351e-05
Position 477: 1.0420055203890953e-05
Position 826: 1.0107479271847752e-05
