Gene = GAPT
index = 573
Annotated 5SS: [ 107 2249]
Annotated 3SS: [2183 2811]
SMsplice 5SS: [ 107 2404]
SMsplice 3SS: [2275 5287]
top_k =  100
Partition function (log Z): -5.336002354506432

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9323309899203166
Position 2404: 0.8619357733214527
Position 396: 0.08729748049121362
Position 622: 0.08488245141881692
Position 699: 0.07126246300187301
Position 129: 0.04857695289990525
Position 111: 0.017431473845005603
Position 2397: 0.009977854257927661
Position 455: 0.0015401326608442802
Position 229: 0.0010286125422487864
Position 449: 0.00014927825851302064
Position 53: 8.621908924256796e-05
Position 391: 8.126818109880015e-05
Position 161: 3.203813984475545e-05
Position 6: 9.701962831815782e-06
Position 472: 8.743764953926402e-06
Position 36: 2.3382534905525126e-07
Position 19: 2.009424994699812e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2275: 0.8315303894618884
Position 5287: 0.3587504015262196
Position 545: 0.1594043791099112
Position 4308: 0.1115290198565343
Position 3168: 0.07745509847927726
Position 5361: 0.06502913811475475
Position 319: 0.06114906471703759
Position 3635: 0.049542419567581875
Position 4574: 0.049513160696173675
Position 2709: 0.04414987928593363
Position 2183: 0.04169406726712622
Position 5209: 0.0406830898531614
Position 5181: 0.03500816458346807
Position 2712: 0.024258302842429483
Position 5334: 0.01660311967588616
Position 200: 0.016366419045913988
Position 4531: 0.016310335914276386
Position 322: 0.014379716995941328
Position 4534: 0.010101783424156439
Position 4706: 0.009620824838366536
Position 521: 0.008300265605213793
Position 2212: 0.008215441345154612
Position 4494: 0.008110192530753506
Position 2811: 0.007816363947026807
Position 4281: 0.007255936553600129
Position 4073: 0.006495806105764241
Position 964: 0.0039090967820483965
Position 1932: 0.003540849491654575
Position 4147: 0.0031793963817324305
Position 3512: 0.003175218640197299
Position 3030: 0.002782992861106626
Position 524: 0.0025198670251235164
Position 3099: 0.002362991718308807
Position 3144: 0.002301952539293996
Position 2752: 0.002141271855177855
Position 3355: 0.0020583827420902353
Position 2948: 0.002019293988371045
Position 940: 0.0017387494756191495
Position 351: 0.0016358719696473144
Position 2727: 0.0012974651571589445
Position 1805: 0.0011969627090669811
Position 755: 0.0010003803817289056
Position 226: 0.00034752603077451555
Position 376: 7.742686962871523e-05
Position 207: 2.8968477865516747e-05
Position 395: 2.300652997762207e-05
Position 602: 8.075558852201128e-06
Position 636: 6.801898742356099e-06
Position 233: 6.274157641297056e-06
Position 260: 1.840984401322564e-07
Position 258: 7.984013832704823e-08
