Gene = SYNC
index = 1366
Annotated 5SS: [  512  8255 18862 19110]
Annotated 3SS: [ 7074 18736 19029 21258]
SMsplice 5SS: [  170   512 19110]
SMsplice 3SS: [  276 19029 22362]
top_k =  100
Partition function (log Z): -18.192021217085237

Sorted 5' Splice Sites (High to Low Probability):
Position 512: 0.6438450746293104
Position 170: 0.5478070329749194
Position 196: 0.4105244819877462
Position 7215: 0.06648206142462454
Position 94: 0.02840932209954683
Position 2340: 0.0059057744380726
Position 1392: 0.003067681984796004
Position 1135: 0.0009976280394482424
Position 245: 0.0003206125311856683
Position 159: 0.00026860140352629087
Position 277: 0.0001656437800643944
Position 30: 0.00012555087762016845
Position 934: 2.8625074806874364e-06
Position 359: 2.1812499652841866e-06
Position 376: 2.069445304096801e-06
Position 222: 7.368087449743831e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 276: 0.637490740051589
Position 308: 0.2817319342565287
Position 10123: 0.21725618319014073
Position 7074: 0.20717795863639435
Position 2428: 0.07013476426027568
Position 1713: 0.027787934037641317
Position 1244: 0.026117231029632936
Position 7111: 0.022564043414004586
Position 5391: 0.02210688799863274
Position 1182: 0.019968056335941852
Position 1095: 0.017847967301733866
Position 611: 0.015157223563654025
Position 1664: 0.01470233186100076
Position 4607: 0.012712887056348153
Position 2275: 0.012476241464208806
Position 765: 0.010859302287828106
Position 5683: 0.009741168162787934
Position 1594: 0.009677534897128328
Position 4627: 0.007082138918380624
Position 5551: 0.007023267002723828
Position 3121: 0.0057458749013604895
Position 2499: 0.005470054070281199
Position 2449: 0.00535715278148291
Position 3487: 0.004736313734529128
Position 2424: 0.004468536481419041
Position 240: 0.004458518100076343
Position 3698: 0.0032555883855224436
Position 1025: 0.003253379960970744
Position 1473: 0.002731434647414678
Position 369: 0.002608166144757527
Position 1938: 0.0024116491703044516
Position 3670: 0.0023815866347247218
Position 2903: 0.0022176286823633404
Position 806: 0.002209179058305501
Position 2244: 0.002005496071128839
Position 311: 0.001918116296793054
Position 2325: 0.001267284412093887
Position 1789: 0.0009559624256956426
Position 1312: 0.0008310433336755741
Position 441: 2.3738833478879412e-05
Position 456: 1.5520537509959512e-06
Position 322: 1.2361087596867021e-06
Position 259: 8.417759404446307e-07
Position 376: 1.772078201670814e-07
Position 809: 1.525976408146459e-07
Position 403: 1.1977681939399571e-07
