Gene = SEPP1
index = 1247
Annotated 5SS: [ 244 3929 5184 7424]
Annotated 3SS: [ 3712  4970  7305 10747]
SMsplice 5SS: [244]
SMsplice 3SS: [332]
top_k =  100
Partition function (log Z): -10.563827083663904

Sorted 5' Splice Sites (High to Low Probability):
Position 244: 0.9640979662964325
Position 415: 0.4318835804184777
Position 3929: 0.169628364936017
Position 2738: 0.16834753644932693
Position 5184: 0.10232960566756902
Position 3808: 0.07167458207266508
Position 142: 0.028324261978842115
Position 419: 0.014445164254623508
Position 726: 0.012149660432445817
Position 410: 0.007513568688203741
Position 590: 0.007050697127380956
Position 137: 0.003976162605477689
Position 248: 0.002211384785839692
Position 2320: 0.0017751437784633856
Position 1389: 0.0008245552169090272
Position 292: 0.0007763444168200202
Position 443: 0.0005931686407194121
Position 686: 0.0005267380168760866
Position 201: 0.0003588406568207376
Position 93: 8.28742247063359e-05
Position 236: 6.87175767327594e-05
Position 239: 2.583734920083544e-05
Position 431: 2.1893469134693673e-05
Position 75: 1.099101473494801e-05
Position 169: 6.944398411765092e-06
Position 171: 1.717672474591594e-06
Position 229: 1.4991020617095762e-06
Position 53: 3.92200427723226e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 332: 0.558365162925052
Position 3712: 0.42949067754581455
Position 4970: 0.4224965755162908
Position 2577: 0.28928507361264516
Position 5834: 0.1071235052528782
Position 3166: 0.04597940316437102
Position 5525: 0.023383544584909155
Position 5870: 0.018754439878504777
Position 477: 0.018659753022911958
Position 4828: 0.018239150898179013
Position 583: 0.01467903715178511
Position 2290: 0.009011394607604313
Position 337: 0.007977998094989227
Position 951: 0.005140241027161516
Position 3111: 0.004769441033530554
Position 1090: 0.003658968894853431
Position 2519: 0.0033805481698484644
Position 1116: 0.002633170629090382
Position 1180: 0.0026266516361576646
Position 543: 0.0009041677240219517
Position 2195: 0.0005966802182780636
Position 1300: 0.0005227725282171109
Position 637: 0.0004590852820705038
Position 632: 0.0004310905386032128
Position 660: 0.00012636052784619793
Position 307: 8.203509519286637e-06
Position 287: 3.022617785510592e-06
Position 358: 9.037723695804053e-07
Position 343: 4.778893907260809e-07
Position 360: 4.2776313506200615e-07
Position 409: 1.4263225784407615e-07
Position 447: 5.844448202326445e-08
Position 379: 3.6930885400179116e-08
Position 418: 2.5422356139491012e-08
