Gene = MCIDAS
index = 821
Annotated 5SS: [ 297  481  740 4365 5140 6300]
Annotated 3SS: [ 383  647 4291 4915 6188 6508]
SMsplice 5SS: [ 297  481  740 4365 6300]
SMsplice 3SS: [ 383  647 4291 6188 6508]
top_k =  100
Partition function (log Z): 0.7345989916976139

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.9971699503184007
Position 297: 0.996227808378098
Position 6300: 0.9886436290101478
Position 740: 0.8536703699484668
Position 3753: 0.13219333190135707
Position 4587: 0.0982816856050385
Position 4710: 0.06501597504179513
Position 4454: 0.061965737543436844
Position 3279: 0.05896026825042851
Position 4059: 0.041428587795497865
Position 1062: 0.04059020777824013
Position 3211: 0.038191150907003084
Position 2930: 0.03461286716552532
Position 6810: 0.00868712036503575
Position 6291: 0.005835891978887922
Position 4096: 0.004142446248156114
Position 531: 0.0022937169084517616
Position 6419: 0.0015383814410706445
Position 4038: 0.0012208829820334129
Position 1256: 0.0009462568965244439
Position 3162: 0.0008813424970895802
Position 110: 0.0005916345501059427
Position 305: 0.000567928028286714
Position 3525: 0.0003418375315347447
Position 857: 0.0002782258430065267
Position 47: 0.00016646022520780014
Position 185: 0.0001426006332304459
Position 440: 7.981456538048365e-05
Position 434: 4.844953011244871e-05
Position 513: 4.732154567825156e-05
Position 700: 3.362758362742056e-05
Position 325: 1.4743939743257704e-05
Position 6412: 9.227603168487528e-06
Position 338: 4.9568314696449786e-06
Position 208: 2.6948623603444176e-06
Position 919: 1.7873898942600662e-06
Position 103: 1.5672827449841927e-06
Position 151: 4.0283803148689527e-07
Position 112: 2.8229737085276283e-07
Position 432: 1.0839879030229137e-10
Position 438: 8.656604379173475e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.981309576456202
Position 6188: 0.9698167620146654
Position 6508: 0.7796198894427208
Position 647: 0.7512424193350451
Position 4291: 0.15849072595844327
Position 3405: 0.10461302825211687
Position 3103: 0.0981635931935634
Position 662: 0.06289108101996072
Position 6886: 0.057870492820903105
Position 3908: 0.04679191702568737
Position 4423: 0.04484821046204446
Position 7027: 0.04331222556515198
Position 584: 0.03927768952013874
Position 6568: 0.03701729051626957
Position 919: 0.03534082455713085
Position 2825: 0.03127421166090996
Position 3719: 0.027992276375261985
Position 6088: 0.027658727016824446
Position 7057: 0.027010564487148815
Position 4520: 0.02342897464605105
Position 6511: 0.022765420178528367
Position 7224: 0.010738271390918165
Position 7013: 0.008787435366696586
Position 420: 0.008324629841500833
Position 401: 0.007765077463549539
Position 972: 0.005116843481522283
Position 6852: 0.004958309715152626
Position 6776: 0.004659213051192633
Position 6995: 0.004586553545273604
Position 2712: 0.0033386555046153554
Position 7133: 0.001722847390883975
Position 6713: 0.001405950175231636
Position 1193: 0.0010691328521839699
Position 7287: 0.0008227668104137974
Position 670: 0.0004799394748916187
Position 820: 0.00013336037919232528
Position 2110: 4.166772461093339e-05
Position 1286: 3.866543604032247e-05
Position 347: 3.7478361648240396e-05
Position 1831: 3.337439789781553e-05
Position 545: 1.0519831157750905e-05
Position 603: 5.847766991150408e-06
Position 471: 5.389324791415634e-06
Position 739: 4.608729485924693e-06
Position 609: 3.6550317504635955e-06
Position 238: 2.1201250563512655e-06
Position 899: 7.224527191545591e-07
Position 1027: 5.977262772130359e-07
Position 591: 5.194857899802971e-07
Position 446: 3.7794996537386e-07
Position 464: 3.361051274432256e-07
Position 427: 1.55724408568581e-07
Position 151: 1.1041275326855753e-07
Position 223: 6.940781118673224e-08
Position 275: 6.929408075748542e-08
Position 128: 2.5449933084061693e-13
