Gene = GGPS1
index = 589
Annotated 5SS: [  149  7985 14429]
Annotated 3SS: [ 7891 14357 14660]
SMsplice 5SS: [  149  7985 14429]
SMsplice 3SS: [ 7891 14357 14660]
top_k =  100
Partition function (log Z): -10.83530682848668

Sorted 5' Splice Sites (High to Low Probability):
Position 7985: 0.9933595474891075
Position 149: 0.85629020536468
Position 14429: 0.684327654733353
Position 1149: 0.4012745837378371
Position 10204: 0.14922995291400992
Position 2636: 0.08258392723445517
Position 2024: 0.06762995116282448
Position 2097: 0.0372678595628385
Position 4173: 0.025207421926832365
Position 582: 0.0147074389962107
Position 227: 0.01085863738724884
Position 731: 0.006799469569257649
Position 658: 0.004064473457786022
Position 108: 0.0032059909351604987
Position 8061: 0.0029130454978648474
Position 275: 0.0016258847430859627
Position 1168: 0.0012852138363647456
Position 225: 0.0010211534483218186
Position 855: 0.0007380881566412595
Position 2158: 0.0006307622931367084

Sorted 3' Splice Sites (High to Low Probability):
Position 7891: 0.9992711329153386
Position 14357: 0.824609718059839
Position 14660: 0.7832969938992942
Position 1021: 0.2129948919245624
Position 10055: 0.1406288044805519
Position 2370: 0.08284750228176538
Position 1906: 0.06442094270931517
Position 881: 0.04031822527182502
Position 2012: 0.040080734987788864
Position 1035: 0.028833234232621865
Position 3956: 0.025207421926832365
Position 10077: 0.024830763296715526
Position 928: 0.018892983684140153
Position 14698: 0.01682489960684677
Position 14751: 0.016195290456553962
Position 10571: 0.011215579335691202
Position 12874: 0.006612320815307838
Position 8153: 0.002252496662503512
Position 9151: 0.0015889619568107117
Position 8167: 0.0007968773966576595
Position 8563: 0.0005601987136905238
Position 9195: 0.0004172959538720336
Position 1069: 0.0003276429259435019
Position 1948: 0.00032472066731576457
Position 1776: 0.00031103123071890657
Position 1860: 0.0002859200778897114
Position 949: 0.00024228434656593204
Position 1878: 0.00023525729659759723
Position 854: 0.00021911692349757967
Position 714: 9.627494443201295e-05
Position 687: 8.90889781591295e-05
Position 4520: 4.753061299216514e-05
Position 1571: 3.7438524603618876e-05
Position 4298: 3.5514562853618266e-05
Position 3390: 2.1319223094859596e-05
Position 1361: 1.8897461736207475e-05
Position 488: 1.2382856003390098e-05
Position 1221: 7.610360914999126e-06
Position 319: 6.294154271073231e-06
Position 491: 5.578932562741985e-06
Position 957: 8.779834029823765e-08
