Gene = SSUH2
index = 1345
Annotated 5SS: [   85 16316 16775 18409 20026 21270 22411 24377 25846 26533 28526]
Annotated 3SS: [16216 16692 18132 19964 21144 22347 24290 25752 26426 28417 32059]
SMsplice 5SS: [  147  3852 12127 13229 14002 16316 16775 18409 20026 22411 24377 25846
 26533 28626]
SMsplice 3SS: [ 3739 12004 13147 13836 16216 16692 18278 19964 22321 24290 25752 26426
 28417 30447]
top_k =  100
Partition function (log Z): 16.61253446417581

Sorted 5' Splice Sites (High to Low Probability):
Position 21270: 0.9999999999999998
Position 16775: 0.9982931871727885
Position 16316: 0.992208697629976
Position 12127: 0.9629396718466385
Position 20026: 0.9603367763960112
Position 26533: 0.9079034573416551
Position 13229: 0.9069230658854045
Position 24377: 0.9063450525036424
Position 25846: 0.8850438250492395
Position 28626: 0.8361015600624537
Position 18409: 0.8319704863250506
Position 3852: 0.6737604511051561
Position 1313: 0.600395005001702
Position 14002: 0.5550185689620054
Position 22411: 0.5455786445465771
Position 22807: 0.4871741516282791
Position 20769: 0.4853028102879507
Position 147: 0.46567439872497485
Position 22433: 0.41802365779722994
Position 85: 0.40280813151707373
Position 19886: 0.3761030696716005
Position 29489: 0.2258967391006705
Position 18224: 0.20497370543375337
Position 12284: 0.200274039029989
Position 9040: 0.18294255745815716
Position 28526: 0.16389843993754535
Position 26351: 0.11634367193703943
Position 27547: 0.11473483407349983
Position 50: 0.10566655287572453
Position 19123: 0.09517604793555953
Position 20895: 0.08755782507243556
Position 20840: 0.07677017669086225
Position 27045: 0.07283537872779587
Position 17882: 0.0687103064191548
Position 25161: 0.05930218373909229
Position 29763: 0.05347576498105272
Position 18700: 0.05187101055282112
Position 13225: 0.04816076958435947
Position 26273: 0.04467714277137117
Position 14605: 0.043651692570196084
Position 17677: 0.04271448865821357
Position 26227: 0.03872558046829129
Position 12131: 0.03706032815336038
Position 27466: 0.022377380207574717
Position 13233: 0.02152640120486642
Position 17297: 0.02076384763377716
Position 13935: 0.019643109347923262
Position 858: 0.016363237890667622
Position 24535: 0.01273671559266401
Position 13525: 0.012616261744587836
Position 18426: 0.012344741147586463
Position 28227: 0.008631701704836672
Position 201: 0.008027345960816735
Position 16517: 0.007163175417628171
Position 16537: 0.007047453375193163
Position 17788: 0.006670402808724551
