Gene = PEA15
index = 1010
Annotated 5SS: [ 186 6380 7929]
Annotated 3SS: [6205 7772 8084]
SMsplice 5SS: [ 186 2898 7929]
SMsplice 3SS: [2800 7772 8084]
top_k =  100
Partition function (log Z): -4.591373985535633

Sorted 5' Splice Sites (High to Low Probability):
Position 2898: 0.9978369887832957
Position 186: 0.977430523620528
Position 7929: 0.9472760580638271
Position 1901: 0.8054379255887445
Position 8174: 0.5480003860641051
Position 6380: 0.5314018300941128
Position 3329: 0.1089632323554803
Position 8545: 0.07444761234650978
Position 624: 0.04689102968498426
Position 8556: 0.03799915978158413
Position 8540: 0.03751660332797277
Position 1732: 0.03727063270390071
Position 9192: 0.019848273084417074
Position 2220: 0.01109332284723898
Position 347: 0.009298467035279761
Position 117: 0.009169786271599431
Position 6314: 0.00415978772330264
Position 1116: 8.691510230274538e-05
Position 343: 7.293460871370325e-05
Position 1249: 3.264972827768784e-05
Position 580: 3.0373087627951335e-05
Position 331: 2.8013307951455116e-05
Position 1188: 1.877960509638595e-05
Position 236: 1.0653198881669234e-08
Position 22: 4.931604755061687e-09
Position 152: 4.678065823580572e-09
Position 210: 3.848096427646025e-09
Position 17: 8.701473716474293e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 7772: 0.9472760580638271
Position 8084: 0.9334191464550933
Position 2800: 0.8396721028405522
Position 6205: 0.5366359843712571
Position 9984: 0.35368031564129937
Position 1792: 0.34406714349780415
Position 1690: 0.25897025758424785
Position 1821: 0.20356631726847454
Position 2707: 0.1492775122531699
Position 8401: 0.10671384700633946
Position 8487: 0.08165546886417366
Position 8753: 0.07582858289888016
Position 3183: 0.05408630097755111
Position 9004: 0.044630073743251085
Position 9346: 0.03884472453012226
Position 515: 0.036413958158327965
Position 1795: 0.032352578333368125
Position 3203: 0.02670726649177854
Position 8982: 0.02541758383502151
Position 3126: 0.021161430753569098
Position 9328: 0.020974693716945658
Position 8432: 0.015627093373671633
Position 8214: 0.012894354039266968
Position 2686: 0.008417403164277233
Position 2133: 0.0073571779466997025
Position 3081: 0.007008234132581549
Position 320: 0.004290396600000367
Position 9031: 0.0038925157059239747
Position 2104: 0.003736144900539278
Position 1728: 0.003275353792963434
Position 4232: 0.0020980870303817342
Position 602: 0.0018804277043753962
Position 2629: 0.00045686822368068983
Position 3720: 0.0004478225198729198
Position 1576: 0.00041297741322106113
Position 4381: 0.0004115519191832594
Position 449: 0.0002398999957743483
Position 2583: 0.00018034454289479643
Position 1022: 6.30688988341289e-05
Position 278: 4.672826676467203e-05
Position 1496: 4.5904997062225494e-05
Position 998: 3.8769808344611754e-05
Position 2862: 3.4564530041472915e-05
Position 1151: 3.118431086451049e-05
Position 472: 2.8704911100757127e-05
Position 1650: 1.802540550379347e-05
Position 553: 1.2658642752215013e-05
Position 418: 7.0627687466209195e-06
Position 1088: 3.6980039104497283e-06
Position 1155: 1.6234137231184454e-06
Position 358: 1.3147668195676115e-06
