Gene = HHLA3
index = 651
Annotated 5SS: [  303 11733]
Annotated 3SS: [11638 12811]
SMsplice 5SS: [  303 11524]
SMsplice 3SS: [11340 11638]
top_k =  100
Partition function (log Z): -11.574855793848593

Sorted 5' Splice Sites (High to Low Probability):
Position 303: 0.6660722370498825
Position 11524: 0.5041364634145764
Position 7104: 0.35792632117884443
Position 11733: 0.3109823521652507
Position 404: 0.26772084423962506
Position 307: 0.053426949745836005
Position 2711: 0.019049838466827767
Position 741: 0.01299050007844344
Position 2614: 0.0053143290928754135
Position 5635: 0.0049358718919604895
Position 154: 0.0027908552444066087
Position 121: 0.0009956803054604678
Position 149: 0.00011487121541283406
Position 114: 1.1946996142097995e-05
Position 37: 1.1335871410502454e-05
Position 160: 3.4619270046463962e-06
Position 60: 1.5450706852587528e-06
Position 326: 6.337689761078283e-07
Position 567: 5.615620406800708e-07
Position 41: 1.4393184475876868e-07
Position 39: 1.0129227255154162e-07
Position 140: 9.687723845334903e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 11638: 0.796541273370499
Position 11340: 0.5464389471251673
Position 6987: 0.37469737155697097
Position 12811: 0.13579741593878286
Position 12127: 0.08319904672235424
Position 11588: 0.08007920369022717
Position 11922: 0.046384688391104094
Position 12886: 0.045601201113009734
Position 11607: 0.029926771875665482
Position 2522: 0.01874204000873057
Position 7257: 0.01662068865320633
Position 3260: 0.011001829133955865
Position 234: 0.003919321637954329
Position 2543: 0.003689231586180953
Position 5494: 0.0030871683252026295
Position 869: 0.002399451826897653
Position 2498: 0.002072078553650394
Position 5458: 0.0018487035667578604
Position 5664: 0.0012463889643142575
Position 2815: 0.0012325443235158475
Position 1677: 0.00044547960488963126
Position 4840: 0.00039320939813844587
Position 1495: 0.00033706677115049254
Position 665: 0.0002623724525521956
Position 1225: 0.00013333670249763096
Position 1259: 0.0001026715153482257
Position 643: 8.776611901925409e-05
Position 1159: 6.892349293700731e-05
Position 935: 6.199135589252198e-05
Position 545: 3.8508907277540495e-05
Position 603: 1.2283433589694108e-05
Position 564: 9.813362326202276e-06
Position 204: 5.986821621395336e-06
Position 680: 9.645407995783578e-07
Position 507: 2.487917403400314e-07
Position 257: 2.3206683241534386e-07
Position 454: 2.265483290686218e-07
Position 440: 2.1452535907192337e-07
Position 613: 1.989789221773074e-07
Position 206: 7.963364942229641e-08
