Gene = YOD1
index = 1585
Annotated 5SS: [390]
Annotated 3SS: [1353]
SMsplice 5SS: [390]
SMsplice 3SS: [1353]
top_k =  100
Partition function (log Z): -8.859552037180544

Sorted 5' Splice Sites (High to Low Probability):
Position 390: 0.9492131238988011
Position 1208: 0.08065191566256448
Position 695: 0.05286698345007344
Position 66: 0.04787370916519319
Position 1095: 0.046499195731066
Position 150: 0.021838173384054634
Position 251: 0.021048125480731504
Position 480: 0.01303658551746508
Position 303: 0.008442833108572622
Position 1429: 0.004686000684975049
Position 1417: 0.0031865238607382963
Position 640: 0.002249427453713318
Position 1420: 0.0012733577648482066
Position 110: 0.0007712296727390102
Position 1354: 0.0006996907360893283
Position 1434: 0.0005168013017183939
Position 161: 0.0004117317395643
Position 49: 0.00026072080725888
Position 96: 0.0001405772755422521
Position 474: 8.823464664067785e-05
Position 80: 8.317315276852197e-05
Position 442: 2.0257001558501564e-05
Position 1029: 5.98543611273272e-06
Position 334: 5.023423585768218e-06
Position 184: 2.9004290168075545e-06
Position 317: 1.4317624635136726e-06
Position 419: 5.474139287750988e-07
Position 12: 3.2365050039758104e-07
Position 221: 1.0595363603598904e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1353: 0.5881672980946318
Position 1327: 0.29748295016726783
Position 586: 0.08008403705836704
Position 1094: 0.07980648290237967
Position 229: 0.06872305668303079
Position 5846: 0.017169870764091048
Position 4447: 0.01585277978081574
Position 6403: 0.014870454042029666
Position 1501: 0.012556618929162905
Position 979: 0.01192609812112929
Position 884: 0.011759470815953719
Position 887: 0.009159475135329572
Position 5601: 0.006322291333918338
Position 793: 0.006158753413481726
Position 6039: 0.005647636760369799
Position 4126: 0.0045113509725975415
Position 4981: 0.003354234424677507
Position 3658: 0.0026820842683658555
Position 1119: 0.0023152479196798708
Position 3346: 0.002203318171855194
Position 4287: 0.0018334413671048275
Position 940: 0.0016221948832638921
Position 805: 0.0014800322014025457
Position 1462: 0.0014478685315206846
Position 3319: 0.0013287062080431023
Position 924: 0.001327105330586339
Position 3235: 0.0012050861481640333
Position 1269: 0.001017041446623386
Position 984: 0.0009705792547121073
Position 1283: 0.0009505239032195225
Position 947: 0.0008058282777543445
Position 960: 0.00023238791734737913
Position 842: 0.00022731834058123648
Position 168: 0.00020623357519364708
Position 265: 0.00019815831084995942
Position 821: 0.0001855121345531455
Position 307: 3.779547977331644e-05
Position 240: 2.5033906883816367e-05
Position 202: 1.3657735849750497e-05
Position 348: 2.047853162481e-06
Position 208: 1.1103378135822272e-06
Position 121: 1.0586512813990414e-06
Position 334: 6.56206003898688e-07
Position 137: 4.275825844993402e-07
Position 401: 3.06254032436585e-07
Position 394: 2.765378993019981e-07
Position 552: 2.1417767476953818e-07
Position 503: 2.0272195978464147e-07
Position 508: 1.6056008921927077e-07
Position 468: 8.10313522857878e-08
Position 473: 6.663455961587862e-08
Position 371: 6.630494639465732e-08
