Gene = ATP6V1F
index = 115
Annotated 5SS: [237]
Annotated 3SS: [2550]
SMsplice 5SS: [237]
SMsplice 3SS: [2550]
top_k =  100
Partition function (log Z): -3.4754575046417124

Sorted 5' Splice Sites (High to Low Probability):
Position 237: 0.5472809276923611
Position 682: 0.4222082283778401
Position 242: 0.4166738468226425
Position 691: 0.15013020071585673
Position 1078: 0.05081319398527287
Position 604: 0.049105359125238224
Position 1202: 0.045354054735002675
Position 2378: 0.029124898144108832
Position 319: 0.014303088338755291
Position 579: 0.013744973610545561
Position 56: 0.01055373596267153
Position 1029: 0.01040105402235197
Position 2612: 0.00896901820640206
Position 1191: 0.006824771184370502
Position 92: 0.006094172825114372
Position 825: 0.003140969272455721
Position 418: 0.0020981632465348504
Position 127: 0.0015317881142769413
Position 397: 0.0012140425351218976
Position 14: 0.0008769191677836331
Position 492: 0.00024562862731406524
Position 280: 0.00023146381278198793
Position 708: 0.0001670281643642474
Position 773: 0.00011093900237384567
Position 46: 4.730223213156171e-06
Position 285: 3.970912431859629e-06
Position 447: 3.68519661866184e-06
Position 30: 3.3298806167920414e-07
Position 134: 5.086271322260344e-08
Position 36: 5.322565734124955e-09
Position 106: 1.50335387881374e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2550: 0.9707700524171028
Position 578: 0.5015278284049752
Position 528: 0.1365972776117804
Position 924: 0.07040936227080404
Position 977: 0.033886028938081666
Position 2293: 0.02912489814410882
Position 2459: 0.011462137002843525
Position 1798: 0.010051151727374343
Position 1070: 0.008976200114148845
Position 2791: 0.005564899740539364
Position 154: 0.002895172911792916
Position 1028: 0.002862169476907258
Position 2874: 0.0011269814316096308
Position 1272: 0.0009611477268393221
Position 2803: 0.0008916957195332898
Position 2715: 0.000803732038787985
Position 1819: 0.0007750014048735339
Position 824: 0.0006798871321218048
Position 2975: 0.0005817092759317853
Position 550: 0.00022858460576368028
Position 201: 0.0002201674258215462
Position 363: 0.00018949116194569732
Position 862: 0.00018048608856482775
Position 76: 0.00016050709258810531
Position 460: 6.084757879772456e-05
Position 707: 4.75161752309584e-05
Position 168: 3.585840844483234e-05
Position 358: 3.354023513486457e-05
Position 554: 3.3376781215024216e-05
Position 379: 3.328966300430432e-05
Position 405: 1.50564339188207e-05
Position 198: 1.4228227411360766e-05
Position 339: 1.095933250095213e-05
