Gene = AIDA
index = 43
Annotated 5SS: [  317  9377 18315 18736 24930 25595 36429 39212 42392]
Annotated 3SS: [ 9306 18260 18680 24865 25487 36305 39088 42273 42534]
SMsplice 5SS: [  317  9377 18315 18736 25595 26835 33677 36429 39212 42392]
SMsplice 3SS: [ 9306 18260 18680 25487 26743 33569 36305 39088 42273 42534]
top_k =  100
Partition function (log Z): -1.2614194794109146

Sorted 5' Splice Sites (High to Low Probability):
Position 9377: 1.0000000000000013
Position 18315: 1.0000000000000013
Position 18736: 1.0000000000000013
Position 36429: 0.9999921821765768
Position 25595: 0.9821272721395147
Position 42392: 0.8980584288636395
Position 317: 0.8936142551189096
Position 39212: 0.8481060628268581
Position 26835: 0.651506244018949
Position 915: 0.6499213077302889
Position 33677: 0.6299833484031925
Position 2773: 0.4506534603026573
Position 24930: 0.35221611196488256
Position 2147: 0.2911303703000742
Position 9933: 0.2702600870903686
Position 38311: 0.16958911972373497
Position 1146: 0.16275729632365393
Position 41850: 0.12405081586991158
Position 562: 0.04581864256239805
Position 173: 0.02148500582833171
Position 982: 0.01110866185952865
Position 25599: 0.01106082087862751
Position 1476: 0.00940111674441679
Position 9749: 0.008977137437479178
Position 40540: 0.007016858714859984
Position 26583: 0.004858558127405838
Position 399: 0.002956111400935048
Position 122: 0.002836231853127865
Position 308: 0.0026061395534462293
Position 101: 0.0008500026115341327
Position 216: 0.0005985930297138103
Position 424: 0.0005281970139182611
Position 675: 0.0005259625360542385
Position 646: 0.0005007965323647881
Position 116: 0.00045568843001847796
Position 380: 0.00032853278687774306
Position 80: 0.0002914061950949033
Position 510: 0.0002481350442544394
Position 86: 0.0002243259877111095
Position 37: 1.7241287918213864e-05
Position 89: 1.526902582955242e-05
Position 95: 3.7399603153514123e-06
Position 4: 2.383344819619796e-06
Position 359: 1.7795031176303586e-06
Position 194: 1.2420147502526772e-06
Position 291: 7.485001558747141e-07
Position 18: 4.0331068415065966e-07
Position 209: 1.588776391977759e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 9306: 1.0000000000000016
Position 18680: 1.0000000000000013
Position 18260: 1.000000000000001
Position 36305: 0.9999921821765767
Position 25487: 0.9931880930181421
Position 42534: 0.9654787934130633
Position 42273: 0.9028797233285939
Position 39088: 0.8484612098203003
Position 26743: 0.6515078922591773
Position 33569: 0.6299833484031927
Position 2708: 0.4506534603026572
Position 790: 0.3738928894571432
Position 24865: 0.35221611196488256
Position 2011: 0.2833589366976634
Position 9816: 0.26004459038427824
Position 674: 0.23812125952751204
Position 38227: 0.12469355654993135
Position 41677: 0.12460520678078975
Position 1032: 0.0697220350915476
Position 38179: 0.044895563173803624
Position 978: 0.04099544484728376
Position 1023: 0.04022136717619776
Position 9628: 0.019192634143569535
Position 42720: 0.015195833426267048
Position 542: 0.011981508008174256
Position 744: 0.009994526618226753
Position 1356: 0.009401116744416791
Position 40465: 0.008279404995893087
Position 2045: 0.007771433602410787
Position 44157: 0.0059061254035416445
Position 26370: 0.004859914889778162
Position 41303: 0.0039206568985161614
Position 408: 0.0027549948228467055
Position 236: 0.0025100208350488425
Position 437: 0.002147994215660357
Position 42468: 0.0019924121781828502
Position 874: 0.00151616713726654
Position 256: 0.0008553542319005641
Position 287: 0.0007753512735886557
Position 466: 0.0006230636921466755
Position 472: 0.0004375475934550373
Position 250: 0.00043252520157011147
Position 36548: 0.0003969043152375272
Position 486: 0.00019558247909383272
Position 36837: 0.0001080778914602345
Position 586: 0.00010627614740942506
Position 422: 8.796724720257328e-05
Position 176: 6.840488276659103e-05
Position 877: 6.709206176666043e-05
Position 413: 6.547787220985874e-05
Position 226: 6.458842589356126e-05
Position 711: 3.699747044686147e-05
Position 646: 1.5745583512679967e-05
Position 215: 8.076323519879872e-06
Position 27496: 4.812820823426583e-06
