Gene = PGBD5
index = 1019
Annotated 5SS: [  148 20752 26688 40538 44802 52336]
Annotated 3SS: [20323 26552 40356 44603 52229 54024]
SMsplice 5SS: [  148 20476 26688 40538 44802 52336]
SMsplice 3SS: [20323 26552 40356 44603 52229 54024]
top_k =  100
Partition function (log Z): -29.982941706209534

Sorted 5' Splice Sites (High to Low Probability):
Position 148: 0.9967629491356383
Position 8138: 0.010970077101734966
Position 624: 0.007603006039204548
Position 419: 0.004148181932352258
Position 1354: 0.00238949466101999
Position 1370: 0.001950402609502565
Position 13: 0.0004769537122670288
Position 461: 0.00025017547588884726
Position 162: 4.566956100780567e-05
Position 17: 2.873312017659869e-06
Position 61: 4.595148404434371e-07
Position 272: 2.9229759597838415e-08
Position 8: 6.474027466706289e-09
Position 54: 1.3500947214726925e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 20323: 0.9031258472012871
Position 8976: 0.02295551116553644
Position 9026: 0.014276652560834754
Position 8012: 0.010970077101734966
Position 9500: 0.009719352333103464
Position 2334: 0.009483009264554084
Position 2317: 0.008119535789008913
Position 2569: 0.007551116432081398
Position 7510: 0.00651277773152502
Position 1263: 0.0051616122469718105
Position 5250: 0.004140136743325338
Position 5538: 0.0026724284958087327
Position 496: 0.0026204966630637597
Position 253: 0.0018781768477340467
Position 236: 0.0018009572152913708
Position 558: 0.001649463502702982
Position 5384: 0.0012582254642582403
Position 896: 0.0012274402210002444
Position 5273: 0.000955633663666872
Position 3231: 0.0006657474541178613
Position 586: 0.0006650330224904742
Position 1675: 0.0006362817901631076
Position 4215: 0.0006126595664483453
Position 3023: 0.0005925280283710462
Position 318: 0.0005888278538828587
Position 2364: 0.0005840266267950925
Position 2449: 0.0005326547528706148
Position 562: 0.0005261627452551779
Position 276: 0.0005225146630511064
Position 446: 0.00045212293096200075
Position 2072: 0.0003301260460431918
Position 3255: 0.00032780357643443354
Position 2231: 0.0002580996428200262
Position 2962: 0.00025768534646191434
Position 2259: 0.00021390368687549194
Position 535: 0.000165600448959183
Position 783: 0.00016103755230667297
Position 418: 0.00015200284603069037
Position 978: 0.00010969713277852207
Position 780: 0.00010295349488855154
Position 352: 4.1774527280967725e-05
Position 81: 1.3074170354895984e-05
Position 374: 4.0193003877183e-06
Position 460: 3.819172628722617e-06
Position 512: 8.52862127321132e-07
Position 391: 5.20304773773543e-07
Position 147: 2.37808256109947e-07
Position 128: 4.032303374903359e-08
Position 95: 2.043894289275897e-08
