Gene = TFB2M
index = 1395
Annotated 5SS: [  499  1979  8944  9752 15112 17780 21804]
Annotated 3SS: [ 1889  8789  9602 15021 17716 21642 25121]
SMsplice 5SS: [  499 17780 21804 25387]
SMsplice 3SS: [17716 21642 25121 25547]
top_k =  100
Partition function (log Z): -17.140614292099325

Sorted 5' Splice Sites (High to Low Probability):
Position 499: 0.9944949114013589
Position 2000: 0.2942156323484252
Position 1979: 0.14849249943605242
Position 8944: 0.13784336333478572
Position 6600: 0.12237187681396963
Position 2026: 0.11046390411926162
Position 153: 0.0630602944633575
Position 1798: 0.02274028327419396
Position 6641: 0.017361929475828434
Position 15: 0.012894145040274108
Position 111: 0.011898301574765886
Position 137: 0.002330845382374917
Position 130: 0.002163248936057469
Position 247: 0.001773092772193533
Position 266: 0.0011675339096226586
Position 125: 0.0007867571900302912
Position 1414: 0.0007190156959942065
Position 140: 0.000358639083902092
Position 44: 0.0003327684095318244
Position 188: 0.00019642143022168533
Position 201: 7.671933709149902e-05
Position 66: 5.428596316221269e-05
Position 104: 1.4326896108135002e-05
Position 64: 3.4277014369497564e-06
Position 198: 8.503413085860949e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1889: 0.5540782641898198
Position 10759: 0.459190387642258
Position 8789: 0.42281544283505235
Position 6507: 0.2391928979429318
Position 5807: 0.05510037589284922
Position 264: 0.05494666765058791
Position 335: 0.0377676888907126
Position 616: 0.0265614345276451
Position 4067: 0.013834685665256296
Position 1752: 0.00942811149551271
Position 3732: 0.008352328287565844
Position 7456: 0.007321874855493861
Position 2120: 0.0070639544741317875
Position 1909: 0.006910653082758768
Position 4507: 0.006522105909939436
Position 3240: 0.005232477170609991
Position 358: 0.0043960507199843684
Position 6146: 0.00371911566500055
Position 5803: 0.00298379504461633
Position 3709: 0.002971931088825253
Position 1708: 0.0029657779604333177
Position 3273: 0.00284930598623166
Position 1680: 0.002561941981645693
Position 1309: 0.002001231669120316
Position 639: 0.0019920896857243244
Position 1784: 0.0016393921150212097
Position 2369: 0.0012363197250127712
Position 845: 0.00044633743061848954
Position 622: 0.00042606290831347934
Position 1034: 0.00033002020210602895
Position 1598: 0.00032665680725522413
Position 578: 0.00026562102249658555
Position 1387: 0.00018435782997095596
Position 1797: 0.00010600962405222901
Position 1311: 9.24551815986739e-05
Position 287: 5.761562610471763e-07
Position 198: 2.313076180745577e-07
Position 273: 2.2149408424201515e-07
Position 140: 1.1675206523634958e-07
Position 463: 4.0222574893697004e-08
Position 466: 2.510932267532479e-08
Position 223: 2.0500867062142675e-08
Position 143: 1.962736112540103e-08
