Gene = MORN5
index = 855
Annotated 5SS: [  109  7005  9846 14717]
Annotated 3SS: [ 6856  9733 14584 39973]
SMsplice 5SS: [  109  9846 14717]
SMsplice 3SS: [ 9733 14584 39973]
top_k =  100
Partition function (log Z): -14.903104716120799

Sorted 5' Splice Sites (High to Low Probability):
Position 9846: 0.9999951098370157
Position 109: 0.9963189659830873
Position 14717: 0.7310849057922932
Position 3242: 0.4738007679067503
Position 7005: 0.40811739891999443
Position 1516: 0.21826375879189627
Position 3452: 0.1529653582339752
Position 16754: 0.12394167569229961
Position 5908: 0.09899021739724068
Position 3604: 0.05317999565480484
Position 3599: 0.03769452071262016
Position 10910: 0.026729117412865027
Position 11417: 0.02469308550988739
Position 11784: 0.023657180319583682
Position 1466: 0.014305996995034159
Position 14585: 0.011053412588323304
Position 2561: 0.006909650184792739
Position 1105: 0.00644101303152816
Position 11400: 0.0012061609029225316
Position 222: 0.0010858241773259029
Position 11: 0.0007256113562205895
Position 451: 0.0004437003618996177
Position 3005: 0.0004276994722528906
Position 1303: 1.8287539009888697e-05
Position 1392: 1.0545059411672081e-05
Position 847: 6.837817448146964e-06
Position 292: 7.81067970485742e-07
Position 98: 5.129385242329603e-07
Position 294: 5.050206582148827e-07
Position 311: 4.916351116494454e-07
Position 582: 4.830393356866166e-07
Position 67: 4.7650401426293635e-07
Position 313: 4.709996776343488e-07
Position 309: 4.1475921107993994e-07
Position 406: 5.305563857339835e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9733: 0.9999951098370158
Position 19909: 0.8673684481395456
Position 14584: 0.7331977464120224
Position 3004: 0.4253973385578005
Position 6856: 0.4081173989199947
Position 1465: 0.19818553803906222
Position 3349: 0.17151332272002948
Position 16619: 0.14641041660161785
Position 5806: 0.09899021739724054
Position 17990: 0.0951009890257771
Position 3387: 0.07233017059637935
Position 3196: 0.04744341614296977
Position 1203: 0.03204904493490509
Position 11480: 0.018573171944735175
Position 14277: 0.018088835062023627
Position 11273: 0.013347089239586853
Position 11276: 0.012552157173223062
Position 10627: 0.00828960188936644
Position 10754: 0.007976649314836706
Position 10715: 0.006567191649034548
Position 2458: 0.0059429030230366345
Position 11558: 0.0058525044543303924
Position 10672: 0.004248498973182021
Position 11944: 0.002717688662692833
Position 724: 0.0024092919087821806
Position 890: 0.002339566864666851
Position 13811: 0.0017870083707770528
Position 2852: 0.001274318780482804
Position 1362: 0.0010116588602685664
Position 2427: 0.0009667471617561043
Position 1443: 0.0008087318197561107
Position 1487: 0.000316760767834468
Position 11521: 0.0002826511424412241
Position 866: 0.000250066976908507
Position 1447: 0.00022685396352538822
Position 2875: 0.00011339389775090923
Position 330: 5.0262523338218196e-06
Position 342: 4.947238708841479e-06
Position 798: 4.934827098704712e-06
Position 1045: 2.9856175843708603e-06
Position 822: 2.4203796359001594e-06
Position 784: 2.258511358443123e-06
Position 917: 1.5920650528622213e-06
Position 892: 1.5679424618669118e-06
Position 367: 1.126861855743703e-06
Position 1049: 1.034358356143471e-06
Position 942: 5.273338784862355e-07
Position 444: 1.3531858312440541e-08
