Gene = DAP
index = 427
Annotated 5SS: [  259 13098 77744]
Annotated 3SS: [13000 77700 80102]
SMsplice 5SS: [  259  4998 10986 13098 15518 28727 80213]
SMsplice 3SS: [ 4870 10879 13000 15441 28587 80102 81111]
top_k =  100
Partition function (log Z): -34.46978930620574

Sorted 5' Splice Sites (High to Low Probability):
Position 13098: 0.998176536311962
Position 4998: 0.9979704501025375
Position 259: 0.9781791632834185
Position 13571: 0.7515813339652554
Position 15518: 0.6894364261331495
Position 10986: 0.505191719748626
Position 10104: 0.25448501656931194
Position 1030: 0.22169567195383164
Position 1087: 0.0931657671359911
Position 15538: 0.09185283785728736
Position 1077: 0.08558663539370927
Position 1092: 0.06683513915306369
Position 7141: 0.06363910947741049
Position 7765: 0.05821722745075941
Position 7769: 0.045647721937217695
Position 6964: 0.012180261177687314
Position 536: 0.00907270668568065
Position 514: 0.006245318612147484
Position 7517: 0.005667088108048952
Position 642: 0.002725157016739336
Position 13148: 0.0017053895932552551
Position 663: 0.001348904549631215
Position 413: 0.0013330985218061105
Position 6343: 0.00114597812499811
Position 292: 0.000923243274601005
Position 6187: 0.0007151069633986136
Position 574: 0.00010682233523895983
Position 508: 3.6239148139789284e-05
Position 368: 1.8958360395826382e-05
Position 848: 1.0388212192095471e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 13000: 0.9999995819888262
Position 4870: 0.9254029560870699
Position 27003: 0.9204418450491156
Position 15441: 0.7618176319802696
Position 10879: 0.5051917197486248
Position 1000: 0.38729775088816887
Position 13373: 0.2570682324921746
Position 10024: 0.25448501656931194
Position 13437: 0.16958211886676142
Position 13399: 0.15450839513383333
Position 7606: 0.1038649493879765
Position 4940: 0.07256749401546814
Position 937: 0.06832602826890904
Position 7105: 0.06363910947741072
Position 13346: 0.047480367142373206
Position 13240: 0.046445085531792135
Position 13441: 0.04558821621472084
Position 13308: 0.025445214439670554
Position 15265: 0.02128966713429523
Position 21037: 0.019905031442035478
Position 20775: 0.016322832383728614
Position 21204: 0.011034573601918202
Position 21294: 0.010828402707157065
Position 966: 0.009198435207342858
Position 19926: 0.007168379710796418
Position 13263: 0.006688845316662509
Position 6790: 0.006502896564487268
Position 7399: 0.0056670881080489125
Position 6830: 0.004662381167680059
Position 13938: 0.0027799802987309506
Position 800: 0.002461417283348158
Position 17305: 0.002033370242867781
Position 18747: 0.001620493955283616
Position 6262: 0.00114597812499811
Position 14202: 0.0011245333442742392
Position 6849: 0.0010149834455199865
Position 15889: 0.0009317631051299023
Position 17096: 0.0007805974068078016
Position 6010: 0.0007151069633986129
Position 13736: 0.0006493771416363731
Position 16187: 0.0005443571380218649
Position 15802: 0.0003672809963122982
Position 13900: 0.00030593108454345184
