Gene = CARNMT1
index = 279
Annotated 5SS: [  383 11142 12127 28665 29797 31948 43488]
Annotated 3SS: [10945 11962 28523 29617 31833 43383 44525]
SMsplice 5SS: [  383  1342 11142 11842 12127 28665 29797 31948 43174 43488 44614]
SMsplice 3SS: [ 1242 10945 11588 11962 28523 29617 31833 43067 43383 44525 46869]
top_k =  100
Partition function (log Z): -25.89197062241806

Sorted 5' Splice Sites (High to Low Probability):
Position 383: 0.9448747225504281
Position 1342: 0.9003103236617328
Position 11142: 0.37263119304228215
Position 11842: 0.34230956531471385
Position 12127: 0.21149304779260322
Position 7294: 0.14071448314758664
Position 2019: 0.10821667709832274
Position 2077: 0.06608593906872898
Position 4313: 0.05754142349172821
Position 1360: 0.05568702020998325
Position 340: 0.03860731799575577
Position 2635: 0.032093817444861436
Position 960: 0.009832127099847831
Position 658: 0.004762964889724876
Position 1944: 0.0032762901979059276
Position 858: 0.0028076433322028827
Position 2595: 0.002607822315899848
Position 1266: 0.0018119992579701885
Position 1888: 0.0016055590793252522
Position 755: 0.00033758840074618113
Position 1243: 0.00023165057507769436
Position 1287: 0.00017565139921919815
Position 1804: 2.9035297403702623e-05
Position 2014: 7.053691469243543e-06
Position 234: 7.732654160270745e-08
Position 576: 3.7945716436262384e-08
Position 279: 1.8298086734160226e-08
Position 108: 1.6149647016153695e-08
Position 432: 1.4907718375875155e-08
Position 104: 1.0618048399314022e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 11588: 0.7587268258557506
Position 1242: 0.5490977710481914
Position 10945: 0.4383154644928092
Position 11962: 0.4203506474876055
Position 1166: 0.35766504910314545
Position 15085: 0.21149304779260322
Position 1803: 0.2015275785910863
Position 7227: 0.14358026869344787
Position 4230: 0.08085079696333201
Position 2522: 0.06218429253733727
Position 1170: 0.023518918860798408
Position 1270: 0.015444794099789844
Position 1140: 0.0094430840514288
Position 7609: 0.0039219996449219785
Position 7555: 0.00365462728460145
Position 4427: 0.003450302436130495
Position 6462: 0.0028410098681022683
Position 1682: 0.0020335892333068132
Position 710: 0.001325439727082264
Position 3045: 0.0011940546658948427
Position 1098: 0.000970102937398163
Position 3429: 0.0009658822329738231
Position 657: 0.0008617952986287234
Position 3769: 0.0007598277148237617
Position 3993: 0.0006781645594079372
Position 1014: 0.0006299149972823423
Position 1208: 0.0006019338951509561
Position 2167: 0.0005893979153234504
Position 2050: 0.00040394576724490743
Position 1497: 0.00037767648352346955
Position 852: 0.00016034178524030845
Position 621: 0.00010366548836660065
Position 1302: 9.82918003225576e-05
Position 826: 9.288301151784356e-05
Position 1309: 7.510909879707239e-05
Position 600: 3.253277050843978e-05
Position 867: 1.721860838640914e-05
Position 714: 9.503226277332346e-06
Position 549: 3.3415727435028778e-06
