Gene = SNTN
index = 1293
Annotated 5SS: [ 130 2129 7197]
Annotated 3SS: [ 2093  7056 11268]
SMsplice 5SS: [ 130 2129 7197]
SMsplice 3SS: [ 2093  7056 11268]
top_k =  100
Partition function (log Z): -7.708818855091066

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9952663753869175
Position 7197: 0.7228505770493946
Position 2129: 0.6855060633778823
Position 2228: 0.2863563061329358
Position 3565: 0.2778999526025036
Position 6336: 0.25348418765485736
Position 5508: 0.13574368194607475
Position 936: 0.058486243005956236
Position 6793: 0.04804336092766375
Position 3242: 0.032587022833541576
Position 1403: 0.008551553069689438
Position 1672: 0.008462646428546432
Position 1501: 0.008369353704442079
Position 1804: 0.008005043547253404
Position 797: 0.005970023376434734
Position 1282: 0.0022080641665820607
Position 1702: 0.001798743585895861
Position 1240: 0.0013725841602141202
Position 2586: 0.0011325498747979956
Position 1465: 0.00048617952602308316
Position 877: 0.00016896366490947468
Position 384: 5.136999117500206e-05
Position 370: 2.2003257757748023e-05
Position 325: 2.1729543310275494e-05
Position 30: 6.488842932530992e-06
Position 565: 6.121658461059159e-06
Position 314: 4.1474318780256625e-07
Position 460: 1.7409271319908113e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2093: 0.8381389709295134
Position 11268: 0.6004983945286105
Position 7056: 0.4672106702337775
Position 7114: 0.3988039920489582
Position 3404: 0.26332266810081456
Position 6198: 0.2557981341631403
Position 2034: 0.13663181660998508
Position 11641: 0.12235218252078373
Position 5463: 0.11268844328406775
Position 6457: 0.10588851687580045
Position 5358: 0.06740398368257756
Position 733: 0.055482169709214685
Position 1239: 0.02506208378187922
Position 3142: 0.01672698488210026
Position 3090: 0.015860037951441298
Position 3484: 0.015455646701386948
Position 1484: 0.006749042820082019
Position 2062: 0.00532295371782612
Position 1149: 0.004395986269298637
Position 1652: 0.004130149067365971
Position 6933: 0.00341223906729989
Position 1697: 0.003358708038645806
Position 6460: 0.0032242686619606857
Position 626: 0.003144062424729679
Position 3950: 0.0021529910615876065
Position 2279: 0.002093712292294634
Position 513: 0.0015310518639864042
Position 2331: 0.0013735867889348341
Position 4633: 0.0012122343787916495
Position 2385: 0.000848869909348732
Position 1543: 0.0007285628314825435
Position 1761: 0.0004921090270780686
Position 2735: 0.00042340056402400105
Position 2406: 0.0003808102666688801
Position 668: 0.00025946709222802143
Position 693: 0.00023563529961616244
Position 554: 3.414164326530992e-05
Position 3270: 7.031219433993284e-06
Position 1957: 5.983487945829376e-06
Position 1932: 5.419716112648176e-06
Position 836: 2.5274909167293983e-06
Position 751: 1.8536541279633573e-06
Position 636: 1.4510154609689038e-06
Position 896: 1.3439582073744081e-06
Position 923: 1.3031762797262165e-06
Position 861: 6.970472233480536e-07
Position 786: 5.17208086605704e-07
Position 709: 4.6313400446578565e-07
Position 912: 4.3012751847952954e-07
Position 753: 7.782616577920356e-08
