Gene = NOL9
index = 950
Annotated 5SS: [  429  4140  4965  9491  9710 12706 21256 22073 22568 25542 27840]
Annotated 3SS: [ 3919  4836  9354  9612 12607 21093 21774 22455 25363 27705 28531]
SMsplice 5SS: [  429  2191 16437 16673 16949 21256 22568 25542 27840]
SMsplice 3SS: [ 2143 16274 16546 16790 21093 22455 25363 27705 28531]
top_k =  100
Partition function (log Z): -19.39512597320434

Sorted 5' Splice Sites (High to Low Probability):
Position 429: 0.8575702969753568
Position 2191: 0.6617470505708859
Position 613: 0.25406033828792957
Position 4965: 0.245709085440439
Position 4140: 0.12884437038371313
Position 2404: 0.10604687156409079
Position 378: 0.06534675776268899
Position 954: 0.046055315485288115
Position 158: 0.022916005182498637
Position 2423: 0.018703219257779985
Position 4157: 0.018223715545939156
Position 2216: 0.009638560725754832
Position 433: 0.00667074939022019
Position 2037: 0.005366361108066922
Position 606: 0.004296169884683044
Position 13: 0.0019384066368705116
Position 163: 0.0017070057941497888
Position 90: 0.0013185286039368875
Position 446: 0.0011809634893985245
Position 185: 0.0008213612610358354
Position 237: 0.0005557741197864445
Position 179: 0.00036903942451956353
Position 573: 0.00027184160868295727
Position 203: 0.00016871362693153988
Position 502: 1.4983429293653421e-05
Position 64: 1.0489281481859176e-08
Position 239: 4.604622759563598e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4836: 0.7185617477745337
Position 2143: 0.5281772689844971
Position 5947: 0.38217184040619007
Position 546: 0.16447067903500354
Position 2103: 0.14899467962515237
Position 2326: 0.13505383746483735
Position 3919: 0.10044079077896347
Position 3967: 0.06351927035389959
Position 700: 0.05884967779266642
Position 500: 0.029689753492416197
Position 5919: 0.023936145688544245
Position 9012: 0.021801920905524862
Position 8279: 0.01409017398953255
Position 283: 0.011197850110346004
Position 295: 0.010389278606016693
Position 720: 0.008326715784008802
Position 2110: 0.007945213639785838
Position 3199: 0.007067358246934326
Position 3993: 0.006071591206795547
Position 1799: 0.005366361108066903
Position 2503: 0.004814976906169357
Position 320: 0.0018208300772428365
Position 696: 0.001611800258771437
Position 2385: 0.0015284548136259449
Position 2947: 0.0012162377399921151
Position 262: 0.0010714830580945888
Position 587: 0.0008826529897116702
Position 859: 0.00036951852269556526
Position 2294: 3.127666630627899e-05
Position 110: 1.9888983364976023e-05
Position 601: 1.7750237424846904e-05
Position 557: 1.152270625800266e-05
Position 465: 1.0595353907279434e-05
Position 121: 6.111413789584864e-06
Position 349: 2.240901180022115e-06
Position 98: 2.174282641250337e-06
Position 236: 1.5705381712858202e-06
Position 195: 1.823844611934481e-07
Position 148: 6.421911234574668e-08
Position 604: 1.3607210079801525e-08
