Gene = NOBOX
index = 947
Annotated 5SS: [   85  5672  8359  9182 10022 10471 10831 11278 11946]
Annotated 3SS: [ 5546  8276  8629  9914 10363 10744 11048 11640 12685]
SMsplice 5SS: [   85  8605  9182 10022 10471 10831 11278 11946]
SMsplice 3SS: [ 8513  9083  9914 10363 10744 11048 11640 12685]
top_k =  100
Partition function (log Z): 3.570774384285169

Sorted 5' Splice Sites (High to Low Probability):
Position 10471: 0.9858100499852221
Position 10831: 0.9291533725181719
Position 85: 0.9209339475303062
Position 11278: 0.8810679352420816
Position 11946: 0.6941552981702064
Position 10022: 0.6041005000019978
Position 8605: 0.5629168870246575
Position 9995: 0.3636302651214512
Position 9182: 0.11166534401423206
Position 11295: 0.10896245237299726
Position 12734: 0.09997095435822426
Position 11898: 0.0926393460540162
Position 12265: 0.06420394014450384
Position 118: 0.04253962184307198
Position 254: 0.021396804031423473
Position 11990: 0.01583432254073357
Position 10118: 0.01450590714026873
Position 5408: 0.010925840562708126
Position 11562: 0.00881600263599987
Position 10095: 0.007750627716226539
Position 5672: 0.006065023621784964
Position 177: 0.005818015701506853
Position 5092: 0.005684065472609351
Position 40: 0.005504904347514194
Position 10001: 0.0049634402343011344
Position 874: 0.003806706546176895
Position 3531: 0.003520037784706352
Position 10503: 0.003272695959235948
Position 11259: 0.0023532615180046324
Position 10903: 0.0019367628290101657
Position 12410: 0.0005649777732537476

Sorted 3' Splice Sites (High to Low Probability):
Position 9914: 0.9949507402142453
Position 10363: 0.7874403805826673
Position 10744: 0.691501117647277
Position 11640: 0.643538901226965
Position 8513: 0.5629168870246575
Position 11048: 0.49262862641073746
Position 12685: 0.4559212887946178
Position 11139: 0.38500884397110374
Position 11811: 0.22801257388542592
Position 12075: 0.20572090094307482
Position 10337: 0.19848692439776897
Position 12816: 0.18403393542567403
Position 12108: 0.17821045196045768
Position 10646: 0.10400604995524174
Position 10686: 0.07484875243954403
Position 8831: 0.06388730062889769
Position 11868: 0.04889339435251266
Position 8752: 0.047778043385334375
Position 11024: 0.03816518750127199
Position 11100: 0.033377484703577535
Position 10704: 0.029704425278531073
Position 11157: 0.02483765493342774
Position 10805: 0.023817752144513926
Position 10986: 0.013334901935690285
Position 11837: 0.011407453689302283
Position 11758: 0.011371898103535309
Position 11441: 0.00881600263599987
Position 5546: 0.006065023621784964
Position 4980: 0.005684065472609351
Position 5304: 0.005479000841133383
Position 5283: 0.00544683972157474
Position 10653: 0.005072836412886988
Position 11077: 0.005030949677275057
Position 3423: 0.003520037784706354
Position 10375: 0.0030679074407057288
Position 10830: 0.0007550132808512433
Position 10169: 0.0006730952452222997
Position 10808: 0.00048269034095486235
Position 10093: 0.00031593612547503423
Position 11620: 0.00025804065937126144
