Gene = P4HTM
index = 994
Annotated 5SS: [  722  1026 11740 12708 14372 15282 15979 16299]
Annotated 3SS: [  943 11548 12610 14208 14971 15828 16174 16797]
SMsplice 5SS: [  503  1026 11674 12708 15979 16299]
SMsplice 3SS: [  943 11548 12610 15828 16174 16797]
top_k =  100
Partition function (log Z): 2.375802294907379

Sorted 5' Splice Sites (High to Low Probability):
Position 1026: 1.0000000000000009
Position 12708: 1.0000000000000007
Position 16299: 0.9740718033990271
Position 11674: 0.8550696510434513
Position 503: 0.8073585941195718
Position 14372: 0.7615729593789187
Position 15979: 0.752156271134638
Position 6928: 0.4430558435231976
Position 14130: 0.21844551187104078
Position 14068: 0.2104714072370444
Position 15043: 0.16392063294851852
Position 722: 0.14880242576271266
Position 9769: 0.13778849466380536
Position 15702: 0.10761845560627714
Position 15829: 0.10671775583165283
Position 14105: 0.09486996482042348
Position 14866: 0.05029315842238964
Position 13677: 0.03410542213780564
Position 14332: 0.030267430930190797
Position 585: 0.015846269185916594
Position 13595: 0.015546315703102356
Position 13685: 0.013325492443304896
Position 16273: 0.011917745986425223
Position 60: 0.01125295953048077
Position 825: 0.00597059897593198
Position 13525: 0.005535981401145837
Position 16677: 0.005320274855224194
Position 15926: 0.004087289855047449
Position 829: 0.0037235820080909095
Position 13614: 0.003194936401376529
Position 13711: 0.0016348114428646524
Position 693: 0.0015832453047549876
Position 73: 0.0014703012728810767
Position 175: 0.0011458271167311723
Position 565: 0.0007468512340879655
Position 127: 0.0006681945657451306
Position 554: 0.0005672095616839303
Position 383: 0.00031858017251809595
Position 795: 0.00016317282994402887
Position 258: 0.0001536773001007401
Position 577: 0.00014632631230022502
Position 84: 8.218474654678016e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 16174: 0.9939076168209455
Position 12610: 0.9914018236518848
Position 943: 0.9814252717179359
Position 16797: 0.8791559350204784
Position 11548: 0.8550696510434515
Position 14208: 0.7918403903091095
Position 15828: 0.612231960926964
Position 6837: 0.4430558435231976
Position 13843: 0.3165064737487573
Position 13969: 0.2072804101797515
Position 15466: 0.17691205504017277
Position 14971: 0.16189076200005403
Position 9599: 0.13778849466380536
Position 15887: 0.117458304945706
Position 13499: 0.0715094992786692
Position 16565: 0.06962311517339048
Position 15777: 0.0506034250258407
Position 14735: 0.03119212083988601
Position 16405: 0.02830431972272295
Position 14697: 0.019101037582503637
Position 752: 0.010327873334770437
Position 12354: 0.008598176348115973
Position 17101: 0.008304584247427584
Position 15955: 0.008202202206729447
Position 899: 0.0071216453897950185
Position 16925: 0.006121301613390286
Position 15542: 0.005171824282202356
Position 16431: 0.0045967396480445285
Position 14828: 0.002029870948464459
Position 13281: 0.0018334602509306954
Position 917: 0.0011252095574978199
Position 17139: 0.0007487536645012892
Position 16897: 0.0005474583297752646
