Gene = UHRF2
index = 1529
Annotated 5SS: [  321  7820 20851 47469 62178 64486 68444 68777 73603 80610 84038 84836
 86609 87387 91369]
Annotated 3SS: [ 7588 20590 47249 62067 64298 68319 68668 73497 80502 83874 84694 86511
 87228 91269 92709]
SMsplice 5SS: [  321  7820 11506 15066 20851 36269 47469 62243 64370 68444 68777 73603
 80610 83781 83946 84836 86609]
SMsplice 3SS: [ 7588 11380 14878 20801 36157 47249 62067 64298 68319 68668 73497 80502
 83636 83874 84694 86511 92709]
top_k =  100
Partition function (log Z): -44.05721333814313

Sorted 5' Splice Sites (High to Low Probability):
Position 7820: 0.9965666937757899
Position 321: 0.9908664127029924
Position 11506: 0.5804788039119695
Position 15066: 0.4057582630647784
Position 15005: 0.18978292036449407
Position 9430: 0.1844106951137986
Position 1042: 0.1333418899884216
Position 1593: 0.12249190263492322
Position 2685: 0.06780877207118796
Position 42: 0.02819589089097034
Position 2696: 0.025775948380523397
Position 33: 0.02511493172775119
Position 2692: 0.02461914356676017
Position 5041: 0.02052655983433813
Position 8461: 0.00567333926172595
Position 9236: 0.005614179082290478
Position 37: 0.005445795541212385
Position 7748: 0.002130614752840241
Position 442: 0.002125469257843062
Position 180: 0.0020714207831887123
Position 589: 0.0008673110035531136
Position 941: 0.0004901699052576878
Position 2205: 0.0004284962257751924
Position 279: 0.00039512006453411194
Position 526: 0.00038323173251908406
Position 261: 0.00038321378826649367
Position 8661: 0.0003646582663241423
Position 467: 0.0001350057616189815
Position 846: 0.00011204752329859428
Position 1161: 8.402889964502168e-05
Position 4282: 2.2414627596468487e-05
Position 28: 1.800117952014983e-05
Position 16: 8.389888253901769e-07
Position 390: 1.0115145254105424e-07
Position 148: 9.467095712693217e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 7588: 0.9995732611756308
Position 14878: 0.8107514810620673
Position 11380: 0.5978852872459454
Position 19542: 0.40525426645227425
Position 9311: 0.23501214186096525
Position 21120: 0.1436451477446727
Position 919: 0.13334618407813018
Position 1420: 0.1190703685698078
Position 2591: 0.11071511364334577
Position 159: 0.05210856141288912
Position 16112: 0.046641769232323015
Position 13261: 0.025908828831252416
Position 9108: 0.022203301089097967
Position 4787: 0.02052655983433813
Position 12891: 0.01981618147942882
Position 12783: 0.016737583137744236
Position 12687: 0.010428850800522778
Position 12641: 0.009640041352576963
Position 2443: 0.007509130024686247
Position 10331: 0.005871770624980403
Position 8188: 0.005653347432720356
Position 179: 0.004364886193554277
Position 9331: 0.004008979891128841
Position 1549: 0.0035436124910758413
Position 8526: 0.0029914179132155467
Position 13017: 0.00299124698424207
Position 9518: 0.0022088304390035767
Position 8722: 0.0015773314693794242
Position 8432: 0.0010997070788969518
Position 8134: 0.00045265547157430727
Position 1978: 0.0003559352572862141
Position 1742: 0.00017734216783414712
Position 4126: 0.0001329436370167591
Position 419: 7.68074505633127e-05
Position 849: 7.43888821784434e-05
Position 786: 5.2017724727741015e-05
Position 3240: 2.9683601191662293e-05
Position 234: 2.466354484407829e-05
Position 203: 1.1311934517655143e-05
Position 218: 5.576354310329259e-06
Position 662: 5.515166932068731e-06
Position 1527: 1.8668823590877515e-07
Position 1366: 1.6306983854121746e-07
