Gene = GKAP1
index = 593
Annotated 5SS: [  226   747 11441 18558 29142 33028 37361 48925 64485 69434 75213 75791]
Annotated 3SS: [  614 11181 18413 29063 32903 37337 48771 64382 69369 75141 75712 77997]
SMsplice 5SS: [  226   747 11441 18558 28395 33028 51118 57723 64485 69434 75213 75791]
SMsplice 3SS: [  614 11181 18413 28292 32903 51014 57642 64382 69369 75141 75712 77997]
top_k =  100
Partition function (log Z): -34.582407725262144

Sorted 5' Splice Sites (High to Low Probability):
Position 747: 0.9999868959441156
Position 18558: 0.9969853348889685
Position 226: 0.9395741419457969
Position 11441: 0.5382705858077838
Position 11325: 0.46165122506418727
Position 19731: 0.4030691275474843
Position 24792: 0.3892148867788118
Position 20048: 0.1550764266915169
Position 25533: 0.041534938717372245
Position 511: 0.031048131582607257
Position 282: 0.009487360804673751
Position 46: 0.008507522581527528
Position 142: 0.005182531514726733
Position 230: 0.004804268536847403
Position 20526: 0.0030107651058987276
Position 327: 0.0006546214969760256
Position 22: 0.0005273125211972964
Position 257: 9.377854358029285e-05
Position 259: 5.429974695008563e-05
Position 61: 3.869129848515944e-05
Position 489: 2.7213974651374607e-05
Position 1478: 1.6337061995260965e-05
Position 874: 1.0753452463688387e-06
Position 895: 1.2892327268378142e-08
Position 615: 4.728322203477751e-09
Position 703: 2.01639470099691e-09
Position 640: 1.1296062143847031e-09
Position 645: 9.696656155995126e-10
Position 718: 9.064727561381029e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 11181: 0.9999218108719713
Position 18413: 0.9997926507896358
Position 614: 0.9718832239860266
Position 25402: 0.770862609444232
Position 24643: 0.47328952751124836
Position 19643: 0.383143192099106
Position 19857: 0.1801432152836196
Position 22588: 0.06561500722937214
Position 25836: 0.041534938717372245
Position 19653: 0.03644693008391812
Position 644: 0.028105777763176187
Position 23577: 0.017512295232208555
Position 21779: 0.008601852426487196
Position 19694: 0.004625451103127006
Position 20421: 0.0030107651058987276
Position 18815: 0.0028867179443271677
Position 18754: 0.0012189775491413108
Position 11632: 0.00012916008233218736
Position 6073: 1.9547594831029045e-05
Position 1382: 1.6400767933376257e-05
Position 5085: 1.4181514964932313e-05
Position 1219: 7.192596347486947e-06
Position 3039: 4.243402521604832e-06
Position 1580: 3.808479816157987e-06
Position 972: 3.505889670337937e-06
Position 2232: 3.4888344184298917e-06
Position 2597: 2.5666222862647553e-06
Position 4752: 1.94837257672883e-06
Position 1930: 1.9020403649523272e-06
Position 3835: 1.8560427459556724e-06
Position 2578: 1.7836700605866658e-06
Position 796: 1.7725876593649827e-06
Position 4616: 1.7043427578883058e-06
Position 858: 1.5544355658632583e-06
Position 2177: 1.3202565831776106e-06
Position 3650: 1.1423779408810022e-06
Position 1725: 9.60832376811698e-07
Position 838: 8.980594569567098e-07
Position 3174: 8.892555965137392e-07
Position 1194: 5.664790655449682e-07
Position 458: 7.778734263396012e-08
Position 773: 3.904487935650547e-08
Position 640: 2.160913075121552e-08
Position 1300: 1.047770377242385e-08
Position 510: 5.878371524724154e-09
Position 560: 2.0523548602588517e-09
Position 689: 7.403298323804292e-10
Position 623: 6.770110426900136e-10
Position 419: 1.4182031689909917e-10
Position 655: 3.064802249864056e-11
Position 710: 2.5871742238388326e-11
