Gene = PGD
index = 1020
Annotated 5SS: [   46   625  1493  4057  5200  9061 12473 14172 18038 18430 19846 20460]
Annotated 3SS: [  548  1312  3990  5080  8990 12337 13981 17906 18295 19745 20336 20549]
SMsplice 5SS: [   46   625  4057  5200 12473 13056 18430 19846 20460]
SMsplice 3SS: [  548  3990  5080 12337 12972 18295 19745 20336 20549]
top_k =  100
Partition function (log Z): 1.2091257394809745

Sorted 5' Splice Sites (High to Low Probability):
Position 19846: 0.9983109641907267
Position 12473: 0.9907381306148134
Position 18430: 0.97230958823738
Position 46: 0.8979562373876054
Position 625: 0.881686672805274
Position 5200: 0.8062643319120768
Position 4057: 0.7642336600167933
Position 13056: 0.6912864612507662
Position 20460: 0.6166934901330292
Position 1493: 0.3425160482341826
Position 18038: 0.3400726699173088
Position 9120: 0.3105257923850451
Position 5158: 0.11804412097651511
Position 4087: 0.05237147749507948
Position 20073: 0.029038661455686367
Position 4134: 0.022991039433839667
Position 4139: 0.01704373185486632
Position 4154: 0.016220062171832517
Position 690: 0.010642505348906246
Position 12849: 0.0066109696147771835
Position 1147: 0.005188181983837634
Position 3945: 0.003624941477871787
Position 7239: 0.002720722654351434
Position 3268: 0.0016305030750525665
Position 20423: 0.0015380999769258853
Position 401: 0.0014904626658758379
Position 18: 0.0006504620691855485
Position 20217: 0.000556395239788843
Position 105: 0.0005176197600881772
Position 445: 0.0003009853272453737
Position 267: 0.00024467452808003533
Position 148: 9.62516500056727e-05
Position 471: 7.81808018405814e-05
Position 192: 6.547550043925249e-05
Position 888: 5.003870019648953e-05
Position 50: 4.987973370656451e-05
Position 173: 4.1945177166041656e-05
Position 28: 3.757028361089166e-05
Position 458: 2.291795251344865e-05
Position 832: 2.249972259143642e-05
Position 836: 1.7934757506275915e-05
Position 311: 5.450674628554764e-06
Position 510: 5.484991610066195e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 18295: 0.97230958823738
Position 5080: 0.917957736853897
Position 12337: 0.913071030517107
Position 19745: 0.8944865772259689
Position 20549: 0.8574848105001619
Position 3990: 0.8454428783275003
Position 548: 0.7437917976270189
Position 12972: 0.6912864612507662
Position 20336: 0.4702632812272013
Position 17906: 0.3400726699173088
Position 8990: 0.310525792385045
Position 1312: 0.17258068471470706
Position 19953: 0.1621852214563146
Position 1329: 0.11356010496095087
Position 19756: 0.1041094244515103
Position 20296: 0.087654243116434
Position 12310: 0.07766710009770626
Position 498: 0.04905002294193018
Position 3944: 0.024277858425108257
Position 20428: 0.021246796122666247
Position 20601: 0.019697667700974343
Position 1396: 0.01842141261155377
Position 1366: 0.014885572296821244
Position 20120: 0.01155777714976035
Position 1295: 0.009250341257896824
Position 3824: 0.0067641756976745075
Position 12759: 0.0066109696147771835
Position 5082: 0.00635071603469487
Position 1259: 0.005419111121661686
Position 983: 0.0048761188017262
Position 19949: 0.0045631579304247485
Position 20123: 0.003926195810481863
Position 550: 0.003305733173690052
Position 1406: 0.0030561887703115065
Position 20628: 0.0027638516662230736
Position 1343: 0.0027379543572655035
Position 7175: 0.002720722654351432
Position 20921: 0.002502802638392659
Position 20704: 0.0017694519779021096
Position 3129: 0.0016305030750525672
Position 19973: 0.0015477427934424371
Position 20876: 0.0003786092282980333
Position 250: 0.00027931832089678606
Position 1016: 0.00019103178662868958
Position 1039: 0.00012103139548274607
Position 399: 0.00010516123180020287
Position 588: 2.811963088370354e-05
Position 1456: 1.8327683291876448e-05
Position 783: 2.0759760160126034e-06
Position 810: 7.446612971764583e-07
Position 767: 6.107811913915061e-07
Position 390: 3.11591751451332e-07
Position 318: 2.766626753635906e-07
Position 432: 2.497583450486672e-07
Position 673: 2.4144785465360115e-07
