Gene = SST
index = 1343
Annotated 5SS: [246]
Annotated 3SS: [1121]
SMsplice 5SS: [246]
SMsplice 3SS: [1121]
top_k =  100
Partition function (log Z): -5.448753363168382

Sorted 5' Splice Sites (High to Low Probability):
Position 246: 0.9668048661146277
Position 466: 0.15051108645440137
Position 673: 0.02391716079659353
Position 728: 0.01949255645980263
Position 576: 0.016869483359738695
Position 321: 0.011393235223358653
Position 719: 0.005821355035772149
Position 202: 0.005314062248501941
Position 26: 0.0013905709346468758
Position 687: 0.000643485923146953
Position 128: 0.0002965619550964444
Position 265: 3.97880779472433e-05
Position 66: 3.0599849243094943e-06
Position 218: 1.1804750811618855e-06
Position 206: 6.115192120980662e-07
Position 313: 1.8725742161610308e-07
Position 354: 1.1205802097144379e-07
Position 113: 2.0339195714321754e-08
Position 146: 9.681073536166763e-11
Position 169: 4.357221838098584e-11
Position 171: 4.372416458774729e-12
Position 153: 1.771293165307784e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1121: 0.9376294555369461
Position 374: 0.1469178875533291
Position 1049: 0.032181309519509
Position 325: 0.01678613307595657
Position 589: 0.01581437092906302
Position 445: 0.012459760834585045
Position 1169: 0.006527320764124566
Position 489: 0.004921280460242506
Position 613: 0.004900759201873901
Position 510: 0.003680794516127855
Position 642: 0.0032492829887994837
Position 1146: 0.0025093761748911326
Position 873: 0.0024916451231392633
Position 710: 0.0018047290263873434
Position 526: 0.0017030253108533495
Position 128: 0.0013823021675081165
Position 1208: 0.0013742792259973898
Position 575: 0.0013732074685030879
Position 944: 0.0007327560956690349
Position 880: 0.0006919160945955371
Position 346: 0.0006503166030938788
Position 749: 0.0005639710122733211
Position 1413: 0.00039987816568983663
Position 383: 0.0003377724514324843
Position 1197: 0.00029425340573365036
Position 564: 0.0002476831173413707
Position 599: 0.0002287278285694122
Position 801: 0.00022611859016624585
Position 1362: 0.00020269171322749634
Position 1244: 0.00018368580395709718
Position 196: 1.7728466562531065e-05
Position 215: 3.4176992525770905e-06
Position 335: 3.14604076801906e-06
Position 404: 2.068434378243439e-06
Position 450: 1.2665993148099068e-06
Position 282: 1.1829107401091954e-06
Position 107: 1.1044585825178851e-06
Position 460: 9.095969445727206e-07
Position 348: 8.196768732322403e-07
Position 206: 3.142460712427417e-07
Position 218: 2.8271792370726326e-07
Position 409: 2.7579770114116423e-07
Position 391: 1.4886537193874793e-07
Position 242: 2.2022133419723056e-08
Position 293: 6.07181628284138e-09
