Gene = HMCES
index = 654
Annotated 5SS: [   66  1076 10158 11965 19696 23303]
Annotated 3SS: [  869 10013 11838 19513 23109 25748]
SMsplice 5SS: [   66 10158 11965]
SMsplice 3SS: [10013 11838 25748]
top_k =  100
Partition function (log Z): -19.17234626950975

Sorted 5' Splice Sites (High to Low Probability):
Position 1076: 0.945635642994261
Position 11965: 0.7478380533282861
Position 66: 0.3487962325492352
Position 364: 0.28205086449921224
Position 372: 0.11092823260479162
Position 837: 0.08631107429907116
Position 43: 0.07729011231245503
Position 458: 0.06541234166826199
Position 3714: 0.021332839197206035
Position 24: 0.017735380264745304
Position 204: 0.007740738776382201
Position 478: 0.003699188109112126
Position 99: 0.0007351967509186546
Position 465: 0.000322193567982686
Position 284: 2.0152435916714774e-07
Position 93: 1.0984145159425404e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 11838: 0.8380901548272938
Position 17200: 0.6375848257292086
Position 869: 0.5019127563714562
Position 924: 0.4378322883955003
Position 12076: 0.05767550925844199
Position 12049: 0.0525777183406352
Position 6331: 0.02070701696623188
Position 3642: 0.020642266110290037
Position 955: 0.019518760848747995
Position 4093: 0.019078183479351807
Position 3581: 0.013497601175219986
Position 8047: 0.01342124367010107
Position 3924: 0.012410805966424451
Position 2135: 0.012030233804855708
Position 926: 0.009786332774865802
Position 2537: 0.00930418748512209
Position 6523: 0.008803256387212383
Position 1206: 0.007484079241488257
Position 3819: 0.007089699563051118
Position 3962: 0.004033399083875283
Position 3173: 0.001669792434326452
Position 2602: 0.001524100294957898
Position 4516: 0.0013739372732478044
Position 3879: 0.0010411804760115458
Position 1363: 0.0010041833979037153
Position 1851: 0.000944630610056218
Position 3540: 0.0008125937407163478
Position 363: 0.0007122038668333781
Position 1911: 0.0006295520270932042
Position 1710: 0.0005332746334830086
Position 443: 0.00041958672555693854
Position 1366: 0.00039677667776116506
Position 1383: 0.00031943133659063857
Position 1280: 0.00031914078482187186
Position 625: 0.00016040779287925324
Position 335: 0.00014539577162106396
Position 745: 0.00012091151477079513
Position 752: 5.549081232141255e-05
Position 1041: 5.4264151262504517e-05
Position 663: 3.6999225018520916e-05
Position 891: 2.2058691275906835e-05
Position 371: 1.0987230824094595e-05
Position 629: 8.980770445052886e-06
Position 594: 8.860709188862946e-06
Position 495: 7.344246985073413e-06
Position 558: 5.863514668801885e-06
Position 310: 5.800991772723762e-06
Position 1024: 2.5801118537440754e-06
Position 398: 1.3352535347148445e-06
Position 145: 4.177405792880412e-07
