Gene = DIEXF
index = 445
Annotated 5SS: [  164  2141  3037  5352  7157  9205 11122 13049 14441 14689 15690]
Annotated 3SS: [ 2100  2795  5177  7067  8793 10901 12845 14257 14575 15443 23196]
SMsplice 5SS: [  164  3037  5944  7157  9205 14689 16230 21736 25963]
SMsplice 3SS: [ 2795  5820  7067  9032 14575 16068 21649 25892 29251]
top_k =  100
Partition function (log Z): -8.42537466962282

Sorted 5' Splice Sites (High to Low Probability):
Position 3037: 0.9917874779390564
Position 7157: 0.9787376915590885
Position 9205: 0.9423810533450567
Position 5944: 0.911919531742101
Position 164: 0.6921220820373231
Position 16230: 0.5190981895213456
Position 19428: 0.44739004300065643
Position 15690: 0.34588327612096176
Position 16159: 0.3318356675192469
Position 14689: 0.2926921132236007
Position 204: 0.2809893429085086
Position 5352: 0.2617987095286307
Position 2141: 0.17564393150647223
Position 16222: 0.1334755587154874
Position 5387: 0.10546950391976045
Position 3540: 0.10070214384631689
Position 10995: 0.08414144791182264
Position 17297: 0.0708430983393011
Position 5931: 0.06517891871876666
Position 3451: 0.05763484089608948
Position 18625: 0.046496969708868005
Position 1620: 0.03609789978872001
Position 5499: 0.03056245938684678
Position 5284: 0.020769151990882913
Position 3579: 0.016341763651259316
Position 5365: 0.015428616059854754
Position 1690: 0.014158594155361292
Position 5363: 0.012449093653426118
Position 1677: 0.01150227779299475
Position 33: 0.011125426389656762
Position 8654: 0.010669374093594388
Position 1177: 0.010225562345367183
Position 2168: 0.009063486602980488
Position 2988: 0.0059500629775022336
Position 10641: 0.004751270901904711
Position 353: 0.0036861418837155747
Position 2980: 0.0018858120797210728
Position 3602: 0.0012204074437587777
Position 1271: 0.0007867160464383247
Position 4575: 0.0005248246971503341
Position 1888: 0.00032641641741496674
Position 3347: 0.000319532882407047
Position 633: 0.0002260643739824938
Position 677: 0.00020320253428434193
Position 2977: 0.00015461532962281855
Position 3643: 0.00015258147019995362
Position 219: 9.061265590787442e-05
Position 2428: 8.022927701296893e-05
Position 3119: 2.5188680154211113e-05
Position 1849: 9.82003508582771e-06
Position 1396: 5.596215890335898e-06
Position 2179: 1.0681606297942057e-07
Position 10: 5.4945921592556324e-11
Position 48: 1.2651666967681026e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 16068: 0.996217569003961
Position 5820: 0.9770982203265683
Position 2795: 0.953116980019371
Position 7067: 0.9215435232075496
Position 19230: 0.5983705435370448
Position 21649: 0.5346298269727656
Position 5177: 0.4184489399060479
Position 9032: 0.39686836006174736
Position 15443: 0.3458832761209618
Position 14465: 0.2926921132236002
Position 21870: 0.28121087630622776
Position 8979: 0.22146756966531905
Position 2100: 0.18251974073826122
Position 8793: 0.14550146867685196
Position 3365: 0.11160897676254002
Position 8862: 0.09723129118658841
Position 10901: 0.08624845463736162
Position 17207: 0.07084309833930115
Position 3257: 0.06470582607112804
Position 7004: 0.05719416835153903
Position 18498: 0.046496969708868074
Position 1501: 0.03946289170926487
Position 8829: 0.03670566553745863
Position 8835: 0.027110929073938753
Position 2888: 0.019442312905808196
Position 8892: 0.01797149400290863
Position 2799: 0.015397809277267378
Position 1497: 0.013650355079668322
Position 2869: 0.011846054803610305
Position 5386: 0.010867192268288924
Position 16860: 0.009689475017622951
Position 5203: 0.009627675101951106
Position 1521: 0.008404818651783878
Position 19102: 0.007898736923075023
Position 5255: 0.0075337272631138125
Position 8484: 0.005641977513209808
Position 8462: 0.005088553721363538
Position 10515: 0.004897272409263529
Position 2066: 0.002187784187254621
Position 9562: 0.0008261664311529303
Position 4513: 0.0002528026814599903
Position 4436: 0.00017167178382866875
Position 9988: 0.0001173779077166251
Position 4487: 0.00010035023186167512
Position 2244: 8.022927701296929e-05
Position 3420: 6.184275369897868e-05
Position 6072: 4.362102619986001e-05
Position 1663: 1.2057848560419554e-05
Position 1689: 1.13602015900918e-05
Position 1311: 1.0192955161996399e-05
Position 235: 4.079190831295691e-06
Position 5768: 2.301342986743683e-07
