Gene = MPC2
index = 856
Annotated 5SS: [  308 11544 15494 16062]
Annotated 3SS: [11502 15408 15949 17680]
SMsplice 5SS: [  308 11544 15494 16062]
SMsplice 3SS: [11502 15408 15949 17680]
top_k =  100
Partition function (log Z): -9.50433097415052

Sorted 5' Splice Sites (High to Low Probability):
Position 308: 0.9999176196236701
Position 11544: 0.9599497854245734
Position 16062: 0.5143125290012618
Position 5388: 0.2017348653415729
Position 1756: 0.08097697482721311
Position 2555: 0.06190146962279505
Position 5367: 0.04968591779785114
Position 9199: 0.04095075964087025
Position 1174: 0.00011430925349816362
Position 1109: 2.950851283392377e-05
Position 212: 1.6420880719276093e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 11502: 0.9894495333723308
Position 17680: 0.8190358217692693
Position 15949: 0.5479378042046347
Position 5265: 0.12651350888954585
Position 5232: 0.12499328328275067
Position 1577: 0.07424430251550766
Position 2430: 0.05154378441913771
Position 15695: 0.046795132461520395
Position 9146: 0.04416959798964397
Position 17004: 0.027254714144057467
Position 11659: 0.013816327809260362
Position 2393: 0.01064031106153027
Position 12503: 0.009225839031774152
Position 12906: 0.00813196911537343
Position 1627: 0.005439145883389669
Position 9645: 0.0023981699735466182
Position 11886: 0.002064705889945421
Position 1681: 0.0020584752795258197
Position 3822: 0.000569761371381716
Position 7465: 0.000455407100098424
Position 3791: 0.00035688069568497085
Position 2554: 0.00032407505027481453
Position 3238: 0.00030683862288307317
Position 6683: 0.0002713271606672815
Position 837: 0.00022803214970321483
Position 3258: 0.0001668220381722915
Position 4131: 0.00013021178858410655
Position 5484: 0.00012270539426345549
Position 4430: 0.00011410713001115912
Position 1968: 0.00011187445251762333
Position 4014: 0.00010221730859385296
Position 948: 9.067352641830085e-05
Position 579: 6.71955633193796e-05
Position 4730: 6.0373178626115174e-05
Position 494: 4.0751181820464355e-05
Position 2096: 3.898562055145075e-05
Position 431: 3.549963866606457e-05
Position 2509: 3.521233647047115e-05
Position 398: 2.7070086102415735e-05
Position 452: 2.5379563677059136e-05
Position 2224: 2.4701651965120985e-05
Position 1201: 2.3505840575419307e-05
Position 857: 2.32457445365013e-05
Position 715: 2.2696322916843826e-05
Position 1396: 2.2508544733067087e-05
Position 1872: 1.814605472823661e-05
Position 1436: 1.7211305615480353e-05
Position 916: 1.4872605796231417e-05
Position 374: 8.089836917380438e-06
Position 1046: 2.2116504032012975e-06
Position 1011: 1.1178105160512357e-06
Position 888: 6.342963225495876e-07
Position 1144: 5.468718400431051e-07
Position 898: 4.388789163524076e-07
