Gene = CSF2
index = 414
Annotated 5SS: [ 193  333 1146]
Annotated 3SS: [ 290 1019 1954]
SMsplice 5SS: [ 193  333 1146]
SMsplice 3SS: [ 290 1019 1954]
top_k =  100
Partition function (log Z): 0.4669250999694279

Sorted 5' Splice Sites (High to Low Probability):
Position 1146: 0.9993606680291328
Position 193: 0.9712780133733253
Position 333: 0.9067138913846742
Position 1414: 0.5337374259892588
Position 735: 0.2877612237702531
Position 1819: 0.22535279212421105
Position 589: 0.12929087499931904
Position 586: 0.06657048792933672
Position 1407: 0.06517877084415687
Position 387: 0.013013376635831972
Position 852: 0.010137372716669627
Position 769: 0.0033448765508084085
Position 729: 0.0031322202524689388
Position 594: 0.002974641090028724
Position 197: 0.0025234039181160047
Position 810: 0.002117497174350885
Position 207: 0.0002948260532088516
Position 130: 0.00010235746852972506
Position 170: 2.5741372568605226e-05
Position 155: 2.0427185489898448e-05
Position 215: 1.5322240500896778e-06
Position 320: 4.866679159396463e-07
Position 300: 3.0121741067336824e-07
Position 67: 2.0830672873407682e-07
Position 36: 1.484022575742384e-07
Position 22: 1.0860745224687913e-07
Position 255: 5.154546568533558e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1019: 0.9725572569929894
Position 290: 0.8871879716807787
Position 1954: 0.8111321375924592
Position 439: 0.4370441301007179
Position 1317: 0.3066303292920285
Position 1263: 0.2836674746297164
Position 1641: 0.14494311250876543
Position 1532: 0.07603685873719156
Position 1493: 0.03661529997422119
Position 1278: 0.03164923441164905
Position 1975: 0.02848352245081683
Position 1236: 0.025548237375784308
Position 1765: 0.02536692347740491
Position 671: 0.021746570921316242
Position 1286: 0.01981206330126398
Position 259: 0.014670537717094069
Position 1022: 0.014197891525328169
Position 2313: 0.013974623803639346
Position 509: 0.013035811527461917
Position 443: 0.010027510601636336
Position 1037: 0.010015145073632221
Position 1320: 0.009336643413404887
Position 2336: 0.007086627546316356
Position 1244: 0.0036426493575521524
Position 418: 0.0030325898820351745
Position 809: 0.002962617752275278
Position 728: 0.0025150415633847924
Position 404: 0.0024163538150835345
Position 872: 0.0015455035799488588
Position 530: 0.0013216353022991276
Position 725: 0.0012707094077275998
Position 651: 0.0010632776088390448
Position 792: 0.00089628449268967
Position 616: 0.0008580152060623354
Position 1362: 0.00028078855492783927
Position 913: 0.00020845678684023932
Position 1349: 6.246253048541947e-05
Position 332: 2.4831222819636887e-05
Position 356: 2.3029251063100742e-05
Position 300: 1.532895020268832e-05
Position 303: 1.2811937082190803e-05
Position 453: 1.101935731450424e-05
Position 222: 2.1246476962926255e-06
Position 548: 8.169683253145002e-07
Position 306: 7.509039994949868e-07
Position 315: 5.879298076510156e-07
Position 231: 4.748279357888785e-08
Position 364: 2.5652266117295312e-08
Position 337: 3.8705018346054006e-12
