Gene = PRELID1
index = 1070
Annotated 5SS: [ 304 1077 2211 2403]
Annotated 3SS: [ 850 2096 2323 2647]
SMsplice 5SS: [ 304 1077 2211 2403]
SMsplice 3SS: [ 850 2096 2323 2680]
top_k =  100
Partition function (log Z): -6.252843739100944

Sorted 5' Splice Sites (High to Low Probability):
Position 2211: 0.8431367523805822
Position 1077: 0.8129028896170881
Position 304: 0.7630148443445692
Position 2403: 0.7361291541830218
Position 80: 0.11053402164695543
Position 2415: 0.09677906310356765
Position 412: 0.07090269906033769
Position 657: 0.06866871960201112
Position 992: 0.03809873093806292
Position 115: 0.023029216463328495
Position 364: 0.020539979066512826
Position 452: 0.02046943164495899
Position 286: 0.013250875573913745
Position 465: 0.008826419597410352
Position 2473: 0.005786122531245598
Position 501: 0.0031010135854715407
Position 88: 0.0027271106069596527
Position 888: 0.002680867323529149
Position 311: 0.0025386089027430933
Position 3067: 0.002490907729530563
Position 215: 0.001359515723203365
Position 117: 0.0004384445921417786
Position 186: 0.00029676555673782256
Position 220: 0.0002808148681874153
Position 85: 0.0001953296866245573
Position 375: 0.0001421883227136102
Position 20: 7.979234106614858e-07
Position 3: 2.647437999328025e-07
Position 150: 1.1865518274920063e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2323: 0.8796549553048197
Position 2096: 0.738411755289164
Position 2680: 0.5134051357301179
Position 850: 0.5030884374406505
Position 1025: 0.2546954939064497
Position 2647: 0.23666062509841676
Position 2610: 0.15554391021557176
Position 160: 0.07070202491688624
Position 2140: 0.049117653480674
Position 870: 0.043667554786476125
Position 1889: 0.03433738962291348
Position 2597: 0.02119071582655203
Position 518: 0.01706287190054816
Position 303: 0.015369389599154622
Position 932: 0.014679685854773361
Position 940: 0.013474929072065938
Position 1955: 0.012303784442839222
Position 2182: 0.009747257051501867
Position 1004: 0.009684077873639497
Position 722: 0.008781136232579525
Position 2623: 0.007221546312458645
Position 2998: 0.00637976288498916
Position 902: 0.005551204440848856
Position 2200: 0.0053543798528128345
Position 2349: 0.005117976657019471
Position 283: 0.004623355905020412
Position 3176: 0.004061963017743498
Position 1252: 0.0027764867556847508
Position 235: 0.0021458858605879223
Position 411: 0.0011664021118284198
Position 492: 0.0008303171182397326
Position 499: 0.00044608136479820285
Position 2888: 0.00036957177310220174
Position 375: 0.00031870398516002933
Position 641: 0.00015772539466960434
Position 220: 0.0001239771384933227
Position 3044: 9.652810009058532e-05
Position 237: 9.088647944494094e-07
