Gene = POLR3C
index = 1053
Annotated 5SS: [  141  1695  2481  2777  4610  9137  9355 12349 12641 13371 13981 15766
 15940 16846]
Annotated 3SS: [ 1527  2224  2590  4520  9031  9261 12267 12588 13309 13829 15663 15889
 16695 18112]
SMsplice 5SS: [  141  1695  2481  2777  4610  9137  9355 12349 13981 16846]
SMsplice 3SS: [ 1527  2224  2590  4520  9031  9245 12267 13829 16695 18112]
top_k =  100
Partition function (log Z): 7.760444096944453

Sorted 5' Splice Sites (High to Low Probability):
Position 4610: 0.999999999999999
Position 1695: 0.9861148520654799
Position 9355: 0.9852933867134901
Position 13981: 0.9790250258658031
Position 9137: 0.958128490801731
Position 12349: 0.9109989231768423
Position 141: 0.908433650426395
Position 2777: 0.9058422482105288
Position 16846: 0.6493468123018996
Position 15766: 0.46074184716743855
Position 2481: 0.3317925793713011
Position 15940: 0.31824974039249976
Position 2347: 0.2800105120813715
Position 12720: 0.23837237743690107
Position 1993: 0.2006945329198354
Position 2264: 0.15760564971991914
Position 2321: 0.1473982030435329
Position 12856: 0.10809784646793866
Position 13728: 0.10344338263511824
Position 2674: 0.06952475832124273
Position 4179: 0.05993025894955879
Position 2490: 0.04846114837907252
Position 10546: 0.037449285353722814
Position 326: 0.03110510751614792
Position 13023: 0.03030334730117952
Position 17957: 0.029089347845885346
Position 319: 0.028633618439748782
Position 15482: 0.023864274915314815
Position 12630: 0.01827804690024327
Position 9979: 0.017603768800465512
Position 1258: 0.012934272936061501
Position 692: 0.012588736005841136
Position 518: 0.007827410674860702
Position 1962: 0.006818388462932895
Position 9107: 0.006033989812054405
Position 2485: 0.005880432259818787
Position 9152: 0.005312302925450257
Position 37: 0.004953191041132988
Position 12697: 0.00434762455741745
Position 2989: 0.003694554869485841
Position 342: 0.0033463665141155933
Position 14030: 0.003303969466214301
Position 214: 0.0020964671258224066
Position 2299: 0.0020266294199840517
Position 1659: 0.001335755182130199
Position 2056: 0.0012990225472845236
Position 1875: 0.001252156769114058
Position 4231: 0.0012003870132088876
Position 2371: 0.0007802291041883257
Position 1948: 0.0007624108194495147
Position 1884: 0.000748292238438353
Position 1926: 0.0006545059042468926
Position 2064: 0.0006148347099021725
Position 1821: 0.0005947785076464924
Position 12641: 0.0003825176025166595
Position 2066: 4.904848219568756e-05
Position 2431: 3.9511109171524585e-05
Position 74: 1.9526458774914904e-05
Position 392: 6.850737499143407e-06
Position 225: 6.553872402150945e-06
Position 195: 3.0164598675651756e-06
Position 406: 2.1619167669523733e-07
Position 110: 2.445679314738281e-13
Position 10: 1.8700220506663465e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 13829: 0.9838994390967277
Position 4520: 0.983123325217716
Position 2590: 0.9753670065317709
Position 2224: 0.9327691937815887
Position 1527: 0.9188587798342214
Position 12267: 0.9087801060468726
Position 9245: 0.8658895041215073
Position 18112: 0.7950860870717197
Position 9031: 0.7084784399993629
Position 16695: 0.37857424476833856
Position 15889: 0.34227617231647284
Position 15663: 0.3046731053144212
Position 16747: 0.27077256753356094
Position 12588: 0.2414387409921694
Position 1778: 0.21254948969992438
Position 15698: 0.1560687418530174
Position 12791: 0.13200318637911948
Position 9061: 0.11922820371975867
Position 9041: 0.10477777957953158
Position 9261: 0.10454817664279924
Position 13603: 0.10344338263511822
Position 15144: 0.0952586680201224
Position 17827: 0.04170246297767896
Position 8944: 0.03700445171128054
Position 17561: 0.03475359114614223
Position 1443: 0.033880492920502936
Position 4154: 0.03017745348127642
Position 12490: 0.02838473709232109
Position 10479: 0.02665910344554718
Position 17669: 0.02425150063688057
Position 4075: 0.023103582616179074
Position 2376: 0.022568251784702974
Position 4526: 0.016876674782282768
Position 17921: 0.01419633937266434
Position 9211: 0.01382860255836674
Position 10334: 0.010790181908175637
Position 9808: 0.009770729739926718
Position 1590: 0.009597772084883844
Position 1483: 0.008268850598499952
Position 16960: 0.00812854837007599
Position 15755: 0.008047176297767609
Position 2079: 0.007981697127287067
Position 4139: 0.007849609865312192
Position 1814: 0.005974568385814941
Position 9830: 0.005679958605699847
Position 1145: 0.0052248096410086676
Position 477: 0.003948768600924301
Position 1534: 0.0035445564667958085
Position 1468: 0.0032551016316194866
Position 17129: 0.0032110318373843568
Position 904: 0.002864941993293685
Position 1471: 0.002685711246116244
Position 1783: 0.0025856716296941023
Position 11914: 0.0022188171299693505
Position 9779: 0.0021530804548389472
Position 1391: 0.0017097054218039142
Position 2143: 0.001657202762097972
Position 1341: 0.0014035578902350185
Position 2840: 0.0013697293355936343
Position 2885: 0.0012172051579669649
Position 2938: 0.0011076203759252414
Position 9191: 0.001013011920118359
Position 2187: 0.0008361652624214467
Position 1409: 0.0007350317073335832
Position 12562: 0.0006764371446675809
Position 1065: 0.0005759516388652795
Position 1875: 0.0005606254158742597
Position 1447: 0.00048360226312356067
Position 1279: 0.0004690883976553421
Position 1068: 0.00040401222664137215
Position 900: 0.00030834303907918
Position 841: 0.00025094339877273017
Position 555: 0.00022956694480916448
Position 375: 0.00022435268272811448
Position 409: 0.00017482325492177878
Position 673: 0.00015634473480409807
Position 670: 0.00013008079983214193
Position 1301: 2.0321451210788226e-05
Position 219: 8.077870706466969e-08
