Gene = CH17-140K24.5
index = 365
Annotated 5SS: [166]
Annotated 3SS: [4588]
SMsplice 5SS: [ 166 2415]
SMsplice 3SS: [2330 3005]
top_k =  100
Partition function (log Z): -9.384826009938582

Sorted 5' Splice Sites (High to Low Probability):
Position 4: 0.828513366066864
Position 2415: 0.608520306898106
Position 1340: 0.4465368166898118
Position 1769: 0.24322318571440546
Position 812: 0.13786602659315497
Position 1010: 0.04380154088787343
Position 1169: 0.030924133763963038
Position 2387: 0.023173671108373768
Position 1721: 0.005750001709863338
Position 170: 0.005403711694406302
Position 1586: 0.002050911289110918
Position 614: 0.0008610593895046397
Position 1049: 0.00048071576041421396
Position 289: 1.562648173430584e-05
Position 497: 1.4451633768200568e-05
Position 8: 3.4095407542752785e-09
Position 10: 2.6750778333630726e-09
Position 44: 5.173139909842483e-10
Position 31: 1.8607580787275743e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3005: 0.7150946240344004
Position 2330: 0.5651002129253324
Position 1138: 0.39007777979148645
Position 1680: 0.15338662007976206
Position 1244: 0.09272219531172567
Position 1655: 0.08616782033024903
Position 2371: 0.06191795025852133
Position 1168: 0.0511367398411339
Position 1612: 0.050258881348214525
Position 2650: 0.034267315942061394
Position 4588: 0.025256364454968316
Position 4648: 0.018118530720190554
Position 3026: 0.017601998608462514
Position 2626: 0.016314694475255388
Position 2153: 0.011860581771781797
Position 1403: 0.01139613437410335
Position 1191: 0.010373202592368173
Position 3820: 0.010016526897182987
Position 3001: 0.00932383491353149
Position 1236: 0.009066959215845131
Position 930: 0.0071764164775963615
Position 1288: 0.006647521817516096
Position 2813: 0.005945505967037036
Position 687: 0.0057128854904874345
Position 1319: 0.0020255082278117075
Position 79: 0.0016820781664249262
Position 770: 0.001328613017797049
Position 1545: 0.0010706504454609546
Position 1202: 0.0007191351557902444
Position 617: 0.0007013531939964313
Position 275: 0.0006824206399997225
Position 236: 0.0006340610335468013
Position 811: 0.0004954965271865694
Position 979: 0.00046045431847908
Position 713: 0.0004096082558738368
Position 880: 0.00039247571174057944
Position 689: 0.00036371309222859015
Position 538: 0.00021986434009616844
Position 938: 0.00021863082062257576
Position 725: 0.00017840480550503884
Position 862: 0.00011885152278799833
Position 575: 0.00010573643543866983
Position 696: 6.815144245518018e-05
Position 567: 6.350495016296951e-05
Position 648: 5.9739203106920204e-05
Position 875: 5.902380186445119e-05
Position 824: 4.637882541750875e-05
Position 1025: 4.535061559817033e-05
Position 70: 2.0624688451072136e-05
Position 745: 1.9502385605973412e-05
Position 122: 4.903039232563171e-06
