Gene = BASP1
index = 126
Annotated 5SS: [75]
Annotated 3SS: [58384]
SMsplice 5SS: [   75  5644 11548 17553 25039 52779]
SMsplice 3SS: [ 5400 11406 17451 24951 52669 58384]
top_k =  100
Partition function (log Z): -33.9434202297227

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.7532984214545186
Position 8172: 0.7433043831896827
Position 11548: 0.6560752361624704
Position 5644: 0.5228772929821126
Position 5486: 0.40970384261307197
Position 988: 0.1220098866107558
Position 273: 0.09018483895180225
Position 128: 0.019856673980651454
Position 431: 0.014129861921870155
Position 2109: 0.007728468225601604
Position 4744: 0.00750313694113698
Position 3069: 0.007395768181096985
Position 1230: 0.0037065726041564124
Position 4127: 0.0017014803268357336
Position 3629: 0.0016700177590714587
Position 3610: 0.0012873794647292648
Position 7377: 0.0010451868970736001
Position 1247: 0.0005656593347246039
Position 503: 0.0001234077102144016
Position 247: 5.047527602879751e-05
Position 117: 4.5939476225695877e-05
Position 212: 2.9396158248303026e-05
Position 86: 2.2534067553810735e-05
Position 285: 2.2287234420069028e-05
Position 135: 1.628311173318853e-05
Position 1251: 1.4888058677269197e-05
Position 1452: 1.2266805794396908e-05
Position 277: 1.2196716450560586e-05
Position 478: 1.0065524248964643e-05
Position 1333: 8.732031519376736e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 5400: 0.9265974386606547
Position 11238: 0.6728974717590414
Position 7949: 0.5580013383621886
Position 8113: 0.26248206738460156
Position 15455: 0.13053865544845558
Position 14950: 0.1024255238954041
Position 11648: 0.09745941201737272
Position 13396: 0.0930567371723694
Position 11827: 0.06924840411534071
Position 13926: 0.0632641142295919
Position 12025: 0.05991883397447375
Position 8441: 0.0596006791472356
Position 5917: 0.05591040544048121
Position 11934: 0.04016355530946244
Position 5485: 0.02964880371418653
Position 9895: 0.029320476363501633
Position 1944: 0.015963219171089112
Position 3531: 0.014708397613936185
Position 9585: 0.008544863973485636
Position 5808: 0.008407500222454439
Position 6824: 0.007257464324191063
Position 7308: 0.00670510262760356
Position 8580: 0.006597524203155663
Position 2984: 0.006420455711518524
Position 8920: 0.005724535102016277
Position 7094: 0.005605445504214074
Position 2564: 0.005325184668168019
Position 4577: 0.004470195493215322
Position 1069: 0.0037261071918378345
Position 4574: 0.0030329414479216585
Position 6226: 0.0017071679259391406
Position 4015: 0.0017014803268357336
Position 2839: 0.0015500167709024783
Position 4391: 0.0014255256684390365
Position 5953: 0.0012765075346969409
Position 5617: 0.001106879000269753
Position 1093: 0.000684280070636733
Position 7264: 0.0004334088138063042
Position 2799: 0.0003683793876301765
Position 2262: 0.00031415372828956186
Position 2775: 0.0003031958598969323
Position 2690: 0.00029608830563999434
Position 5288: 0.0002226421303260631
