Gene = ARGFX
index = 93
Annotated 5SS: [  113  6197 14362]
Annotated 3SS: [ 6079 14212 15317]
SMsplice 5SS: [ 113 6197]
SMsplice 3SS: [ 6079 15317]
top_k =  100
Partition function (log Z): -10.968475029914504

Sorted 5' Splice Sites (High to Low Probability):
Position 113: 0.9614072602806354
Position 6197: 0.7396728005496689
Position 8463: 0.1188861171833973
Position 12966: 0.0596308242905317
Position 10044: 0.05562811890962723
Position 9392: 0.047940547201462055
Position 418: 0.030536944902459635
Position 4245: 0.029805045550057526
Position 82: 0.01848751988614723
Position 4188: 0.00963269376652558
Position 342: 0.008712646758060959
Position 3324: 0.006750181770538764
Position 3397: 0.0015383393028408142
Position 117: 2.7942396309246014e-05
Position 293: 2.611111428127586e-07
Position 236: 1.8622827621306378e-08
Position 107: 9.92725955309006e-09
Position 132: 5.090722854304433e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 15317: 0.7328257999422816
Position 6079: 0.6643011998109075
Position 8348: 0.11972703381926725
Position 15192: 0.11262986836458741
Position 6075: 0.0903329164205934
Position 12757: 0.08355225351067705
Position 9274: 0.06365348526048077
Position 9921: 0.06292781760496138
Position 15468: 0.04830672750641421
Position 4116: 0.03358286830505709
Position 14212: 0.01476452347416593
Position 199: 0.013898648333595467
Position 8721: 0.012091452946675057
Position 3284: 0.005629148895387601
Position 8672: 0.004935848146059573
Position 359: 0.004130079992676233
Position 4138: 0.0040126949938664455
Position 8758: 0.003149450771642251
Position 3254: 0.0027724754855762003
Position 7446: 0.0015631057287169713
Position 1582: 0.0014783843963857453
Position 4003: 0.0010430502464103646
Position 203: 0.0009490081621824877
Position 3993: 0.0009405763593037375
Position 8809: 0.0009008668864556118
Position 253: 0.0007398455187265535
Position 1557: 0.0007326924927239789
Position 7125: 0.0005877235704300636
Position 1932: 0.0005792006827245913
Position 6594: 0.0003047525850932926
Position 1143: 0.00028846242818988705
Position 236: 0.0002840977336736641
Position 3551: 0.00024331187957492726
Position 1169: 0.00017642626876177605
Position 885: 0.00015723812903021943
Position 3703: 0.00011960949978877776
Position 3741: 0.0001118126976511001
Position 881: 6.429061806479786e-05
Position 903: 6.316382489242955e-05
Position 2073: 4.557641784867112e-05
Position 417: 2.1871417915472696e-05
Position 713: 1.9431138551351602e-05
Position 413: 1.6947039842241e-05
Position 362: 1.0785154910622261e-06
Position 256: 4.5967691565767114e-07
