Gene = SETD9
index = 1249
Annotated 5SS: [ 484 2277 3875 4730 5707]
Annotated 3SS: [1908 3750 4613 5600 7554]
SMsplice 5SS: [ 201 3875 4730 5707]
SMsplice 3SS: [3750 4613 5600 7554]
top_k =  100
Partition function (log Z): -2.189199961816943

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.9579713597875199
Position 5707: 0.9347604790904858
Position 201: 0.905038961923261
Position 4730: 0.8439047857753773
Position 2277: 0.28274506071701383
Position 605: 0.06817741423277375
Position 621: 0.04882650794636781
Position 484: 0.04272030129376734
Position 206: 0.04255101201411862
Position 5092: 0.031173382382592423
Position 2220: 0.027644633819307766
Position 2261: 0.0274312867561943
Position 2269: 0.026643410686625277
Position 4707: 0.020085098931953274
Position 5268: 0.0140652537252174
Position 6473: 0.013201378647484295
Position 925: 0.0058551218213663435
Position 1852: 0.005765325276817731
Position 1135: 0.00355769142436857
Position 919: 0.002862408194525236
Position 4267: 0.0023345918178631613
Position 749: 0.002189627726441554
Position 5792: 0.002027001108345182
Position 1985: 0.001056340963342179
Position 1663: 0.0008581436701309239
Position 436: 0.0005050537530492371
Position 1118: 0.0004490250135621736
Position 4751: 0.0004309466028644484
Position 872: 0.0004098410167530032
Position 698: 0.00025720433802319724
Position 634: 0.0001957014246197502
Position 58: 0.00012038650323208786
Position 1220: 0.00011099346633941816
Position 1310: 9.173462143874024e-05
Position 27: 3.006468047396185e-05
Position 76: 1.948405332190204e-05
Position 245: 1.4156622078381713e-05
Position 152: 6.430291472584802e-06
Position 253: 5.913607619355553e-06
Position 111: 5.889159554434375e-06
Position 364: 9.802528228120108e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 3750: 0.9220850241743851
Position 4613: 0.834906755754428
Position 7554: 0.7893337482717513
Position 5600: 0.7348794079053311
Position 2048: 0.23633232312614827
Position 1908: 0.1253018143380558
Position 532: 0.10373514022989955
Position 5645: 0.09978577916380707
Position 7219: 0.07917343702066265
Position 5626: 0.0655873930354866
Position 7587: 0.04783623446961337
Position 4954: 0.03408449296646939
Position 4562: 0.02688122189938937
Position 5604: 0.026386911231232997
Position 3788: 0.02005222375486537
Position 5657: 0.017990496448864426
Position 3814: 0.015834111858269606
Position 6374: 0.01478519191314133
Position 6205: 0.011206056543740206
Position 5896: 0.010414213005578583
Position 777: 0.00980251195477178
Position 6350: 0.009743142331065099
Position 7373: 0.009196390631070259
Position 7955: 0.008386033399908815
Position 5136: 0.008141890401924692
Position 5118: 0.007534450783105541
Position 1781: 0.0052950972886926405
Position 418: 0.005238048222322981
Position 7286: 0.004538858466810342
Position 6057: 0.004464024280384031
Position 1928: 0.004093007330867665
Position 6885: 0.0032903950938165723
Position 4547: 0.0032057618423047243
Position 947: 0.0029087045255326393
Position 6250: 0.0027310030418602866
Position 4148: 0.002334591817863158
Position 383: 0.0014279556455242797
Position 6852: 0.0012763507786541502
Position 1530: 0.001226446426639427
Position 5000: 0.0011806593961468258
Position 4522: 0.0010562975940055647
Position 5861: 0.0007116110790879468
Position 6121: 0.0007082805778531585
Position 1005: 0.0003507254218096118
Position 667: 0.0002414324961703839
Position 1158: 0.00014348705593953862
Position 1548: 0.00010192523161658782
Position 1058: 6.734458574628639e-05
Position 976: 3.3528824796558575e-05
Position 333: 3.1053086816163934e-05
Position 5691: 2.54250842358103e-05
Position 471: 2.1973332021753357e-05
