Gene = TBCA
index = 1379
Annotated 5SS: [  157 68119 83095]
Annotated 3SS: [68012 83007 84861]
SMsplice 5SS: [  157  6813 30763 43625 61137 68119 83095]
SMsplice 3SS: [ 6698 30633 43474 61045 68012 83007 84861]
top_k =  100
Partition function (log Z): -46.38843245914853

Sorted 5' Splice Sites (High to Low Probability):
Position 157: 0.9951167151919182
Position 6813: 0.33511701589599835
Position 4835: 0.03176447838465673
Position 8313: 0.02508679434305841
Position 6349: 0.009942896155636314
Position 1354: 0.008594122289699517
Position 952: 0.007945455218216047
Position 1924: 0.007149748553800455
Position 1796: 0.00647811138007238
Position 1198: 0.004203595383984375
Position 1720: 0.0018950800935204582
Position 119: 0.001402075181953877
Position 1811: 0.0005725564426775665
Position 1896: 0.00046038232571512453
Position 1786: 0.00043837920825957015
Position 441: 2.5490934494434226e-05
Position 998: 1.65230406050599e-05
Position 870: 7.635984331777804e-06
Position 433: 5.2210949099540406e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 8547: 0.3157238885803672
Position 6698: 0.27920147536523104
Position 2143: 0.1992794253873588
Position 12301: 0.15427607488421163
Position 6600: 0.0667913067471108
Position 8236: 0.052035017874457815
Position 7641: 0.045602600610975826
Position 1692: 0.04104595095017942
Position 8308: 0.03837332932680397
Position 5635: 0.037977868690748796
Position 5241: 0.0373332881024912
Position 9303: 0.034347462440494664
Position 4685: 0.03172004816658758
Position 6157: 0.014825509844742684
Position 3725: 0.011498522200921273
Position 7537: 0.007025008797109066
Position 3898: 0.006961142250647982
Position 4363: 0.005272212033685031
Position 4573: 0.004183118656484947
Position 1273: 0.00391607940373529
Position 3939: 0.0038562838138399974
Position 977: 0.0037399303906974755
Position 4196: 0.0035518746861774655
Position 4346: 0.0031779809464558867
Position 842: 0.002762735155776125
Position 3199: 0.002729599172492356
Position 1248: 0.0025089916241644813
Position 2449: 0.002383261631531582
Position 1391: 0.0023576847016903778
Position 735: 0.00206043511389397
Position 3852: 0.0019620088706475
Position 2856: 0.0019165470159236136
Position 1967: 0.0018862898887070036
Position 3400: 0.0017644876063822338
Position 3988: 0.0017241062519135443
Position 2533: 0.0016396147086563937
Position 1197: 0.0012754742208071928
Position 926: 0.0012207801529406557
Position 3274: 0.0011728854147768277
Position 739: 0.0009597325174193001
Position 698: 0.0007382736003516172
Position 2670: 0.0006166006072687567
Position 812: 0.0005743389072027964
Position 797: 0.0005020128827521509
Position 1125: 0.00037761473230171354
Position 399: 0.00030134311515746124
Position 860: 0.00027617465724366044
Position 288: 0.00025448094298223507
Position 1061: 0.0002255640974051792
Position 800: 0.00018904088598601225
Position 1159: 9.563634654346716e-05
Position 981: 9.75115099748368e-06
Position 866: 8.48370726248532e-06
Position 760: 7.711396985944861e-06
