Gene = BCL2L15
index = 130
Annotated 5SS: [ 299 1011 5775]
Annotated 3SS: [ 888 5549 6406]
SMsplice 5SS: [ 299 1011 5775]
SMsplice 3SS: [ 888 5549 6406]
top_k =  100
Partition function (log Z): -3.3995129997357303

Sorted 5' Splice Sites (High to Low Probability):
Position 299: 0.9585757878607883
Position 5775: 0.9361724791839865
Position 1011: 0.7884131340215119
Position 74: 0.034593109169279525
Position 6009: 0.025441625236875154
Position 5719: 0.02265446178804444
Position 401: 0.007111739031151792
Position 5770: 0.006706368819789725
Position 491: 0.005626323516826524
Position 3454: 0.00511398103151136
Position 6286: 0.004502859838727195
Position 340: 0.0037062721768061626
Position 6050: 0.003298451218970379
Position 6477: 0.0032486389773727295
Position 5700: 0.0014384077282516205
Position 5806: 0.0011406329133647
Position 304: 0.0011388316644585735
Position 5645: 0.0011310272754504502
Position 320: 0.0008596996095239153
Position 256: 0.0008163048961789699
Position 330: 0.0007859960798917168
Position 574: 0.0004441383883325823
Position 289: 0.00017684787534386447
Position 56: 9.668933721514784e-05
Position 623: 8.334957717625069e-05
Position 716: 6.908558119763766e-05
Position 474: 5.901256711434836e-05
Position 643: 4.2991528270829725e-05
Position 280: 3.440546399023259e-05
Position 448: 2.3572745384273053e-05
Position 451: 2.2489868769884775e-05
Position 32: 5.3405911419642345e-06
Position 133: 7.415854834831151e-07
Position 86: 4.7117021969323014e-07
Position 41: 1.306203287338558e-07
Position 98: 6.202043950873332e-08
Position 214: 4.7423572266297104e-08
Position 17: 3.479109018134074e-08
Position 15: 1.2043930587116837e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 5549: 0.9606910132445605
Position 6406: 0.7757385964536123
Position 888: 0.7734920600399979
Position 6284: 0.17477726833418242
Position 5878: 0.028514819771439347
Position 5914: 0.02284431516268985
Position 5553: 0.012057045613867931
Position 891: 0.011887888330021532
Position 6385: 0.008629241862254415
Position 6353: 0.006541683599209579
Position 146: 0.005780029526428394
Position 6536: 0.004248936709432058
Position 6580: 0.003849863764443567
Position 3309: 0.00345939627879768
Position 830: 0.0029396910584871105
Position 195: 0.0027346778549540056
Position 383: 0.00231432603506643
Position 5420: 0.0018122930527416762
Position 177: 0.0017289674765508442
Position 6823: 0.0016713944719988125
Position 3260: 0.0016545847527136854
Position 6263: 0.001146629171888475
Position 255: 0.000869219948847131
Position 757: 0.0008053028891337515
Position 6147: 0.0007324952224782785
Position 950: 0.0007242852877411116
Position 159: 0.00036196386463384405
Position 4479: 0.0003384097615866423
Position 400: 0.0002768427654606643
Position 3766: 0.00018570846493207402
Position 1334: 0.0001485111143064467
Position 3690: 0.00013735813220815208
Position 179: 9.377077042026384e-05
Position 1137: 6.879993687526865e-05
Position 3518: 6.115136325308859e-05
Position 1338: 5.5950976376186706e-05
Position 283: 5.120555828045743e-05
Position 2896: 4.343776847944772e-05
Position 477: 3.493742568006586e-05
Position 242: 2.7545957588165112e-05
Position 857: 3.8815674280791445e-06
Position 893: 4.1670649373974404e-08
Position 803: 5.025974153844686e-09
Position 667: 3.7182337190170215e-09
Position 993: 3.4618607943142406e-09
