Gene = P3H1
index = 992
Annotated 5SS: [  517  4701  7823  8172  9241 11476 11859 12155 14487 14750 16838 18824
 19301 19752]
Annotated 3SS: [ 4547  7632  8039  9100 11385 11805 12032 14358 14653 16686 18705 19224
 19610 20170]
SMsplice 5SS: [  517  4701  7823  8172  9241 11476 12155 14487 14750 16838 18824 19301
 19752]
SMsplice 3SS: [ 4547  7632  8039  9100 11385 12032 14358 14653 16686 18705 19224 19610
 20170]
top_k =  100
Partition function (log Z): 21.18101891589695

Sorted 5' Splice Sites (High to Low Probability):
Position 16838: 0.992555389260591
Position 19301: 0.9914736929501277
Position 11476: 0.9768123898552566
Position 9241: 0.9691547322847354
Position 14750: 0.9677858444988763
Position 18824: 0.9537526138921668
Position 14487: 0.9520351504584449
Position 8172: 0.9148091778519907
Position 12155: 0.9104178880511548
Position 7823: 0.888809175194789
Position 517: 0.813027736396325
Position 4701: 0.6387218343179127
Position 19752: 0.49454237517642213
Position 19771: 0.4351464836645259
Position 10623: 0.39389577513197804
Position 8735: 0.30753505624058053
Position 11951: 0.29643448602451344
Position 9504: 0.18190997643473297
Position 20337: 0.1816362270039428
Position 13785: 0.15947906852209354
Position 19027: 0.11050298921739023
Position 10289: 0.0984303706019399
Position 19953: 0.08991157001356655
Position 12133: 0.08690320543471061
Position 11859: 0.07532286930893103
Position 8229: 0.07460208112395782
Position 11959: 0.06904053185611697
Position 9828: 0.06636094758026388
Position 11884: 0.06491810684177325
Position 502: 0.04833756293085443
Position 10444: 0.04494932256726887
Position 58: 0.041081114321624285
Position 148: 0.033765452349342404
Position 841: 0.030967366251904334
Position 11933: 0.029700417666626455
Position 9236: 0.026756562974080713
Position 13633: 0.02199643833697292
Position 19022: 0.020250815196875025
Position 11486: 0.018797882497766826
Position 10325: 0.01711671381790249
Position 6365: 0.014578952231330954
Position 12853: 0.013629389374543197
Position 727: 0.010237044201211154
Position 121: 0.009373562703709032
Position 16750: 0.007362128835074453
Position 18846: 0.007228184993648928
Position 13943: 0.005750475700216357
Position 1244: 0.005674438179723277
Position 4981: 0.005076101964181351
