Gene = MINA
index = 844
Annotated 5SS: [  174  4926 10499 13037 17696 21302 22244 24727 26290]
Annotated 3SS: [ 4454 10378 12907 17591 21198 22074 24637 26199 26744]
SMsplice 5SS: [  174  4549 10499 13037 21302 24727 26290]
SMsplice 3SS: [ 4454 10378 12907 21198 24637 26199 26368]
top_k =  100
Partition function (log Z): -8.71872528293164

Sorted 5' Splice Sites (High to Low Probability):
Position 10499: 0.9999807702734017
Position 13037: 0.999830840355021
Position 4549: 0.9973050783211902
Position 24727: 0.9828976915261038
Position 174: 0.8273874208589332
Position 26290: 0.6273309243914941
Position 498: 0.11669018729973704
Position 26369: 0.0891046892259901
Position 26520: 0.06468398688835537
Position 275: 0.020461680270383097
Position 840: 0.018150592495364458
Position 289: 0.017313254193505375
Position 13399: 0.0009892651283756452
Position 15161: 0.0004646668922436845
Position 14117: 0.00010594193038483434
Position 10789: 1.0394073600721257e-05
Position 435: 1.3189188345327753e-08
Position 168: 7.435243437426151e-09
Position 103: 4.635922453950397e-09
Position 468: 3.124078037605186e-09
Position 84: 1.933144891730981e-10
Position 127: 4.0496097657239404e-11
Position 6: 2.8931160795104627e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 10378: 0.9999807702734017
Position 12907: 0.999830840355021
Position 24637: 0.990499324343584
Position 4454: 0.906024339373303
Position 26199: 0.7418122686708152
Position 27405: 0.5223814281395596
Position 26368: 0.3534874027661202
Position 4485: 0.09128375187068374
Position 24825: 0.0728911517736676
Position 26744: 0.05827146552984876
Position 24923: 0.008900332600394854
Position 24862: 0.006273242551537615
Position 17617: 0.00205972776409567
Position 13295: 0.002013799419357198
Position 15029: 0.0019306801151183091
Position 16689: 0.0016403720430621775
Position 17591: 0.0008352630666968288
Position 16161: 0.0005298013207494573
Position 14058: 0.0004675174461751988
Position 13594: 0.00033980352735515186
Position 13166: 0.0003345485660195671
Position 17134: 0.0002755578117789815
Position 16599: 0.0001543834243904072
Position 16572: 0.00013330044243802788
Position 11226: 0.0001013915685183375
Position 13346: 8.631814035719762e-05
Position 15216: 7.40940052130949e-05
Position 13613: 5.570926553781641e-05
Position 10705: 1.5537234110525572e-05
Position 7979: 9.85458037634187e-06
Position 10628: 3.908793445439662e-06
Position 7853: 2.929823288822317e-06
Position 716: 2.1883711871582654e-06
Position 6373: 1.500022151261468e-06
Position 2223: 5.656498549628787e-07
Position 2894: 4.014473154477458e-07
Position 3018: 3.0823935728978454e-07
Position 758: 2.9290926629155523e-07
Position 672: 2.4115572869803084e-07
Position 1638: 2.263624739109789e-07
Position 1420: 1.745951328041756e-07
Position 352: 1.7192642501182668e-07
Position 403: 1.4459144284579076e-07
Position 274: 1.1193436278986355e-07
Position 1295: 1.0955040746025935e-07
Position 306: 5.3868879705020226e-08
Position 736: 5.2072550562173e-08
Position 258: 2.8947014781203484e-08
Position 422: 2.2874411760995952e-08
Position 557: 1.6472712416555097e-09
