Gene = TRH
index = 1482
Annotated 5SS: [ 519 1723]
Annotated 3SS: [1503 2393]
SMsplice 5SS: [ 519 1723]
SMsplice 3SS: [1503 2393]
top_k =  100
Partition function (log Z): -3.136475579786332

Sorted 5' Splice Sites (High to Low Probability):
Position 519: 0.9948957400885946
Position 1723: 0.9148441602620163
Position 2557: 0.5955282167098717
Position 1324: 0.10302959119239863
Position 1711: 0.06496119109832267
Position 1317: 0.039369838311450286
Position 2099: 0.038436164650596065
Position 1412: 0.030911369657367
Position 2263: 0.010924792165738818
Position 2235: 0.006673858166782857
Position 1656: 0.006090143078092068
Position 747: 0.005849931361689484
Position 2567: 0.005695219170790943
Position 1419: 0.00300723267540666
Position 2245: 0.0020397564479303193
Position 2888: 0.0016343690230526972
Position 770: 0.0015684234065176067
Position 3283: 0.0013840453883149978
Position 111: 0.0009258871631656969
Position 184: 0.000895782337383545
Position 896: 0.0008255777405749595
Position 819: 0.0007931027547759899
Position 22: 0.000745339049359628
Position 2165: 0.0007361791464506425
Position 250: 0.0005965878576284533
Position 93: 0.00039270881588923423
Position 2239: 0.00037051290658892034
Position 1893: 0.00024972050245789483
Position 1949: 0.00024396771705000625
Position 66: 0.00024045858259836927
Position 20: 6.655170098152769e-05
Position 48: 6.178842180919349e-05
Position 72: 5.0275534778656114e-05
Position 297: 4.0678065744304334e-05
Position 187: 2.879772884968408e-05
Position 56: 3.5023006791458357e-06
Position 9: 2.9437706594299133e-06
Position 26: 2.697542043392765e-06
Position 24: 2.593912126948816e-06
Position 552: 1.5640695227830622e-06
Position 54: 1.5055495104029031e-06
Position 101: 7.554694249228358e-07
Position 554: 7.085155878670064e-07
Position 602: 4.246028541770501e-07
Position 430: 3.9530713787367393e-08
Position 317: 1.4375148898792253e-08
Position 475: 1.3685850506889244e-08
Position 228: 1.1227723310847295e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1503: 0.9135555345819135
Position 2393: 0.8941226708145303
Position 3086: 0.2228888160798378
Position 3349: 0.12633456899934303
Position 1194: 0.12340145439780549
Position 3378: 0.11021393481930761
Position 3190: 0.07625225562330537
Position 2782: 0.050619406182530864
Position 1997: 0.03411066227061332
Position 1267: 0.03357593364345877
Position 1655: 0.030530636658674407
Position 2401: 0.02404593338171157
Position 3137: 0.02258988938935921
Position 1480: 0.020753893478491558
Position 1586: 0.016653294507562363
Position 2998: 0.013307675984664306
Position 2017: 0.012137168468472263
Position 2094: 0.01197066159029481
Position 3595: 0.00999161749872406
Position 2632: 0.0092070576726117
Position 2434: 0.008714716568984638
Position 1212: 0.008403600208257235
Position 683: 0.006794608696448067
Position 3323: 0.006433943418285503
Position 3207: 0.006211851094760765
Position 2123: 0.0047999512901524604
Position 1604: 0.002724035545850284
Position 2126: 0.0022900925871733426
Position 1007: 0.002091838615244261
Position 3037: 0.00205498036991539
Position 1835: 0.0020081587409574993
Position 1590: 0.00198608559720592
Position 1264: 0.0018874093682210262
Position 3242: 0.001767987012881834
Position 2882: 0.0017379948428072564
Position 3424: 0.001650825259925983
Position 2524: 0.0015278775670627045
Position 173: 0.0013648994900857818
Position 2835: 0.0012839518827546257
Position 2638: 0.0012421796296298855
Position 384: 0.0012151668411335178
Position 2441: 0.0011624426475959748
Position 3543: 0.0011216321087589368
Position 628: 0.0009070314554934456
Position 979: 0.0007404701160446036
Position 1173: 0.0007148059232933198
Position 271: 0.0006667926169730577
Position 437: 0.0005474097915415732
Position 641: 0.0005240391225064497
Position 1863: 0.000490522439008253
Position 1897: 0.00041751295923177705
Position 993: 0.00039214080356961094
Position 1971: 0.00038361284395824403
Position 611: 0.0003326606600606302
Position 1169: 0.0003272640116391933
Position 678: 0.00025881314827229856
Position 1013: 0.00023823402031504848
Position 746: 0.0001805620025574078
Position 368: 0.00010360357023321635
Position 445: 8.526400295022497e-05
Position 420: 6.919951711329135e-05
Position 613: 2.2788620751796926e-06
Position 548: 2.038781785257368e-06
Position 321: 1.181356936177525e-06
