Gene = PUM3
index = 1100
Annotated 5SS: [  197  5816  7062 10211 10885 12991 13280 14468 15567 17169 19525 20461
 24224 32022 32881 33898 36428]
Annotated 3SS: [ 5723  6839 10074 10808 12896 13212 14292 15462 17089 19425 20406 24142
 31878 32657 33809 36336 39777]
SMsplice 5SS: [  197  5030  5816  6513  7062  9944 10211 10885 12991 13280 15567 17169
 19525 20461 32022 33898]
SMsplice 3SS: [ 4930  5723  6392  6839  9848 10074 10808 12896 13212 15462 17089 19425
 20406 31878 33809 39777]
top_k =  100
Partition function (log Z): 8.322024503823778

Sorted 5' Splice Sites (High to Low Probability):
Position 19525: 1.0000000000000004
Position 197: 0.9999994566219501
Position 5816: 0.9811383672172721
Position 12991: 0.9737370724213865
Position 20461: 0.9622009513238263
Position 9944: 0.9548395319685935
Position 15567: 0.9341001535939002
Position 13280: 0.9152540116041286
Position 10211: 0.8884875247587882
Position 6513: 0.840952305019435
Position 7062: 0.8349298756573853
Position 10885: 0.7154676848974583
Position 17169: 0.7085025711969525
Position 5030: 0.5812897977339035
Position 14221: 0.37924482204025345
Position 5034: 0.28332007616057264
Position 17615: 0.271949316937828
Position 6727: 0.23835450277354245
Position 5495: 0.22955254239685058
Position 17244: 0.21511573741960135
Position 14468: 0.20236846000199707
Position 11678: 0.1453374745547952
Position 4484: 0.13091252377096368
Position 19929: 0.10972260567444363
Position 6289: 0.10587562757075673
Position 2603: 0.10214567792859995
Position 11862: 0.09510352621507392
Position 13544: 0.06460155435639246
Position 1990: 0.060685079638169354
Position 6737: 0.05357593550193154
Position 3795: 0.04822188781629634
Position 4274: 0.04601741776667342
Position 8089: 0.04319932517950047
Position 15499: 0.037415059364336846
Position 14383: 0.025490517982908516
Position 7125: 0.023100990628392572
Position 6299: 0.020139775316867874
Position 2081: 0.018678676076181157
Position 15647: 0.016651769291289066
Position 7178: 0.0133031943960953
Position 15620: 0.011833017750474534
Position 5834: 0.00835814590981881
Position 20150: 0.0075578472579829505
Position 12949: 0.007072777975636657
Position 7072: 0.00469520376256249
Position 13768: 0.003886134610990551
Position 10428: 0.0029314162393809604
Position 5379: 0.0022807584767025814
Position 1240: 0.00022266499983790547
Position 2010: 0.00017478741938072416
Position 1673: 0.0001244536917432161
Position 1142: 0.00011217500217143687
Position 431: 1.9475683042866354e-07
Position 234: 1.909944112882686e-07
Position 192: 5.7931064079553505e-08
Position 268: 5.277899185167548e-08
Position 190: 4.691675265298424e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 15462: 0.9999999999999988
Position 12896: 0.9808098503970231
Position 9848: 0.9783103375233598
Position 17089: 0.922711577611382
Position 19425: 0.9080835859749259
Position 20406: 0.8969965406827524
Position 10074: 0.8469238492848756
Position 5723: 0.8292328035524325
Position 6392: 0.8005007637983067
Position 6839: 0.7606950294982883
Position 10808: 0.7154676848974585
Position 13212: 0.5098014425265075
Position 28085: 0.43199912415743885
Position 4930: 0.4313986299348321
Position 4904: 0.4188106636405022
Position 6634: 0.3474053179732808
Position 14098: 0.32579061838963463
Position 13163: 0.26772918700005105
Position 5323: 0.23183482572823333
Position 14292: 0.22785897798490556
Position 5628: 0.16026218471997888
Position 17415: 0.15645634780601594
Position 4380: 0.12614686750967924
Position 22804: 0.1249158260289803
Position 6194: 0.12152546420209331
Position 13104: 0.10778338869566796
Position 11563: 0.1077528999141293
Position 2535: 0.0986830172926593
Position 11769: 0.09510352621507394
Position 19411: 0.0914514937143938
Position 17537: 0.07398480133871924
Position 24484: 0.07062491769670898
Position 23216: 0.06351756455105159
Position 24825: 0.06187212808969034
Position 1863: 0.06058749625000399
Position 13422: 0.05917731355492622
Position 19727: 0.05886096926394441
Position 20253: 0.056889290666006696
Position 13982: 0.05345420365061881
Position 3686: 0.04822188781629634
Position 28238: 0.047502417673427805
Position 22041: 0.042713318148935406
Position 11625: 0.03758457464066599
Position 20411: 0.037419445293567936
Position 6856: 0.03671777532075984
Position 25939: 0.03394437562689205
Position 7943: 0.03386473291622578
Position 4145: 0.031017775472410483
Position 13089: 0.029939993381901734
Position 17337: 0.028558258852918593
Position 25636: 0.028167443268313705
Position 19905: 0.02665748233877228
Position 6424: 0.026246574516773754
Position 19730: 0.019223096020263872
Position 10034: 0.01809286991914627
Position 22536: 0.017943533683969157
Position 4093: 0.014999642294262932
Position 7160: 0.0133031943960953
Position 1913: 0.013113566519945007
Position 20526: 0.012599628700048724
