Gene = NUPL2
index = 979
Annotated 5SS: [  380  3472  5320 14089 14940 17716]
Annotated 3SS: [ 3242  5224 14011 14852 17630 18340]
SMsplice 5SS: [  380  3472  5320 14940 17716]
SMsplice 3SS: [ 3242  5224 14852 17630 18340]
top_k =  100
Partition function (log Z): -2.9090043604671623

Sorted 5' Splice Sites (High to Low Probability):
Position 5320: 0.9999934782864874
Position 3472: 0.9918917315872485
Position 17716: 0.9860688136579712
Position 14940: 0.9548921898568289
Position 380: 0.5639543421546062
Position 110: 0.3818263850674851
Position 18485: 0.33232725098228866
Position 4766: 0.32524301909791975
Position 11092: 0.27903944739352027
Position 11225: 0.2651308846068723
Position 11327: 0.21302040635149871
Position 15820: 0.10755077833272894
Position 663: 0.10404754092371446
Position 309: 0.031374816377436034
Position 405: 0.03045006588970819
Position 1832: 0.014004222253950347
Position 711: 0.013345443794584563
Position 1222: 0.013293011111263898
Position 659: 0.010565224254805487
Position 291: 0.010178594328276626
Position 423: 0.009654188566192629
Position 18052: 0.009315528124850054
Position 329: 0.006819311133389749
Position 54: 0.0038643990739736685
Position 856: 0.0029038307917174573
Position 3751: 0.0015816281916490467
Position 563: 0.0014019897134760876
Position 467: 0.0010706434659966237
Position 219: 0.0006360954400807349
Position 158: 0.0005462563450757191
Position 179: 0.00040026038150189013
Position 202: 0.00012612322581101375
Position 84: 7.41888808440411e-05
Position 69: 5.339906182055539e-05
Position 45: 4.211055407222528e-05
Position 8: 1.742381042400686e-05
Position 92: 5.059394273237962e-06
Position 152: 4.217607435560063e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5224: 0.9934094410482877
Position 17630: 0.9905473084219362
Position 3242: 0.9902395224235271
Position 14852: 0.9548921898568287
Position 18340: 0.9059890234341249
Position 11149: 0.3718780195327073
Position 10872: 0.3025303328685451
Position 4654: 0.18068639573160342
Position 286: 0.15761725266156115
Position 4598: 0.11112680815038284
Position 15671: 0.10795508314242708
Position 18769: 0.10593898937893954
Position 18598: 0.10146195373605212
Position 11277: 0.0658716395875034
Position 18505: 0.05609508876240066
Position 18622: 0.0408540008674459
Position 18568: 0.029866285627128824
Position 4625: 0.02563736367610105
Position 18560: 0.02420231673669413
Position 18815: 0.019443765449272638
Position 11303: 0.016910746363135328
Position 17838: 0.011995776636417169
Position 18720: 0.011924541626372083
Position 18793: 0.010333805511942224
Position 208: 0.009933429955832495
Position 18302: 0.00975922772337718
Position 18746: 0.007642524221533115
Position 1750: 0.006622070987551087
Position 5144: 0.006590535149539542
Position 202: 0.005914450318740302
Position 4563: 0.005582597784015616
Position 578: 0.004944318689241297
Position 245: 0.004043781823932767
Position 224: 0.003498875137870785
Position 1657: 0.0027349344723011635
Position 4450: 0.002209853755816816
Position 3438: 0.0016522091637209942
Position 3616: 0.0015816281916490467
Position 1395: 0.0014529313027658514
Position 1435: 0.0013953435458175555
Position 188: 0.0012496027731128947
Position 536: 0.0012479385433620655
Position 15345: 0.0006995107618333874
Position 12552: 0.0005332211656357857
Position 5799: 9.421559350515369e-06
Position 6205: 4.004621444026287e-06
Position 5090: 1.2728020258809683e-08
Position 5295: 1.1074151318684308e-08
