Gene = PRDX6
index = 1069
Annotated 5SS: [ 227 4217 8242 9136]
Annotated 3SS: [ 4059  8094  8988 10468]
SMsplice 5SS: [ 227 3400 4217 8242 9136]
SMsplice 3SS: [ 3176  4059  8094  8988 10468]
top_k =  100
Partition function (log Z): 4.360257619341534

Sorted 5' Splice Sites (High to Low Probability):
Position 8242: 0.9883252952608236
Position 4217: 0.9734775473893749
Position 9136: 0.9227753591117284
Position 227: 0.8961545682636499
Position 3400: 0.46013478291693416
Position 3462: 0.3439535232240846
Position 4604: 0.2396364617624431
Position 2492: 0.1730655436527047
Position 504: 0.16860717377638276
Position 2258: 0.151218445460371
Position 3414: 0.09776271473516933
Position 3888: 0.0858624937471979
Position 5731: 0.0625848602365944
Position 2415: 0.0610402748337417
Position 3215: 0.04757700684338954
Position 9838: 0.047477484527129556
Position 10620: 0.04362201349498376
Position 10700: 0.04182683000548836
Position 7760: 0.03530273435811662
Position 2362: 0.03053890073406197
Position 2989: 0.028846204548778166
Position 9206: 0.02534993924776193
Position 142: 0.02275814411307844
Position 4305: 0.016340903112503614
Position 10144: 0.014563805624563102
Position 280: 0.011947312303323736
Position 9885: 0.011815310028498466
Position 9076: 0.011336794434982221
Position 1426: 0.010604237411452094
Position 4299: 0.008901064728417077
Position 2532: 0.007988543671849386
Position 8857: 0.0040606117651041836
Position 5275: 0.00399446929021924
Position 2035: 0.003598644627322561
Position 9296: 0.003061793313420752
Position 9676: 0.0028922296403135765
Position 10149: 0.0027316496077565283
Position 8246: 0.0024809435271863495
Position 4385: 0.0002921802369799367
Position 606: 0.0002865275829163035
Position 2170: 9.938534248303484e-05
Position 10080: 6.61026051936586e-05
Position 9719: 6.428375044256179e-05
Position 262: 3.394201430144116e-05
Position 956: 3.24960878972814e-05
Position 567: 1.3351247977515214e-05
Position 864: 1.2376111937617266e-05
Position 91: 5.017585067606131e-06
Position 189: 4.921013998328518e-06
Position 242: 2.309617751340399e-06
Position 231: 6.052879476020212e-07
Position 202: 9.036152077839235e-08
Position 291: 3.4804065923182774e-08
Position 250: 1.2995904078381969e-08
Position 159: 1.2849464882675032e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4059: 0.9987195152302952
Position 8988: 0.993093790123314
Position 8094: 0.9839933196054497
Position 10468: 0.7778400842116725
Position 3176: 0.6790341153258677
Position 4480: 0.22068939606523816
Position 3319: 0.194754258263865
Position 2169: 0.16922841886599058
Position 2287: 0.13306867304819098
Position 2344: 0.1153441317109746
Position 10873: 0.11277539090240467
Position 3334: 0.07563965412984495
Position 324: 0.07289308517145061
Position 5619: 0.06258486023659438
Position 9605: 0.050894177019459745
Position 9700: 0.045389774590760074
Position 3601: 0.0446735455638637
Position 3623: 0.03682664617240973
Position 7696: 0.03530273435811662
Position 11368: 0.033502764161086655
Position 9824: 0.03328270404638413
Position 10783: 0.02993823221506922
Position 9226: 0.025636928616986278
Position 394: 0.020176054233981066
Position 2922: 0.016625007202703178
Position 2851: 0.01222119734607499
Position 4420: 0.011520285227089932
Position 1266: 0.0106042374114521
Position 10261: 0.008845920949237222
Position 4348: 0.007408660180515019
Position 10661: 0.007199678866450553
Position 8159: 0.00681291918256015
Position 374: 0.00678975661175444
Position 2149: 0.005826176617417331
Position 3575: 0.004362302010924503
Position 8615: 0.0040606117651041836
Position 5121: 0.003994469290219238
Position 1926: 0.0037656514038386588
Position 9729: 0.0030498715241520395
Position 10508: 0.0026516326381066744
Position 9838: 0.0016232114924682021
Position 9400: 0.0014924971554429974
Position 9040: 0.00036693687926725937
Position 4423: 0.0003103005265798572
Position 1880: 0.00017298013710305757
Position 1759: 0.0001437065390189893
