Gene = IFNLR1
index = 677
Annotated 5SS: [   71  6531 17845 25720 27788 28210]
Annotated 3SS: [ 6406 17659 25576 27627 28078 29369]
SMsplice 5SS: [   71  6531 17845 21501 21893 25720 27788 28238 32246]
SMsplice 3SS: [ 6406 17659 21396 21709 25576 27627 28078 32082 32383]
top_k =  100
Partition function (log Z): -6.728666523037892

Sorted 5' Splice Sites (High to Low Probability):
Position 71: 0.971833716779598
Position 6531: 0.9614090166807061
Position 17845: 0.9074387749653456
Position 27788: 0.9034086206850854
Position 25720: 0.764664616403835
Position 10451: 0.6776070398979711
Position 21501: 0.5026433171190057
Position 28238: 0.4430240407319585
Position 25324: 0.36853353922680815
Position 7723: 0.3279193272025261
Position 6763: 0.2483812635903253
Position 25680: 0.23342432090172233
Position 28210: 0.15361214509219817
Position 25172: 0.13444413123226748
Position 29116: 0.12181154747618171
Position 21561: 0.12082756174754097
Position 17857: 0.09256097648496589
Position 955: 0.05416387206825851
Position 704: 0.031602189594702075
Position 187: 0.028119127900916068
Position 875: 0.02645694598911013
Position 1700: 0.024950373671634135
Position 10011: 0.024806186878146536
Position 1707: 0.01848507260193634
Position 488: 0.013061133045644066
Position 628: 0.012093574673133444
Position 767: 0.009930535204272244
Position 6740: 0.0077772833582496845
Position 363: 0.0054937109161141825
Position 166: 2.385710571032548e-05
Position 249: 4.772260352338579e-07
Position 48: 5.963197679003376e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 25576: 0.9998890293076305
Position 27627: 0.9168820641986207
Position 6406: 0.8952892291357312
Position 17659: 0.7760336182881211
Position 28078: 0.6707894844799501
Position 10296: 0.572949430822014
Position 25111: 0.5029776704590754
Position 21396: 0.4959511158613654
Position 30411: 0.3282882530479956
Position 7580: 0.3279193272025264
Position 17674: 0.22396613316219044
Position 6607: 0.21756781217896867
Position 29369: 0.1900626442597229
Position 29456: 0.16571932009881785
Position 28919: 0.16524580673887168
Position 21445: 0.1275197630051812
Position 31433: 0.10555022825281156
Position 10341: 0.10465760907595734
Position 6432: 0.09263296849502878
Position 648: 0.05480551541455599
Position 829: 0.047280816192240525
Position 29513: 0.03730218326447889
Position 25821: 0.030570368806875074
Position 1537: 0.027171323828425825
Position 480: 0.025245395577134205
Position 9933: 0.024806186878146536
Position 272: 0.020733229329622255
Position 1591: 0.014343063749996008
Position 6453: 0.012077726823545527
Position 25778: 0.00778588221566328
Position 812: 0.0028187113893302805
Position 1508: 0.0019210586951486565
Position 385: 0.0018955541095047924
Position 25745: 0.0017490559271731738
Position 17955: 0.00011072214268157603
