Gene = ARHGEF39
index = 95
Annotated 5SS: [ 256  532  916 1280 1966 2342 2776 3109]
Annotated 3SS: [ 436  794 1160 1894 2212 2545 3019 3284]
SMsplice 5SS: [ 256  532  916 1280 3109]
SMsplice 3SS: [ 436  794 1160 2864 3284]
top_k =  100
Partition function (log Z): 1.287188086825636

Sorted 5' Splice Sites (High to Low Probability):
Position 532: 0.995743138984832
Position 1280: 0.9478685216637519
Position 256: 0.9100161542171507
Position 916: 0.8809274563673208
Position 3109: 0.8517379375597228
Position 1966: 0.667790675664751
Position 2342: 0.4296881832099264
Position 2776: 0.22602775085264148
Position 3575: 0.20995642929202116
Position 2048: 0.14043574650197374
Position 1027: 0.11195819790416207
Position 327: 0.037282950039879595
Position 323: 0.02236817576106201
Position 2194: 0.017488351391288175
Position 2762: 0.0127211026059265
Position 137: 0.007971921287829841
Position 247: 0.007543697989429153
Position 302: 0.0033588608760277503
Position 1193: 0.0030834910310390913
Position 341: 0.0021908076707963975
Position 897: 0.0020163479615214093
Position 1498: 0.0011419969541105438
Position 698: 0.0009885432643884724
Position 151: 0.0004823998370129228
Position 60: 0.000362797240072237
Position 1322: 0.00030626172324960376
Position 144: 0.0002370720388704987
Position 613: 0.00016103792554717888
Position 312: 0.0001530657907382526
Position 1970: 0.00011525353128394935
Position 96: 0.00010844611237534571
Position 367: 4.723698443887654e-05
Position 304: 1.5568292802721892e-05
Position 633: 1.3225311097185857e-05
Position 98: 4.277925279613438e-06
Position 625: 1.0705235413078099e-08
Position 164: 2.021013259013819e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 794: 0.9679829340202932
Position 1160: 0.9377077125029146
Position 436: 0.8354774573446545
Position 3284: 0.5643338734821387
Position 2864: 0.5039066778551469
Position 1894: 0.48336214319436077
Position 1872: 0.3368447167783118
Position 3059: 0.26114897701598627
Position 2139: 0.24530318558195388
Position 4404: 0.18608329902849102
Position 5503: 0.17857803806592124
Position 2545: 0.1735967315815684
Position 406: 0.15164411798358374
Position 2109: 0.15146363133122714
Position 2942: 0.10080583975956833
Position 4407: 0.048389669366755
Position 2478: 0.04282886536598554
Position 4319: 0.03919844095422378
Position 3869: 0.036145567191972074
Position 2512: 0.029972493340132855
Position 2212: 0.02668234364673234
Position 3287: 0.023680746405896232
Position 3854: 0.023421134794454887
Position 4259: 0.02254704890556544
Position 3411: 0.020178971192694684
Position 2112: 0.019042684457309472
Position 817: 0.014692177494576655
Position 3223: 0.01076051747527888
Position 2080: 0.009673557312699177
Position 1001: 0.007683453666705411
Position 4226: 0.006198918622584158
Position 1019: 0.003646593257507357
Position 3129: 0.003153403694591744
Position 1163: 0.0030412787323937434
Position 1958: 0.0025948240025387087
Position 915: 0.0024122939141669633
Position 892: 0.0023890035271673443
Position 1932: 0.0023209934463315767
Position 763: 0.002285047604164038
Position 1166: 0.001958899399273511
Position 1914: 0.001748556158399169
Position 1041: 0.0016532322209686517
Position 458: 0.001455731292013417
Position 1099: 0.0007285889302362891
Position 1208: 0.0006352483274857327
Position 1031: 0.00048414535609743524
Position 1318: 0.00040580490312799584
Position 1062: 0.000327639744927521
Position 1238: 0.00029747207971988457
Position 390: 0.00028402173386122485
Position 1836: 0.0002649541534876274
Position 659: 0.00014333060331073955
Position 1703: 0.00010920996372322658
Position 2301: 0.00010167404806796007
Position 969: 8.44727512075865e-05
Position 864: 7.59863454439772e-05
Position 344: 6.718267077212575e-05
Position 412: 6.082580003570054e-05
Position 820: 5.8991600471194237e-05
Position 835: 3.581003439136629e-05
Position 463: 2.4541275275277017e-05
Position 704: 2.3952139636350267e-05
Position 742: 2.084145922177053e-05
Position 798: 2.056327784872988e-05
Position 490: 1.5736030658803492e-05
Position 322: 1.4775245890573566e-05
Position 357: 6.787222100884901e-06
Position 1992: 6.685900072930545e-06
Position 286: 5.337384689111551e-06
Position 484: 3.3459106935215916e-06
Position 511: 3.265939811102068e-06
Position 337: 2.66611938387633e-06
Position 528: 2.5425805093663574e-06
Position 1003: 4.369000460028723e-07
Position 633: 1.922116993493952e-07
Position 765: 1.0390235313050828e-07
Position 157: 4.8924184545478e-08
Position 162: 4.323046854930428e-08
Position 716: 3.9438667788184714e-08
Position 894: 1.3799297428575244e-08
Position 667: 1.1852880058556284e-08
Position 625: 1.1219694796682368e-08
Position 204: 4.162971568176857e-09
Position 211: 2.2614294618067016e-09
Position 177: 1.0338219754934391e-09
Position 159: 6.489785589892213e-10
Position 237: 3.542156500155872e-10
Position 291: 2.950757098780827e-11
