Gene = CACFD1
index = 271
Annotated 5SS: [ 201 3569 5461 8042]
Annotated 3SS: [3495 5334 7933 8575]
SMsplice 5SS: [ 201 5461 8042]
SMsplice 3SS: [5334 7933 8575]
top_k =  100
Partition function (log Z): -0.0055475318024809095

Sorted 5' Splice Sites (High to Low Probability):
Position 5461: 0.9932631312124621
Position 201: 0.743775001212516
Position 8042: 0.6741662145070717
Position 3569: 0.5517300063675876
Position 8015: 0.3189240317754426
Position 8721: 0.2665202645866504
Position 93: 0.2331215208672801
Position 632: 0.15633518411981676
Position 2734: 0.14974666217416444
Position 2939: 0.11442936284161295
Position 7328: 0.09889260187961163
Position 2233: 0.09535126263311497
Position 4817: 0.07823517629138546
Position 5694: 0.06966616974160765
Position 7219: 0.06501732555294527
Position 8308: 0.059617147486960856
Position 636: 0.05536248317064207
Position 8285: 0.04683801819669263
Position 8478: 0.041734016330812994
Position 6581: 0.03733264528216801
Position 6650: 0.015493226900683256
Position 8924: 0.01453167745569589
Position 10487: 0.010039321174952157
Position 8711: 0.009218799157917753
Position 411: 0.008012284357910248
Position 7349: 0.007523636203627428
Position 157: 0.007162371407496705
Position 6144: 0.0043205107558878025
Position 205: 0.0037685315449423424
Position 8010: 0.001906346075336744
Position 55: 0.0016822941340566809
Position 151: 0.0008111487575214689
Position 185: 0.0005237224709458887
Position 307: 0.0004890833232454831
Position 8105: 0.00032318652635277017
Position 314: 0.00026938861356357464
Position 46: 0.0001896839976244653
Position 8715: 7.028132135544586e-05
Position 154: 6.836890607346319e-05
Position 197: 4.296803335225327e-05
Position 72: 3.811894246150462e-05
Position 171: 1.8001012182143497e-05
Position 109: 1.0644875324431415e-05
Position 169: 8.577858527421405e-06
Position 384: 8.289684977834385e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 7933: 0.9979965830768542
Position 8575: 0.9718510624501834
Position 5334: 0.9334162444398919
Position 3495: 0.48667965914047023
Position 547: 0.2114118760687351
Position 10401: 0.15816884081077967
Position 7085: 0.14376243872409183
Position 2847: 0.11442936284161295
Position 8183: 0.10833839398223948
Position 2633: 0.09633322378308679
Position 8811: 0.09328144020932094
Position 3345: 0.06505034722711758
Position 4730: 0.06445414781603605
Position 5383: 0.059846886772570405
Position 8352: 0.05236793989304067
Position 2147: 0.047549422776208876
Position 6461: 0.047388999800117314
Position 2630: 0.0384191215674969
Position 5602: 0.03784200929198042
Position 7166: 0.027671124912092525
Position 2095: 0.027225181347158553
Position 10614: 0.018312398746681217
Position 5616: 0.01786600349985035
Position 8935: 0.01510183694175982
Position 4605: 0.013781028475349403
Position 10346: 0.013620724381541615
Position 2042: 0.011484840539008502
Position 5574: 0.010000098940724029
Position 2658: 0.00945263406018104
Position 2010: 0.006057535117323748
Position 2482: 0.0055416827633997445
Position 6519: 0.005436872382733945
Position 9343: 0.004462387321024525
Position 6076: 0.004320510755887799
Position 9085: 0.004029242134797729
Position 5635: 0.00380155603691497
Position 9144: 0.0035278106012843246
Position 1926: 0.0030342828534153025
Position 9602: 0.001702590956829853
Position 8135: 0.0010556093589260329
Position 287: 0.00028579122172384255
Position 5650: 0.00015650197213788508
Position 7845: 5.3646541611350835e-05
Position 8097: 1.8797188368709763e-05
