Gene = INIP
index = 701
Annotated 5SS: [  250  1776 24106 28710]
Annotated 3SS: [ 1694 24002 28618 30602]
SMsplice 5SS: [  250   864  1776 17535 24106 28710]
SMsplice 3SS: [  793  1694 17292 24002 28618 32233]
top_k =  100
Partition function (log Z): -19.363262830763045

Sorted 5' Splice Sites (High to Low Probability):
Position 1776: 0.9921129195928007
Position 250: 0.9180561094114104
Position 864: 0.8721241890856872
Position 6020: 0.2841947260879358
Position 685: 0.22768302764964635
Position 1144: 0.08196735533722098
Position 1098: 0.07820645876291916
Position 433: 0.05055363005072557
Position 1001: 0.026628840574198592
Position 889: 0.016453218551825154
Position 149: 0.00984518715732544
Position 112: 0.009192060558401554
Position 1618: 0.008793195489931706
Position 254: 0.006583963527022417
Position 214: 0.004916700655012775
Position 299: 0.001653820759070958
Position 30: 0.0012088675483069359
Position 164: 0.0005900905626305302
Position 42: 0.00048669205441573005
Position 717: 0.00043897479355316693
Position 568: 0.0003579069143011535
Position 72: 1.0985244377991124e-05
Position 288: 1.068464171710987e-05
Position 233: 5.772563221731528e-06
Position 243: 5.476243691944856e-06
Position 227: 2.6549577564562395e-06
Position 13: 2.168493816708324e-06
Position 61: 1.341562579772091e-06
Position 90: 1.022331100656203e-06
Position 152: 8.762873318556485e-07
Position 116: 6.396369993024166e-07
Position 184: 5.053061693427847e-07
Position 187: 4.444492004627982e-07
Position 18: 1.9360826877452485e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1694: 0.9918427583256475
Position 13132: 0.5739717602388908
Position 793: 0.5706835063938598
Position 760: 0.26519959567589985
Position 5875: 0.22897859706644313
Position 13509: 0.1061764613092458
Position 529: 0.10200961535211256
Position 5878: 0.07944644024034106
Position 333: 0.07623569735076234
Position 9964: 0.07445100872410543
Position 757: 0.06460232822002095
Position 1013: 0.06236878417398384
Position 974: 0.0612856906868931
Position 6907: 0.052909827073663034
Position 609: 0.03572906968353975
Position 1055: 0.03038287015149407
Position 7911: 0.025796511549056336
Position 5935: 0.02112956071718271
Position 5306: 0.01782307649008801
Position 2490: 0.01715961718160722
Position 7093: 0.01573282137190841
Position 2465: 0.013897388833811381
Position 405: 0.013447952456253588
Position 717: 0.01084372080547803
Position 436: 0.010203225165537677
Position 5285: 0.009752786971743643
Position 4254: 0.009702269554015585
Position 1455: 0.008861643858012429
Position 496: 0.007772024635907927
Position 5659: 0.007048312932601129
Position 3130: 0.0054117660859761005
Position 3536: 0.004145863057101639
Position 5793: 0.0030656203604544955
Position 1746: 0.002870436044212934
Position 2228: 0.002282906190728212
Position 4573: 0.0017180748908180203
Position 2540: 0.0016644708259339514
Position 4231: 0.0013115139675055705
Position 4024: 0.0010430007810595101
Position 3267: 0.0009428830672172004
Position 3159: 0.0008470199306211579
Position 1895: 0.00040626158640570784
Position 337: 0.00036525758789618444
Position 766: 0.00021223419881299686
Position 460: 0.0001104832168869271
Position 476: 9.548493769496961e-05
Position 735: 9.441516031810335e-05
Position 800: 3.118206998671721e-05
Position 679: 2.581537577845124e-05
Position 249: 1.0879250596754628e-06
