Gene = FPGS
index = 564
Annotated 5SS: [ 188 1539 1678 1826 4213 4412 4608 4814 5437 5831 6015 6960 7232 8137]
Annotated 3SS: [ 1409  1623  1760  4097  4333  4545  4710  5358  5682  5924  6808  7155
  8069 10319]
SMsplice 5SS: [  282  1539  1678  1923  4238  4412  4608  4814  5437  5831  6015  6960
  7232  8137 10449]
SMsplice 3SS: [ 1439  1623  1760  4116  4333  4545  4710  5358  5682  5924  6808  7155
  8069 10319 10966]
top_k =  100
Partition function (log Z): 45.13299018428067

Sorted 5' Splice Sites (High to Low Probability):
Position 7232: 0.9997511948164096
Position 6960: 0.9973169996130763
Position 4608: 0.9899609660697504
Position 6015: 0.986753749889909
Position 1678: 0.9829140990764362
Position 4412: 0.9828955420647152
Position 5831: 0.9817694810978803
Position 5437: 0.9337403721061129
Position 1539: 0.9293575208685152
Position 4814: 0.9230158952882743
Position 10449: 0.7876144279259197
Position 282: 0.5951538150496521
Position 8137: 0.5063280775158366
Position 1923: 0.4542153592770556
Position 1826: 0.4425844886254985
Position 4238: 0.3974734894458339
Position 4213: 0.3757853977148181
Position 4242: 0.22176728465845635
Position 188: 0.17888545978344644
Position 7855: 0.13957878367097568
Position 530: 0.13653073560473228
Position 8185: 0.07981377502906946
Position 1155: 0.061469499209187886
Position 1544: 0.057364827684417925
Position 8144: 0.04553726969698821
Position 7611: 0.0375160936133231
Position 5468: 0.03477730838374015
Position 2292: 0.034525576431134096
Position 125: 0.03339007069828071
Position 8220: 0.030285591193664127
Position 5000: 0.027400146783615128
Position 4938: 0.027077597725308676
Position 9316: 0.02500663805401368
Position 3079: 0.018895824667642665
Position 5859: 0.01728825950357657
Position 511: 0.01596181018151907
Position 8213: 0.014050945471486321
Position 233: 0.011723183681883258
Position 745: 0.01125534266616304
Position 1698: 0.011178217283990113
Position 5472: 0.009404701738971061
Position 4901: 0.00881782815199818
Position 5090: 0.008645334664226508
Position 1464: 0.007001219854436534
Position 1371: 0.005380939635624035
Position 1305: 0.005299670801000206
Position 4567: 0.0035281375592171225
Position 6283: 0.003395963389610761
Position 7896: 0.002972233957267219
Position 10749: 0.002406500683095138
Position 6269: 0.0022798000811252504
Position 8978: 0.0020785251771045466
Position 4173: 0.0016303347965179696
