Gene = CGGBP1
index = 364
Annotated 5SS: [ 234 1030]
Annotated 3SS: [ 824 3048]
SMsplice 5SS: [ 676 1030]
SMsplice 3SS: [ 824 4173]
top_k =  100
Partition function (log Z): -10.240961059784667

Sorted 5' Splice Sites (High to Low Probability):
Position 1030: 0.8575420622292063
Position 2900: 0.532224150623797
Position 3166: 0.45138395245888907
Position 676: 0.3440199537398222
Position 276: 0.1766759282244973
Position 260: 0.1414736129873631
Position 234: 0.08903958086054528
Position 626: 0.06053334678308159
Position 1858: 0.053231483103641855
Position 693: 0.05277278436963779
Position 2417: 0.043597524672250365
Position 2028: 0.03926060365942679
Position 1181: 0.0020545049665450722
Position 1602: 0.002031768175228756
Position 670: 0.0017395801614085587
Position 272: 0.0007794725198415024
Position 498: 0.0006742942549973295
Position 712: 0.0004629983763699788
Position 303: 1.4235691541771632e-06
Position 50: 4.2020839346818674e-07
Position 434: 7.292090340471015e-08
Position 14: 1.1260498860919721e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 824: 0.6033714081189655
Position 4173: 0.4268897183821206
Position 2528: 0.40697532566190775
Position 4194: 0.27660972833931086
Position 3048: 0.2502567347632771
Position 3000: 0.19381423110672716
Position 2804: 0.11398638888865355
Position 7007: 0.10001038335248186
Position 6375: 0.08520182844121098
Position 851: 0.08300735921715943
Position 1755: 0.07126844188088682
Position 2611: 0.06289049040726491
Position 2307: 0.04359752467225042
Position 1736: 0.019164349916481038
Position 769: 0.018781912337848906
Position 2899: 0.017552920515567845
Position 916: 0.012808170060978397
Position 3064: 0.012544173903834104
Position 981: 0.011738229755470817
Position 1955: 0.009489846028207759
Position 2489: 0.00670128330533587
Position 3344: 0.006048469485662626
Position 4066: 0.0038795535674551046
Position 4197: 0.0037770650969444473
Position 2562: 0.00310781918151829
Position 398: 0.0015472397284502283
Position 1435: 0.0013349361352829818
Position 2002: 0.0011439318658661747
Position 1488: 0.0004808825904872343
Position 540: 0.0003679709846046967
Position 493: 0.0003395993131826923
Position 461: 0.00030265158648869704
Position 829: 0.00014936710179586289
Position 489: 0.00011307974832519179
Position 422: 0.00010805866230194525
Position 543: 4.957623552807509e-05
Position 1077: 4.8491771392704454e-05
Position 547: 2.0523366419021633e-05
Position 359: 7.79920126899089e-06
Position 308: 6.5015801185468e-06
Position 545: 5.56386646357843e-06
