Gene = DCTN3
index = 433
Annotated 5SS: [ 112 1805 2596 4451 5771 6439]
Annotated 3SS: [1719 2508 4366 5711 6378 6608]
SMsplice 5SS: [ 112  966 1805 2596]
SMsplice 3SS: [ 828 1719 2508 5711]
top_k =  100
Partition function (log Z): -2.9880011579489474

Sorted 5' Splice Sites (High to Low Probability):
Position 2596: 0.9982450567528517
Position 1805: 0.8876900199081
Position 112: 0.7914643556206795
Position 966: 0.7639825814993666
Position 5771: 0.3458610408328187
Position 761: 0.26832841334495977
Position 4493: 0.24332428590357688
Position 233: 0.13751046675789316
Position 4451: 0.11124586730497475
Position 1360: 0.07763747587699737
Position 1567: 0.04126130561122287
Position 5200: 0.0381262243840188
Position 1628: 0.03476171333030385
Position 750: 0.013107510320669341
Position 546: 0.01177080911390629
Position 667: 0.01126313625389123
Position 1860: 0.009850663165504614
Position 3309: 0.005904271017900637
Position 4703: 0.0017402924573217736
Position 129: 0.0011567095470730346
Position 553: 0.0011027954382264251
Position 595: 0.0008732650285609346
Position 78: 6.0864968439082866e-05
Position 124: 2.867995839075516e-05
Position 3: 8.793771894228672e-06
Position 7: 8.470721588338783e-06
Position 116: 7.684412497664576e-06
Position 23: 5.777267838944137e-07
Position 76: 2.2267502248126213e-07
Position 10: 1.225928871570828e-07
Position 119: 3.805752172968571e-08
Position 132: 1.095640888575411e-08
Position 55: 1.8616134738949916e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2508: 0.9853121484784879
Position 1719: 0.8739171462646528
Position 5711: 0.7800135673098431
Position 828: 0.7566372527491927
Position 4366: 0.2410420267595178
Position 4389: 0.1250573779214586
Position 4530: 0.10634318631889114
Position 5968: 0.09107793133450494
Position 636: 0.08495309978095401
Position 6578: 0.07927719713161738
Position 6378: 0.07153971615296495
Position 6080: 0.06801957870780777
Position 6509: 0.05197127694604112
Position 210: 0.05005182334029181
Position 5037: 0.04761941812189683
Position 1554: 0.04580328148477523
Position 1275: 0.0408326082111404
Position 642: 0.03649676868686132
Position 1507: 0.0353302297572114
Position 4586: 0.024661356651198413
Position 1157: 0.0189605484189884
Position 698: 0.01872881897676838
Position 3833: 0.017251095554052683
Position 4060: 0.016581645992809542
Position 484: 0.014455292334134706
Position 1429: 0.011923429764019633
Position 609: 0.010520500117060617
Position 1123: 0.009570587992577213
Position 2870: 0.008912979694209459
Position 1048: 0.008195301199745651
Position 2514: 0.007466480791874517
Position 915: 0.007266133103334599
Position 4287: 0.007161191448723337
Position 1475: 0.006589614744472199
Position 661: 0.006569474046239248
Position 666: 0.006295801481571166
Position 2455: 0.005289947926969062
Position 3135: 0.0027311706280088296
Position 515: 0.002272292608637401
Position 2290: 0.0019203073410889264
Position 335: 0.001843992409284628
Position 368: 0.0017810391575555046
Position 732: 0.0015198277326434022
Position 2678: 0.0014938404014751725
Position 3232: 0.0014347101774043857
Position 712: 0.0008921443614558889
Position 3106: 0.000869527590407322
Position 3199: 0.0008688626220800987
Position 5740: 0.0005193811885502443
Position 195: 0.00015849098650748598
Position 281: 0.00011377582396599918
Position 362: 0.00010562618468795094
Position 1301: 7.843005454568557e-05
Position 232: 8.890162393939699e-06
Position 2205: 7.276744371544886e-06
Position 2239: 3.8387172084872345e-06
Position 248: 3.144165489646507e-06
Position 148: 1.3171773355690532e-06
Position 111: 5.241908809221212e-09
