Gene = DDX41
index = 437
Annotated 5SS: [ 551  745 1182 1351 1541 1785 2284 2554 2769 3785 4117 4459 4690 4974
 5148 5374]
Annotated 3SS: [ 633 1021 1275 1479 1647 2210 2399 2631 3621 3984 4386 4592 4823 5075
 5262 5541]
SMsplice 5SS: [ 551  745 1351 1541 1785 2554 2769 3297 3785 4117 4459 4690 4974 5148
 5374]
SMsplice 3SS: [ 633 1275 1479 1647 2399 2631 3180 3621 3984 4386 4592 4823 5075 5262
 5541]
top_k =  100
Partition function (log Z): 34.52848826782428

Sorted 5' Splice Sites (High to Low Probability):
Position 745: 0.9993312278616664
Position 5148: 0.998167728376267
Position 4974: 0.9823518269278305
Position 1541: 0.9652162773188822
Position 1351: 0.9554893508599572
Position 4117: 0.9287967093256027
Position 551: 0.9066951957277655
Position 3785: 0.8986456988288273
Position 4690: 0.8891685469589459
Position 2554: 0.8401845628575354
Position 2769: 0.8213482331477282
Position 1785: 0.6611296997028426
Position 4459: 0.6348836459900056
Position 3297: 0.4990692109113154
Position 5374: 0.44297847874515495
Position 2284: 0.3727294570465416
Position 1182: 0.3499779151588544
Position 1737: 0.325588975239888
Position 4341: 0.27858998677124347
Position 5334: 0.274235775158251
Position 3312: 0.1870435971306629
Position 5625: 0.15370183251995054
Position 3380: 0.14992845271906757
Position 2876: 0.1311348381104971
Position 223: 0.11578404563605103
Position 5413: 0.1139412332162478
Position 5316: 0.09073233420467207
Position 4125: 0.06514160699385244
Position 2916: 0.04857318450866481
Position 1083: 0.03480785568078475
Position 1379: 0.028115170960793915
Position 2949: 0.014485280551298349
Position 5464: 0.011820297093728697
Position 5444: 0.008591388274235359
Position 1371: 0.007017692444671063
Position 5453: 0.005999812260834559
Position 173: 0.005897430464509397
Position 3753: 0.005781182139103537
Position 5426: 0.001868540158581184
Position 909: 0.0015276184420809098
Position 1580: 0.0015230799086638409
Position 1517: 0.0010550551871224595
Position 5435: 0.000920602708273998
Position 338: 0.0007359365721125181
Position 1136: 0.0007337903982271277
Position 1945: 0.0006600792971512707
Position 425: 0.0005682552650759584
Position 3035: 0.0005649310667675523
Position 1774: 0.0005577129125652014
Position 25: 0.0005574447872771497
Position 1356: 0.0005505226126049919
Position 758: 0.0005355381947309574
Position 5152: 0.00040079432381582046
Position 277: 0.0002895836819356633
Position 309: 0.00027605914320219565
Position 5001: 0.0002568322993289629
Position 491: 0.00021629974280260126
Position 1549: 0.00020929749512779014
Position 2175: 0.00016719216367388896
Position 5354: 0.0001555445292968915
Position 468: 0.00015540056158173387
Position 321: 0.00014010592011622894
Position 129: 0.00012603583620566055
Position 378: 7.695410338539836e-05
Position 1833: 6.977306698594428e-05
Position 512: 2.9407563832039473e-05
Position 370: 2.060509691674867e-05
Position 444: 7.910030587035318e-06
Position 5186: 7.31025695469304e-06
Position 212: 7.149040906275926e-06
Position 5145: 5.758716300074791e-06
Position 37: 4.812219035124547e-06
Position 333: 2.8000552937611616e-06
Position 356: 2.6312494481566237e-06
Position 1359: 2.620551486946296e-07
Position 11: 1.0293503812468723e-07
Position 29: 5.476710463085781e-08
Position 27: 1.5835635661763737e-08
Position 778: 1.3785471437498445e-08
Position 57: 1.3684254819331993e-10
Position 145: 8.270183748498972e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5075: 0.9983919774532899
Position 1275: 0.9980545962091915
Position 633: 0.9957242799993077
Position 2631: 0.9918746421435917
Position 5262: 0.9870502989909722
Position 1647: 0.9849094101231495
Position 5541: 0.9578775693093641
Position 4823: 0.8956875544445173
Position 4592: 0.7522863265537045
Position 3984: 0.6375149303784554
Position 2399: 0.5977875658218186
Position 1479: 0.5873662183552399
Position 3621: 0.5858512675108858
