Gene = BCAS2
index = 128
Annotated 5SS: [  141   341  4952  6050 10940 11648]
Annotated 3SS: [  247  4880  5887 10888 11566 13382]
SMsplice 5SS: [  141   341  4952 10940 11648]
SMsplice 3SS: [  247  4880 10888 11566 13382]
top_k =  100
Partition function (log Z): 6.292500522295981

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.9953201344527348
Position 4952: 0.9893962839707506
Position 341: 0.9815620842928987
Position 10940: 0.8176706344992528
Position 11648: 0.7954032871737586
Position 6050: 0.4684350398652969
Position 13526: 0.11755855832604799
Position 12060: 0.11235178749694033
Position 4771: 0.06063846627006612
Position 9867: 0.052506277981157604
Position 8205: 0.046649116776007075
Position 11746: 0.031137877584796685
Position 5503: 0.02894508547734569
Position 2624: 0.024150265805475135
Position 8252: 0.02113920539771144
Position 345: 0.018399769084653756
Position 6025: 0.017147857045166675
Position 4401: 0.017108186947176973
Position 6039: 0.015779327674436655
Position 2861: 0.01572048559548776
Position 4698: 0.011964661827211943
Position 5263: 0.0041533270140484
Position 5525: 0.0023247241994754503
Position 61: 0.002259597830118709
Position 12626: 0.0014912484243885036
Position 5519: 0.0009707445278625798
Position 112: 0.000831165582456665
Position 145: 0.0005925729262940662
Position 127: 0.0005349923985580795
Position 78: 0.00023821473916961556
Position 39: 9.151302255149733e-05
Position 152: 6.051225607496446e-05
Position 129: 4.43859586452519e-05
Position 362: 3.814662244768296e-05
Position 4942: 2.0792763464442874e-05
Position 160: 1.6537914513408273e-05
Position 84: 4.053220015922812e-06
Position 187: 2.600751835519665e-06
Position 98: 1.7718221519860327e-06
Position 66: 1.5991287567885445e-06
Position 154: 2.0619489858741105e-07
Position 81: 9.802908981670996e-08
Position 3: 4.3772133904141096e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 247: 0.999144176058525
Position 10888: 0.8268755159424636
Position 11566: 0.8199894004438475
Position 13382: 0.7785343271210088
Position 4880: 0.7597043459572209
Position 5887: 0.505317774933006
Position 11803: 0.27435796253479033
Position 4835: 0.15017287975941718
Position 4730: 0.07183521496296699
Position 8140: 0.06332152016302563
Position 4565: 0.04323095633434773
Position 13775: 0.04143499127917161
Position 14032: 0.03883416998492399
Position 4853: 0.03707680781754054
Position 5289: 0.025220361653380024
Position 9728: 0.022588994646531656
Position 2376: 0.021919420964155147
Position 13434: 0.02013808177014717
Position 9722: 0.01923061456754594
Position 11520: 0.018935643555681746
Position 13815: 0.018386657000624907
Position 2752: 0.015720485595487763
Position 4321: 0.015271020353774124
Position 13678: 0.013515544321785904
Position 9835: 0.010686668767080014
Position 12533: 0.010498498496493897
Position 5245: 0.005438233290927359
Position 13846: 0.005387195739541531
Position 5085: 0.004838932679581478
Position 7788: 0.004466802010692872
Position 11745: 0.004192258912954772
Position 3887: 0.001837166593402848
Position 2527: 0.00139888968717189
Position 2530: 0.0008594421755009216
Position 254: 0.0008558239414745156
Position 5047: 0.000793353635320146
Position 7260: 0.0004738174252360689
Position 5257: 0.0001788853439074482
Position 5969: 4.062226699643328e-07
