Gene = TIPRL
index = 1403
Annotated 5SS: [  249  5149  5946 12568 17710 20049]
Annotated 3SS: [ 4968  5845 12435 17613 19985 20969]
SMsplice 5SS: [  249 12568 17710]
SMsplice 3SS: [12435 17613 19985]
top_k =  100
Partition function (log Z): -10.644335491611157

Sorted 5' Splice Sites (High to Low Probability):
Position 12568: 0.9960439327201756
Position 249: 0.9638008481833663
Position 17710: 0.8671943767465635
Position 870: 0.15317495758221006
Position 860: 0.10434248795795334
Position 5149: 0.06923363801758928
Position 5697: 0.06580477161718393
Position 8230: 0.06175299146573172
Position 19521: 0.05677792382024592
Position 758: 0.030899120710319843
Position 19499: 0.028139668428109662
Position 269: 0.00577426755643429
Position 352: 0.0011102585135671313
Position 32: 0.0010110404296611512
Position 285: 0.0007816368378415925
Position 231: 0.0005411465937508174
Position 472: 2.2887017591817176e-05
Position 241: 2.2169203576202564e-05
Position 519: 2.2060165463560214e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 12435: 0.9993351527506749
Position 17613: 0.8941812356846102
Position 19985: 0.46630090198869567
Position 627: 0.20466963402356345
Position 19332: 0.15647123527256535
Position 20969: 0.1103025416960189
Position 21814: 0.08469390722711041
Position 22223: 0.07132529667976216
Position 18026: 0.044328268830905515
Position 4968: 0.04295386431510869
Position 5627: 0.039814171684557274
Position 8099: 0.03766894158133564
Position 20291: 0.03200673778966655
Position 687: 0.030583989568037977
Position 5537: 0.025990599932626653
Position 8126: 0.02415597061986592
Position 21497: 0.019494294340034173
Position 4765: 0.01779491735658071
Position 13243: 0.013255766897696933
Position 18603: 0.011097103481499311
Position 17864: 0.01057365035486613
Position 652: 0.009640892127186445
Position 18563: 0.008797465935360356
Position 4878: 0.00852067543812875
Position 719: 0.007876129337080973
Position 580: 0.0066158987237601875
Position 16375: 0.006331313644240661
Position 14534: 0.004099611692533223
Position 13684: 0.004080404652210561
Position 17832: 0.003258034293243946
Position 15348: 0.0032471557364790052
Position 771: 0.0021666243277977245
Position 13274: 0.0016449012323495682
Position 13183: 0.0015407666845024517
Position 15328: 0.0011253076007446282
Position 9313: 0.00037405580434208516
Position 7986: 5.788611208469489e-05
Position 345: 2.5157374564039192e-05
Position 4477: 1.2141264367649687e-05
Position 1912: 9.738580215637941e-06
Position 351: 9.33062440941917e-06
Position 2301: 8.17496950393175e-06
Position 2746: 6.773087785851995e-06
Position 1941: 3.5622486632999327e-06
