Gene = CDCA8
index = 338
Annotated 5SS: [  367   616  3533  6560  8104  9401 10930 13150 14647]
Annotated 3SS: [  486  3491  6486  8017  9335 10833 13022 14559 15903]
SMsplice 5SS: [  161   367   616  6560  8104  9401 10930 14647]
SMsplice 3SS: [  257   486  6486  8017  9335 10833 14559 15903]
top_k =  100
Partition function (log Z): 8.736850546211004

Sorted 5' Splice Sites (High to Low Probability):
Position 616: 1.000000000000002
Position 367: 0.9993514268873526
Position 161: 0.9950827624748019
Position 14647: 0.8678222228854978
Position 8104: 0.8635710659812335
Position 6560: 0.8373282744147679
Position 9401: 0.8220534312227242
Position 10930: 0.757328813377046
Position 5712: 0.35720022023310516
Position 4454: 0.13867208479069398
Position 13150: 0.12460508534285285
Position 8081: 0.10318695376821987
Position 4448: 0.10149589158838163
Position 3533: 0.09618428048779341
Position 6330: 0.09245634546222056
Position 15413: 0.04817825166860586
Position 14920: 0.04072413388351594
Position 8120: 0.021722999052910957
Position 16111: 0.01943765920196882
Position 12814: 0.008149187984494202
Position 5936: 0.007198167488447936
Position 8026: 0.006651159625048517
Position 8330: 0.006603063304044456
Position 6609: 0.006571940474139452
Position 4507: 0.006370652976625515
Position 7038: 0.003453776568793393
Position 130: 0.0019326953629545483
Position 419: 0.0004674358708404939
Position 98: 0.00010489174002692451
Position 185: 8.549341223631675e-05
Position 63: 3.9683079490616833e-05
Position 91: 3.3902037874202894e-05
Position 20: 3.0060701477472304e-05
Position 85: 2.9266169940228465e-05
Position 401: 2.198546270567798e-05
Position 55: 1.7050222055212997e-05
Position 30: 1.4383454050998168e-05
Position 194: 1.0676809445188508e-05
Position 146: 9.51484946563927e-06
Position 361: 6.283448763188938e-06
Position 74: 5.713236146559168e-06
Position 188: 3.7324565341941153e-06
Position 69: 2.697178581348139e-06
Position 33: 5.624037213166927e-07
Position 165: 3.954582659704314e-07
Position 300: 3.026012276116476e-07
Position 218: 2.1739841363752254e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 486: 0.9996679413544134
Position 257: 0.9698307256297597
Position 14559: 0.8713120255185938
Position 15903: 0.8491591203289703
Position 6486: 0.8402247312631985
Position 8017: 0.8257187792259416
Position 10833: 0.7573288133770455
Position 9335: 0.7217930273162722
Position 5589: 0.3571816567842721
Position 13022: 0.13078763307966093
Position 16279: 0.11046580753288202
Position 4386: 0.1082171443062682
Position 7921: 0.10730906848014203
Position 9313: 0.102407981445539
Position 4301: 0.09023738912438803
Position 3491: 0.0896200131744962
Position 14802: 0.06658633103621665
Position 15291: 0.06360275619313968
Position 7985: 0.0613646774332671
Position 6185: 0.05100040262781304
Position 6221: 0.041455942834407525
Position 283: 0.02722960540744568
Position 4368: 0.022935502583835667
Position 4360: 0.020921363295264155
Position 12695: 0.008149187984494202
Position 5878: 0.007198167488447936
Position 3468: 0.00651276329371506
Position 4179: 0.004227230045945096
Position 6402: 0.0036754836257095694
Position 8308: 0.003441367571468693
Position 15623: 0.0028549827667963216
Position 8186: 0.0023702663028664387
Position 9642: 0.002223882961579992
Position 6898: 0.0019214448228554132
Position 6741: 0.0015323317459379794
Position 14777: 0.001448972053074048
Position 7903: 0.0012351997149923606
Position 8195: 0.0002958830027787845
Position 9924: 0.00017826397244176766
Position 503: 0.0001468940356202042
Position 536: 0.00013361667263606878
Position 351: 8.894382867175569e-05
Position 581: 5.154793733150978e-05
Position 3285: 5.150401958216313e-05
Position 287: 4.9103134075987394e-05
Position 218: 2.119568490333234e-05
Position 5440: 1.856344883303512e-05
Position 268: 9.764497793708455e-06
Position 325: 7.867301160092469e-06
Position 160: 6.949284445261483e-06
Position 295: 2.2087068305049736e-06
Position 308: 2.0792688059401007e-06
Position 332: 1.209446567764336e-06
Position 292: 1.1735953760051568e-06
Position 125: 2.770594028372499e-07
Position 366: 2.9871133638808786e-08
