Gene = HDAC11
index = 641
Annotated 5SS: [  185  1230  3400 16688 18391 20625 21769 22816 24108]
Annotated 3SS: [ 1080  3298 16570 18347 20547 21705 22718 23928 24302]
SMsplice 5SS: [  185  1230  3400 16688 18391 20625 21769 22816 24108 24383]
SMsplice 3SS: [ 1080  3298 16570 18347 20547 21674 22718 23928 24302 25884]
top_k =  100
Partition function (log Z): 16.405191397044327

Sorted 5' Splice Sites (High to Low Probability):
Position 3400: 0.9999999999999988
Position 16688: 0.9999999999999978
Position 1230: 0.9971315882950269
Position 22816: 0.9842305376745182
Position 20625: 0.9743140714250514
Position 24108: 0.9488323693518814
Position 18391: 0.9297730860978062
Position 21769: 0.920962691887167
Position 185: 0.9164200460211539
Position 24383: 0.8155086002322736
Position 15831: 0.6743712447374642
Position 25046: 0.23904174239933595
Position 13404: 0.15568718136167503
Position 25118: 0.1384337198632268
Position 19776: 0.10011773949717297
Position 1489: 0.10006031179917826
Position 25070: 0.07996988843180496
Position 21065: 0.07630120490046842
Position 23341: 0.07140252753058116
Position 22647: 0.05903434385192109
Position 20318: 0.05519919964590664
Position 996: 0.05055735495178539
Position 22651: 0.04425245846456674
Position 282: 0.04314579502780924
Position 24369: 0.03946383122557648
Position 24171: 0.02730197028720853
Position 20641: 0.025685928574944797
Position 1000: 0.022185485596174795
Position 22054: 0.017658141318065406
Position 22845: 0.01569242263402108
Position 1518: 0.015324268408214629
Position 18387: 0.013214915175874049
Position 2047: 0.012551947650598978
Position 24611: 0.010087489591020831
Position 24042: 0.01005449990811556
Position 25772: 0.009456915126007194
Position 855: 0.008185690037161615
Position 559: 0.007724264798774197
Position 25339: 0.007216896169003663
Position 23514: 0.0071705797262909396
Position 1564: 0.006922343323944268
Position 211: 0.005045908316582264
Position 302: 0.00468286286009845
Position 231: 0.004659018969121331
Position 2073: 0.002841197684406031
Position 440: 0.0023011612165868547
Position 609: 0.0022095947841866575
Position 887: 0.0022017241018897514
Position 1677: 0.0018733885529164055
Position 545: 0.0016812664084242923
Position 1734: 0.0016564925662377163
Position 309: 0.0016238928494701536
Position 1547: 0.0015691680131832448
Position 749: 0.0010499117700365154
Position 2162: 0.0010091475974759025
Position 23991: 0.0005916549530942556
Position 835: 0.0004696140917160179
Position 1239: 0.00023180861222284446
Position 24036: 0.0002041672381893961
Position 1211: 0.0001485948734808893
Position 24339: 8.216887939100955e-05
Position 24354: 3.339623817439761e-05
Position 530: 4.5363973518840006e-06
Position 448: 1.6551558878105038e-07
Position 142: 9.464309718349987e-08
Position 98: 1.241551944579631e-08
Position 189: 1.2097998152030137e-08
Position 225: 1.0282212517449417e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 16570: 0.9999999999999978
Position 20547: 0.9999999999999971
Position 22718: 0.9981832945964725
Position 3298: 0.9895998924476401
Position 23928: 0.9736274850817958
Position 1080: 0.9690343072135023
Position 24302: 0.9507706043036436
Position 25884: 0.7144619183295955
Position 21674: 0.7066439376244767
Position 15603: 0.6743712447374643
Position 18347: 0.5314322651637859
Position 24984: 0.5205791499111901
Position 18244: 0.23298526985120138
Position 18223: 0.16807226819169652
Position 13243: 0.15568718136167503
Position 21705: 0.15391280453702175
Position 22553: 0.1050124677344016
Position 1330: 0.10294794373296655
Position 19660: 0.06934647562457605
Position 22957: 0.06579227442391987
Position 24479: 0.06191691716118081
Position 20133: 0.05519919964590664
Position 21020: 0.05504468200768447
Position 24510: 0.05062694652740699
Position 21490: 0.043032259430370465
Position 806: 0.040522619071927876
Position 879: 0.034387814908032756
Position 19619: 0.030771263872596925
Position 25663: 0.025919965240588032
Position 21934: 0.017658141318065403
Position 1105: 0.017178190690792947
Position 21464: 0.01706689348727802
Position 1898: 0.016402292932480945
Position 20820: 0.015229332176389486
Position 1390: 0.013216250669249448
Position 25177: 0.012049406634139075
Position 18102: 0.010498198066996495
Position 23151: 0.00824005392053501
Position 23866: 0.007783643674298194
Position 3301: 0.006568360220226024
Position 20766: 0.004783971117248114
Position 1336: 0.0047703406276072
Position 23370: 0.004540778912417184
Position 3320: 0.003831747332130569
Position 1598: 0.003529881119154125
Position 23795: 0.0033382162286596344
Position 25625: 0.002969740048069993
Position 1096: 0.002955712886215445
Position 23771: 0.001958534130539411
Position 720: 0.0018745654137902173
Position 699: 0.0016803403913838164
Position 1306: 0.0015353147360721645
Position 1423: 0.0014062417786250329
Position 20717: 0.0010196641889446815
Position 608: 0.0008488290667520378
Position 338: 0.0005227299208506483
Position 388: 0.00046447442498711856
Position 684: 0.00042148276553142426
Position 356: 0.00038772898429932504
Position 1115: 0.0003433915708504798
Position 746: 0.00033304062345226843
Position 21403: 0.00029983995337867645
Position 23717: 0.0002767826231963323
Position 469: 0.00026191834965329133
Position 21044: 0.00022355541020170126
Position 1051: 0.00021103421965196618
Position 650: 0.00011910571439926654
Position 281: 0.00011312871739784381
Position 22581: 1.4000294150127614e-05
Position 21471: 6.956854641640199e-06
