Gene = RPA3
index = 1191
Annotated 5SS: [   93  3433 31380 32778 78288 79538 80744]
Annotated 3SS: [ 3380 31278 32608 77431 79462 80634 81524]
SMsplice 5SS: [   93  9248 14590 32778 32949 79538 80744]
SMsplice 3SS: [ 9141 14461 32608 32842 79462 80634 81524]
top_k =  100
Partition function (log Z): -37.81371080511738

Sorted 5' Splice Sites (High to Low Probability):
Position 93: 0.9841072275060362
Position 9248: 0.9824035709834502
Position 14590: 0.6637095553810296
Position 21414: 0.17891703335487844
Position 5008: 0.019417037498226573
Position 8088: 0.01744105939631874
Position 151: 0.01573805132768902
Position 4389: 0.014828971083235774
Position 3433: 0.013726858992942242
Position 10135: 0.013465441708781157
Position 707: 0.00305137103641166
Position 785: 0.0029177699520176246
Position 3944: 0.0025798046729016083
Position 1209: 0.0017838978413634906
Position 245: 9.981862740162538e-05
Position 97: 1.2434782223384888e-05
Position 535: 8.269944414552472e-06
Position 324: 3.757923270000077e-06
Position 282: 1.2715818438558625e-06
Position 546: 7.192557889192778e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 9141: 0.9272139776855952
Position 21721: 0.6115028170421145
Position 14461: 0.5068539284763136
Position 21227: 0.33712517607705883
Position 14422: 0.17280502624475472
Position 9119: 0.04644445713716433
Position 14670: 0.04609388947808807
Position 13327: 0.03296136416985872
Position 9056: 0.02380086723329308
Position 11590: 0.02052419520016025
Position 4897: 0.01941269306623677
Position 10031: 0.018302845006911234
Position 10447: 0.01769365737161831
Position 7980: 0.017441059396318615
Position 10101: 0.01714258362153541
Position 13843: 0.012016846165102414
Position 10736: 0.00967434666600909
Position 4266: 0.007302848227561476
Position 11355: 0.006425696715943795
Position 599: 0.005020917025703397
Position 9990: 0.004445438581017268
Position 10052: 0.004355470366618057
Position 3347: 0.004220299654869535
Position 3365: 0.0036227786694459727
Position 12451: 0.003350209037423375
Position 12308: 0.003327962737792784
Position 12545: 0.0032551505585633467
Position 3253: 0.0029037956537618917
Position 4282: 0.0028109008253889038
Position 12494: 0.0026761917012870593
Position 11226: 0.0022855118246583594
Position 4263: 0.0021307203309577256
Position 11691: 0.002044242981512095
Position 3876: 0.002016879838354148
Position 4240: 0.0017947274289386915
Position 11175: 0.0016293955206217476
Position 10474: 0.0016189727058267662
Position 3241: 0.0012517910388362492
Position 1116: 0.001168105190133325
Position 3380: 0.0010878628551308086
Position 4094: 0.0008764372860903268
Position 3672: 0.0008002802408910723
Position 3018: 0.0007508908474568482
Position 5266: 0.0006746071679212609
Position 640: 0.0006595591024181673
Position 1134: 0.00061579265123016
Position 10004: 0.0003846831773571427
Position 7348: 0.00038405534435302825
Position 6834: 0.00024987727339686604
Position 4490: 0.000244272876629175
Position 228: 0.00017929266353753587
Position 545: 0.00017420511626738624
Position 619: 0.00016067015090457442
Position 9211: 0.000157867636863026
Position 2480: 6.115128670082764e-05
Position 2888: 5.26293711270888e-05
Position 1284: 2.770671662883144e-05
Position 4613: 4.344431989803039e-06
