Gene = TSLP
index = 1498
Annotated 5SS: [ 370 1241 1954]
Annotated 3SS: [1195 1818 4253]
SMsplice 5SS: [ 197  370 1241 1954]
SMsplice 3SS: [ 268 1195 1818 2049]
top_k =  100
Partition function (log Z): -3.315838056227681

Sorted 5' Splice Sites (High to Low Probability):
Position 1241: 0.9119893057279155
Position 1954: 0.8672362711797871
Position 370: 0.746472463005685
Position 673: 0.7032513163107812
Position 197: 0.5147083619863558
Position 1075: 0.5029068716965888
Position 2284: 0.369307647366899
Position 1333: 0.07395790212103082
Position 2080: 0.05696769586525076
Position 1650: 0.04538468064455107
Position 589: 0.027329292655293273
Position 2089: 0.017687963540139035
Position 152: 0.014329667683611085
Position 2146: 0.01158735732163961
Position 2680: 0.007059460976348537
Position 100: 0.004986495080488866
Position 55: 0.0047915095121843915
Position 2096: 0.0030448445081798477
Position 2211: 0.0028757433796789034
Position 161: 0.0015247064354133864
Position 149: 0.0013076273416714403
Position 168: 0.00037192633385240293
Position 189: 0.00016985415337196353
Position 179: 9.795753486330784e-05
Position 166: 3.68679963700498e-05
Position 228: 2.3895466994920386e-05
Position 191: 7.626857158212165e-06
Position 332: 6.130906289400545e-06
Position 265: 4.6468561890691566e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1195: 0.9916847015188146
Position 1818: 0.7529507168037843
Position 2049: 0.7135970497360609
Position 4253: 0.6565762090817084
Position 268: 0.4145346203638011
Position 860: 0.2938332167399676
Position 546: 0.2745280799977749
Position 864: 0.1767184029811614
Position 451: 0.166929461946881
Position 1842: 0.111254811391847
Position 498: 0.09106382222157139
Position 2187: 0.06176925229041055
Position 1433: 0.047586630484285936
Position 571: 0.02168416557404699
Position 1016: 0.015233459557884969
Position 564: 0.011970977848861407
Position 619: 0.011375632712108426
Position 588: 0.008862852755440454
Position 242: 0.00761194757404403
Position 640: 0.007480734712632748
Position 2509: 0.007059460976348537
Position 2963: 0.006310362070266072
Position 1159: 0.0061802309685137545
Position 2065: 0.0052335134392841095
Position 889: 0.0049255792013710355
Position 826: 0.0036381478496342323
Position 510: 0.0033983436255978655
Position 2797: 0.0032382799716345733
Position 312: 0.002589417305877755
Position 1551: 0.0024525902065044604
Position 1067: 0.001476372381875364
Position 232: 0.0014010714006791848
Position 598: 0.0011235953495885734
Position 1233: 0.0010550295103132323
Position 411: 0.0008953849979803513
Position 669: 0.0005113060669907387
Position 666: 0.0002570661622261399
Position 346: 0.0002511346995819088
Position 309: 0.00016055457270102417
Position 332: 1.2686605967503164e-05
Position 322: 4.440663337399726e-06
Position 319: 2.651220707833552e-06
Position 135: 9.188480173760917e-07
Position 122: 8.167840970078656e-07
Position 365: 3.8927239992159526e-07
