Gene = DAG1
index = 425
Annotated 5SS: [  353 42117]
Annotated 3SS: [41715 62093]
SMsplice 5SS: [  640 42117 62307]
SMsplice 3SS: [42021 62093 65971]
top_k =  100
Partition function (log Z): -37.26612336264656

Sorted 5' Splice Sites (High to Low Probability):
Position 640: 0.7265176514564903
Position 353: 0.45260839734728503
Position 1731: 0.24122460251342062
Position 809: 0.023363562471552163
Position 312: 0.011392126721529323
Position 112: 0.007819219879730457
Position 646: 0.006938999057815347
Position 1005: 0.003932491742648941
Position 1274: 0.0033648193537777946
Position 151: 0.0010759703127049842
Position 333: 0.0007194352624018894
Position 70: 0.0003973114694441185
Position 114: 0.00016610465547862088
Position 587: 0.00010112472601016436
Position 656: 6.888341503299498e-05
Position 303: 5.516197135979409e-05
Position 618: 1.9872314896838015e-05
Position 683: 3.95172481611075e-06
Position 97: 6.605984035748221e-09
Position 131: 4.9981039684914956e-09
Position 40: 3.798308665742101e-09
Position 173: 3.327971150592517e-09
Position 15: 1.8302240392297876e-09
Position 36: 1.1459677696903033e-09
Position 49: 5.283892126409408e-10
Position 26: 1.4553265328894589e-10
Position 6: 1.1925983085967958e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 752: 0.36369368267314084
Position 8145: 0.33953997933299707
Position 1617: 0.23494822172995722
Position 1924: 0.17874557191994725
Position 464: 0.08434066537884513
Position 504: 0.0588897836052911
Position 2261: 0.04199759746372887
Position 7015: 0.037783521908111385
Position 522: 0.033529630441771444
Position 791: 0.016917027721117636
Position 554: 0.013034588907080754
Position 1180: 0.011997534264315622
Position 1076: 0.00939706393670309
Position 409: 0.008740268073704087
Position 1554: 0.007999096732563212
Position 1102: 0.007780021777059083
Position 4895: 0.007561285668219728
Position 529: 0.006876569334588874
Position 488: 0.005052778800221706
Position 1339: 0.0025061487566989966
Position 543: 0.002468334522687778
Position 1244: 0.0016177859446310629
Position 756: 0.0012321565916873565
Position 524: 0.0011583160289180632
Position 492: 0.000920945374910252
Position 447: 0.0002161498499501753
Position 630: 0.00020971755660224435
Position 427: 0.00014758090037726742
Position 468: 0.0001446954241615379
Position 560: 0.00012692658774497996
Position 423: 7.760568226112334e-05
Position 420: 7.129121976253195e-05
Position 433: 4.425183996502591e-05
Position 248: 1.7960002220672574e-06
Position 191: 7.163597448326385e-07
Position 165: 4.005864433656485e-07
