Gene = OGG1
index = 983
Annotated 5SS: [ 480 1249 2006 4942 6678 6873]
Annotated 3SS: [1000 1825 4759 6526 6822 7099]
SMsplice 5SS: [ 480 2006 4942 6678]
SMsplice 3SS: [1825 4759 6557 7099]
top_k =  100
Partition function (log Z): -0.3707450766846012

Sorted 5' Splice Sites (High to Low Probability):
Position 4942: 0.9969480142879174
Position 2006: 0.9313675160189728
Position 480: 0.9261805336683344
Position 6678: 0.716737363388846
Position 854: 0.3800349227452726
Position 6873: 0.2661759237436284
Position 1249: 0.14128234464316675
Position 2196: 0.08619266342884842
Position 812: 0.06931568071014027
Position 4553: 0.06368968556895242
Position 2014: 0.05315813884333027
Position 188: 0.053034315184930944
Position 1641: 0.0475779290124578
Position 305: 0.04625631234385573
Position 215: 0.040110018173395906
Position 4645: 0.017096376520614787
Position 828: 0.014781723081454309
Position 741: 0.014424357025790372
Position 2010: 0.012820208510314375
Position 4271: 0.007852960680374041
Position 1679: 0.007176743159154018
Position 613: 0.006511934368224949
Position 859: 0.003979734203662897
Position 589: 0.0029477868705691536
Position 53: 0.00226777281906556
Position 551: 0.0012340237215345787
Position 656: 0.0005939773049365147
Position 201: 0.0005411397893944707
Position 233: 0.0004929866482979462
Position 251: 0.00017283259251385202
Position 20: 0.00011617059119386217
Position 257: 9.631408276190292e-05
Position 328: 7.904340654784946e-05
Position 298: 6.043525611450032e-05
Position 9: 5.632594582799589e-05
Position 274: 4.607917148251936e-05
Position 12: 2.1588321961419457e-05
Position 231: 1.4579158442814191e-05
Position 254: 1.3130434727712367e-05
Position 642: 1.0644247964220368e-05
Position 263: 6.838343608085108e-06
Position 218: 5.320812394921349e-06
Position 670: 2.8957500250791406e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 4759: 0.9999906716401377
Position 1825: 0.9950121867794176
Position 6557: 0.4126628899664629
Position 720: 0.39304638782315193
Position 7099: 0.3752673081340725
Position 7116: 0.30578334794806633
Position 6526: 0.15515499534610827
Position 6503: 0.14487507329732607
Position 6950: 0.13822641243032854
Position 6822: 0.12263418499353823
Position 368: 0.09520996792037137
Position 4435: 0.08079539044943268
Position 6742: 0.07854263299951811
Position 6757: 0.06130044899114314
Position 2086: 0.054222819200963356
Position 1501: 0.05076283358618517
Position 740: 0.04888129087069324
Position 716: 0.046925681469001675
Position 1067: 0.043962321244115574
Position 1000: 0.043053423973565035
Position 6783: 0.04257130028235406
Position 2120: 0.03196984422788506
Position 6899: 0.030457919981071797
Position 6993: 0.027326843225980623
Position 5303: 0.025198874335731238
Position 6618: 0.016286284678149215
Position 1101: 0.0159568078281423
Position 6915: 0.011324319178375985
Position 6920: 0.011220033023890592
Position 391: 0.007915853397747995
Position 4167: 0.007852960680374041
Position 5541: 0.005754829359848746
Position 5330: 0.0056687898362105926
Position 7027: 0.005050763734594605
Position 1539: 0.003991838585426639
Position 1041: 0.0033599416188644098
Position 308: 0.002944818238297083
Position 5144: 0.002877236749958283
Position 647: 0.002217971659284207
Position 1790: 0.00219830868959793
Position 5480: 0.00167681292766044
Position 438: 0.0010424102846886907
Position 1787: 8.649918685827142e-05
Position 292: 5.737407466139076e-05
Position 787: 5.634022255058103e-05
Position 744: 5.0074081202648455e-05
Position 1749: 4.886871674356282e-05
Position 170: 6.148331004393897e-06
Position 558: 4.948323846928327e-06
Position 121: 4.0566045511998846e-11
Position 226: 1.5835114678812597e-11
