Gene = ATP6V1F
index = 115
Annotated 5SS: [237]
Annotated 3SS: [2550]
SMsplice 5SS: [237]
SMsplice 3SS: [2550]
top_k =  100
Partition function (log Z): -3.6345108798308923

Sorted 5' Splice Sites (High to Low Probability):
Position 237: 0.5473378143708407
Position 682: 0.4157704749933819
Position 242: 0.41563791453777843
Position 691: 0.14387087379077448
Position 604: 0.047282916059704944
Position 1078: 0.04721869908484741
Position 1202: 0.042339950719203025
Position 2378: 0.022878440012663114
Position 319: 0.014032387018625988
Position 579: 0.01307639747830842
Position 56: 0.010991004203476927
Position 1029: 0.009982888874537705
Position 2612: 0.008568518952876842
Position 92: 0.0062031492616393
Position 1191: 0.006109329637703397
Position 825: 0.0030021437395605175
Position 418: 0.002225846237997748
Position 127: 0.0016646048065865069
Position 397: 0.0012506417645410776
Position 14: 0.0008636496875719
Position 492: 0.0002627651284134576
Position 280: 0.00022639597733667557
Position 708: 0.00013488474935637734
Position 773: 2.33522178930225e-05
Position 46: 4.7036800377340064e-06
Position 447: 3.9397529268568345e-06
Position 285: 3.8078639232961487e-06
Position 30: 3.2893697534690755e-07
Position 134: 5.002176042740683e-08
Position 36: 5.309702538955038e-09
Position 106: 1.5174653628494043e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2550: 0.9710160512914565
Position 578: 0.4943222811975229
Position 528: 0.1281267300629888
Position 924: 0.06483363684215292
Position 977: 0.03156441580815466
Position 2293: 0.022878440012663114
Position 2459: 0.011352693471773284
Position 1798: 0.010184058062371253
Position 1070: 0.009203611827599982
Position 2791: 0.005115840011212421
Position 154: 0.0028400592815387526
Position 1028: 0.002591494682851601
Position 2874: 0.0010652908795738933
Position 2803: 0.0008395890791269938
Position 1272: 0.000835661851344409
Position 1819: 0.0008103043146778059
Position 2715: 0.0007921230882840446
Position 824: 0.0006495903506809354
Position 2975: 0.0006282445351897007
Position 201: 0.0002158716879062417
Position 550: 0.00020204981094677123
Position 363: 0.00018916683282287365
Position 862: 0.00016501599097659402
Position 76: 0.00014443051676344345
Position 3000: 0.00012743135948979856
Position 460: 5.591541139431379e-05
Position 707: 4.721186692490665e-05
Position 168: 3.5147270367699475e-05
Position 358: 3.332683086502521e-05
Position 379: 3.3262620924759256e-05
Position 554: 3.093242185755483e-05
Position 198: 1.393321890622007e-05
Position 405: 1.3168086100794297e-05
Position 339: 1.0899811000084632e-05
