Gene = DMAP1
index = 450
Annotated 5SS: [  73  404  987 1444 5015 5301 5787 6023 6424 6855]
Annotated 3SS: [ 293  894 1247 4855 5132 5600 5950 6350 6561 7103]
SMsplice 5SS: [  73  404 5015 5301 5787 6023 6424 6855]
SMsplice 3SS: [ 293 4855 5132 5600 5950 6350 6561 7103]
top_k =  100
Partition function (log Z): 15.855337660990056

Sorted 5' Splice Sites (High to Low Probability):
Position 6424: 0.9974460221097227
Position 5301: 0.9970928242248569
Position 5787: 0.9007275217471192
Position 73: 0.8428101242655657
Position 6855: 0.7588173826304829
Position 1444: 0.7245271592670268
Position 404: 0.6548123191350467
Position 6023: 0.5990373550110154
Position 6027: 0.39551312511864706
Position 1865: 0.3336069516182174
Position 1851: 0.2248095348185213
Position 1015: 0.1756738452362241
Position 2044: 0.16066894016711686
Position 1162: 0.14936396616569017
Position 6665: 0.1298578737410768
Position 440: 0.12615441461990545
Position 5795: 0.07043950703373422
Position 6989: 0.039346065671550176
Position 208: 0.039030187525152055
Position 6715: 0.03838016083672805
Position 95: 0.03101621319062713
Position 499: 0.013725366383277059
Position 128: 0.0121809579318603
Position 3974: 0.011515158834388358
Position 991: 0.010168921376415846
Position 604: 0.008989053524785188
Position 6102: 0.0034940418536866034
Position 317: 0.0020060734190264664
Position 81: 0.0013617524126081724
Position 6420: 0.001009668077950379
Position 6418: 0.0007384048935534133
Position 44: 0.0005658809889368692
Position 802: 0.000538306784191765
Position 110: 0.00045403404816322864
Position 5193: 0.000335595762729124
Position 590: 0.0001790580126218298
Position 6430: 1.0033547533535401e-05
Position 6453: 9.00857041038532e-06
Position 10: 4.122812946895645e-06
Position 242: 1.7331071502604288e-06
Position 47: 1.1052114775858133e-06
Position 6180: 4.565785914999661e-07
Position 41: 4.179094106983674e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 5132: 0.9974284199875866
Position 5950: 0.9973725720592521
Position 6561: 0.9884143328705901
Position 5600: 0.9459545261155148
Position 7103: 0.7951576506966744
Position 6350: 0.7353554488885113
Position 293: 0.6226568909297586
Position 1744: 0.44905547874214496
Position 1247: 0.4163385859422682
Position 894: 0.26974480437441095
Position 6324: 0.2126004062304639
Position 1271: 0.19735101814199774
Position 1850: 0.15820866977957307
Position 1160: 0.09050325247804092
Position 6939: 0.09000499952042515
Position 1083: 0.07928973061017827
Position 253: 0.06031282747098613
Position 6741: 0.058082430447938316
Position 207: 0.045553200782197344
Position 1764: 0.04184526201104518
Position 6305: 0.039598649629750404
Position 1698: 0.030328740900920755
Position 1929: 0.02900248342516319
Position 6809: 0.018166134766131964
Position 5562: 0.012463008700226388
Position 3799: 0.011515158834388358
Position 6236: 0.010880776639443675
Position 1905: 0.010644791745008387
Position 5472: 0.00618338579772817
Position 6777: 0.006048994000633997
Position 1055: 0.006041073023364286
Position 6747: 0.005914777014885688
Position 7105: 0.002896678481466765
Position 5506: 0.002472315486037528
Position 332: 0.002015227339563185
Position 531: 0.0018018658396889398
Position 5627: 0.0017874374345869123
Position 7129: 0.0016224441017925494
Position 499: 0.0011687818927870765
Position 5388: 0.0009624503836471883
Position 5687: 0.0008683285321043454
Position 6097: 0.0007121923833449649
Position 5565: 0.00045836022144941826
Position 736: 0.0003219805397760745
Position 5518: 0.0002877675894075751
Position 5969: 0.00023666462230984407
Position 805: 0.0002352393657137159
Position 774: 0.00023018810938240655
Position 5607: 0.0002238051705682308
Position 6584: 5.475815502201183e-05
Position 6563: 3.8282824276835715e-05
Position 5891: 7.031450548136296e-06
Position 347: 3.4648799588932774e-07
Position 5962: 1.720706776069015e-08
