Gene = IL17RC
index = 689
Annotated 5SS: [  536   637   978  1312  1512  3505  3872  6923  7194 11123 11389 11533
 12800 13052 13362 13846 15606 15761]
Annotated 3SS: [  614   824  1236  1401  3392  3826  6782  7133 11067 11206 11481 12753
 12929 13301 13796 15509 15721 15854]
SMsplice 5SS: [  323   757   978  1312  1512  3505  3716  3872  5584  6923  7194 11123
 11389 12800 13846 15606 15761]
SMsplice 3SS: [  614   824  1236  1401  3392  3583  3792  5446  6782  7133 11067 11206
 12724 13796 15509 15721 15854]
top_k =  100
Partition function (log Z): 23.949399005492943

Sorted 5' Splice Sites (High to Low Probability):
Position 11389: 0.9873700986178268
Position 1312: 0.948135390388068
Position 13846: 0.9481009764930985
Position 12800: 0.9365049295978423
Position 3505: 0.9139422132575801
Position 3872: 0.8984743626201912
Position 5584: 0.8834702922273497
Position 15606: 0.8674088558719836
Position 3716: 0.8343531479179491
Position 11123: 0.8186074773758083
Position 978: 0.7701864641340632
Position 323: 0.7316397601510469
Position 6923: 0.6654509733069344
Position 15761: 0.6237892837885208
Position 7194: 0.5869129245441472
Position 1512: 0.5378473190252008
Position 757: 0.5359189818348676
Position 1501: 0.4404443432579083
Position 11533: 0.4232560205896883
Position 536: 0.41593470776249925
Position 13362: 0.3979286032964866
Position 13052: 0.28842925464113134
Position 14168: 0.2635667790163142
Position 1014: 0.1919081709887126
Position 2829: 0.16488048585723422
Position 13240: 0.16239745169325315
Position 637: 0.15247587312013544
Position 14175: 0.11172324048674932
Position 9802: 0.09642037155768526
Position 6884: 0.08139849288520723
Position 3467: 0.07789498116727112
Position 3899: 0.0773623874043362
Position 11811: 0.059503844367314915
Position 3709: 0.041328388905947484
Position 3687: 0.03371410641972408
Position 9842: 0.02683253826959224
Position 13855: 0.0262369814363369
Position 13271: 0.02078779422955504
Position 5541: 0.016238787690531324
Position 13554: 0.014677966917195716
Position 916: 0.013731460915473868
Position 16083: 0.012459598468643075
Position 11711: 0.010885756973425259
Position 11330: 0.010567731017740062
Position 1470: 0.008426814551213692
Position 6719: 0.007282000124181412
Position 5697: 0.007189394976413019
Position 1651: 0.0071317156463968625
Position 3024: 0.0070768409972685135
Position 766: 0.006678377877486234
Position 671: 0.005496434793407436
