Gene = PPCS
index = 1057
Annotated 5SS: [515 792]
Annotated 3SS: [ 687 3043]
SMsplice 5SS: [515]
SMsplice 3SS: [687]
top_k =  100
Partition function (log Z): -9.856659968885848

Sorted 5' Splice Sites (High to Low Probability):
Position 792: 0.7367226768834668
Position 515: 0.6464381924382704
Position 166: 0.23734033829065654
Position 1009: 0.1437066941287357
Position 255: 0.08105835124816509
Position 1769: 0.06802649893527826
Position 70: 0.03894567888561504
Position 50: 0.016657619970081538
Position 25: 0.015953497019523977
Position 145: 0.010222372879221455
Position 203: 0.002788850054415825
Position 621: 0.0019779040901756226
Position 244: 0.0011133828621311677
Position 445: 0.0005098713584938327
Position 386: 0.00024849115134475866
Position 530: 0.0002384879260994366
Position 450: 0.0001579611475924938
Position 115: 0.00012022115868175438
Position 120: 9.937086454789293e-05
Position 129: 8.053563055473757e-05
Position 312: 4.785106488834495e-05
Position 124: 3.4647353990153815e-05
Position 118: 5.507484120001948e-09
Position 33: 3.695320058893409e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 687: 0.983465386771056
Position 3043: 0.27654473959456294
Position 892: 0.18039951276026833
Position 1594: 0.13495464957736986
Position 3089: 0.08252434510148281
Position 3664: 0.0544751830905049
Position 3023: 0.05321238252272379
Position 303: 0.049907315139304013
Position 864: 0.03633812533976574
Position 2973: 0.030780776128021263
Position 3124: 0.022426938752823308
Position 1983: 0.015479496995952587
Position 3789: 0.01386908885910235
Position 2789: 0.01265207023553402
Position 2815: 0.008495354749599835
Position 337: 0.007115646530529383
Position 2648: 0.006924459869413688
Position 1891: 0.00575269701026494
Position 2171: 0.004492578836227919
Position 898: 0.00340264887153979
Position 1922: 0.00311071274215673
Position 1145: 0.002809995028237294
Position 486: 0.002761873429140869
Position 2541: 0.0027356416876626564
Position 1790: 0.0023741496907783467
Position 951: 0.0015514387022891381
Position 1003: 0.0013712709104265843
Position 1623: 0.0012987669823009958
Position 607: 0.0003764341694504587
Position 396: 0.0002193208750374031
Position 726: 0.00014652359156272106
Position 567: 0.00011816976806746353
Position 430: 0.00010884380072745132
Position 791: 9.792551036387538e-05
Position 813: 7.224246048466982e-05
Position 1570: 4.186855851223936e-05
Position 445: 2.539329567543738e-05
Position 986: 2.2500495818097687e-05
Position 133: 2.063490972976482e-05
Position 1573: 1.2390621138830798e-05
Position 363: 3.882445462528196e-09
Position 448: 3.49594842528098e-09
Position 356: 3.20073291579129e-09
